hero,midlane,safelane,offlane,jungle,perfer,lane,dps,push,nuke,durable,initial,disable,healing
abaddon,0.0,5.81,6.53,0.0,Off Lane,6.3,6.28,4.84,2.0,8.97,1.95,3.97,7.95
alchemist,7.75,5.58,5.03,4.69,Mid Lane,6.5,7.82,6.41,5.96,8.98,3.98,6.01,2.0
ancient-apparition,3.72,3.94,3.94,0.0,Safe Lane,4.0,5.55,2.04,3.97,1.53,1.96,2.96,2.54
anti-mage,0.0,5.28,4.23,0.0,Safe Lane,5.0,6.2,6.55,9.02,9.05,7.95,2.96,0.02
arc-warden,9.08,6.42,6.39,0.0,Mid Lane,6.0,7.62,5.51,8.03,6.04,2.96,4.04,3.48
axe,0.0,6.7,7.78,7.78,Off Lane,8.2,7.72,3.35,5.51,7.54,8.45,8.03,0.05
bane,8.55,8.03,8.0,0.0,Safe Lane,7.5,4.17,2.43,2.98,3.05,6.97,6.05,2.55
batrider,8.72,7.62,8.76,8.76,Off Lane,8.0,5.74,1.99,4.55,6.49,9.54,9.0,-0.04
beastmaster,7.32,6.14,7.1,7.38,Off Lane,6.5,4.72,5.34,5.45,5.96,9.02,8.03,-0.05
bloodseeker,4.96,4.42,4.53,4.48,Jungle,4.5,7.41,5.17,5.99,7.05,7.51,2.98,3.51
bounty-hunter,7.41,5.63,6.36,8.14,Off Lane,5.5,4.64,2.8,6.99,3.96,3.03,7.54,3.5
brewmaster,7.63,6.32,7.53,0.0,Off Lane,7.0,5.64,4.26,4.02,8.96,8.05,6.51,-0.02
bristleback,0.0,7.3,7.98,0.0,Off Lane,8.5,7.94,4.6,3.0,9.47,3.04,7.53,1.47
broodmother,11.08,8.22,10.47,0.0,Off Lane,9.5,4.53,5.72,4.51,6.02,3.04,6.96,0.03
centaur-warrunner,0.0,6.05,6.82,0.0,Off Lane,7.3,6.94,5.73,6.03,8.03,8.55,8.46,4.52
chaos-knight,6.7,5.93,6.16,0.0,Safe Lane,6.0,6.67,5.83,8.47,8.04,7.52,8.98,-0.04
chen,0.0,8.45,9.05,9.81,Jungle,7.0,2.55,4.62,2.03,3.49,3.46,5.97,8.54
clinkz,8.63,7.95,7.51,0.0,Safe Lane,7.5,6.77,6.55,8.52,4.54,1.96,1.97,0.03
crystal-maiden,0.0,6.77,6.83,6.77,Safe Lane,7.0,5.46,2.04,2.51,1.97,5.02,7.5,3.49
dark-seer,0.0,6.48,7.6,7.6,Off Lane,7.0,6.13,2.59,4.5,7.48,8.54,3.51,5.53
dazzle,7.83,8.02,8.18,0.0,Safe Lane,8.0,1.83,2.98,1.03,4.01,3.02,5.03,8.53
death-prophet,7.52,6.25,6.78,0.0,Mid Lane,7.2,6.96,5.94,6.49,7.5,3.0,5.47,1.47
disruptor,6.58,6.43,6.48,0.0,Safe Lane,6.5,4.83,2.36,4.0,2.02,7.48,7.97,2.46
doom,0.0,6.21,8.04,6.04,Off Lane,5.5,5.49,3.56,7.02,7.04,7.95,4.45,0.97
dragon-knight,8.24,6.81,7.29,0.0,Mid Lane,7.5,6.47,6.1,5.03,9.03,6.51,7.46,-0.05
drow-ranger,8.19,8.09,7.16,0.0,Safe Lane,7.0,5.78,6.84,6.96,4.97,4.03,7.0,-0.03
earth-spirit,7.93,6.84,7.47,0.0,Off Lane,5.5,4.39,1.38,5.97,3.98,7.5,6.97,2.5
earthshaker,4.32,4.15,4.21,3.88,Safe Lane,4.0,6.13,2.58,7.49,2.98,8.47,8.47,1.0
elder-titan,6.07,5.93,5.89,0.0,Off Lane,6.0,6.01,2.62,6.46,5.0,7.99,6.95,2.51
ember-spirit,7.98,6.39,5.83,0.0,Mid Lane,6.0,7.69,4.67,6.49,7.5,6.5,8.04,0.97
enchantress,7.79,6.32,9.07,6.27,Jungle,6.0,5.68,4.04,7.48,6.03,2.95,4.52,3.49
enigma,0.0,0.0,0.0,6.62,Jungle,6.5,6.37,4.52,3.98,4.51,8.96,7.99,5.51
faceless-void,0.0,8.57,10.17,0.0,Off Lane,8.2,5.34,5.24,6.95,8.47,9.02,7.01,1.04
natures-prophet,0.0,0.0,9.0,8.08,Jungle,7.7,6.45,6.71,4.01,4.52,2.99,9.05,3.55
gyrocopter,7.61,7.53,7.47,0.0,Safe Lane,6.5,7.32,4.92,4.03,7.46,7.53,6.05,1.04
huskar,9.77,9.98,9.05,0.0,Safe Lane,8.5,7.69,5.37,6.98,9.03,3.03,7.53,3.52
invoker,9.09,0.0,8.34,0.0,Mid Lane,8.0,7.65,5.83,8.51,7.04,7.99,8.96,1.97
jakiro,7.38,7.21,7.45,0.0,Safe Lane,8.0,5.57,5.03,5.48,6.04,3.97,5.97,2.47
juggernaut,6.28,5.86,5.4,0.0,Safe Lane,5.5,7.37,6.32,7.52,7.48,3.03,4.0,5.48
keeper-of-the-light,8.28,8.4,8.45,8.4,Safe Lane,8.5,4.73,2.45,2.97,4.03,3.03,6.01,8.02
kunkka,6.57,5.87,6.26,0.0,Mid Lane,6.0,6.74,3.88,5.0,7.5,7.47,8.47,2.47
legion-commander,5.94,5.08,5.34,5.22,Jungle,5.5,6.79,6.09,7.01,7.0,9.03,4.04,2.52
leshrac,9.05,6.98,7.4,0.0,Mid Lane,6.7,6.48,5.24,5.52,6.53,5.55,7.5,2.02
lich,8.13,8.52,8.87,0.0,Safe Lane,9.0,6.47,2.64,3.54,5.51,4.03,6.54,3.52
lifestealer,0.0,7.55,7.07,6.56,Jungle,7.0,7.15,5.51,7.51,7.96,5.98,6.52,2.0
