hero,para,rate,matches
tidehunter,5.63,58.52,65615
silencer,4.98,54.87,85505
io,4.48,71.26,18345
pudge,3.94,55.21,337940
batrider,3.68,63.07,32766
skywrath-mage,2.96,60.92,54043
phoenix,2.95,56.12,37426
lifestealer,2.65,58.57,115376
shadow-shaman,2.56,54.57,79192
venomancer,2.55,55.80,60337
axe,2.40,54.69,209014
storm-spirit,2.40,58.05,117620
techies,2.38,61.35,46593
luna,2.37,52.37,105877
spectre,2.36,52.10,94045
ogre-magi,2.36,52.95,97464
mirana,2.16,55.13,188957
dragon-knight,2.15,57.72,59537
disruptor,2.12,56.10,54628
bounty-hunter,2.12,61.02,133396
juggernaut,2.04,57.03,229019
puck,1.84,62.86,46660
crystal-maiden,1.82,51.68,120722
chen,1.73,64.83,10748
slardar,1.64,55.65,107871
wraith-king,1.59,50.83,152807
legion-commander,1.53,57.69,254223
spirit-breaker,1.52,54.17,129281
enigma,1.52,54.78,49493
zeus,1.46,52.17,106431
morphling,1.45,58.46,104313
earth-spirit,1.41,64.60,21219
huskar,1.37,60.46,111045
queen-of-pain,1.34,64.36,60402
night-stalker,1.07,56.53,56185
clinkz,1.01,60.80,91318
arc-warden,1.00,62.89,25322
shadow-demon,0.86,60.44,35483
chaos-knight,0.68,55.99,57357
magnus,0.62,59.53,62649
centaur-warrunner,0.50,50.87,65884
pugna,0.44,59.77,41603
vengeful-spirit,0.44,53.81,74515
shadow-fiend,0.44,58.48,103489
warlock,0.35,50.58,47335
riki,0.28,51.75,190386
clockwerk,0.19,55.64,47137
witch-doctor,0.08,56.01,78133
templar-assassin,0.06,60.61,54590
gyrocopter,0.06,61.27,41108
doom,0.06,62.35,36716
tusk,0.02,63.64,41594
phantom-assassin,-0.19,53.50,350405
ancient-apparition,-0.23,55.27,65095
tiny,-0.24,60.62,81047
death-prophet,-0.26,58.95,55147
windranger,-0.29,60.48,114279
drow-ranger,-0.33,54.43,183701
winter-wyvern,-0.34,59.62,33882
elder-titan,-0.35,51.27,33081
omniknight,-0.37,45.46,115370
troll-warlord,-0.38,56.04,75511
necrophos,-0.38,50.88,117968
lion,-0.48,57.76,130756
leshrac,-0.53,59.84,24500
timbersaw,-0.56,56.76,117002
sven,-0.59,51.14,171088
nyx-assassin,-0.63,55.49,84796
sand-king,-0.65,56.05,110226
bane,-0.66,59.63,53336
beastmaster,-0.68,59.03,21846
viper,-0.70,56.56,79219
bloodseeker,-0.72,55.04,164789
jakiro,-0.86,52.24,46843
ursa,-0.94,51.00,122237
ember-spirit,-1.04,63.43,55237
sniper,-1.07,53.81,234973
lone-druid,-1.09,64.91,19588
terrorblade,-1.14,56.16,42664
dark-seer,-1.17,55.80,34852
lich,-1.28,50.64,71466
treant-protector,-1.30,51.80,37828
visage,-1.31,60.54,14234
kunkka,-1.32,57.09,120506
faceless-void,-1.37,57.54,127115
earthshaker,-1.37,55.18,102837
bristleback,-1.43,56.48,94148
meepo,-1.47,57.43,45782
dazzle,-1.50,53.36,68792
tinker,-1.51,57.44,113722
medusa,-1.54,53.34,71934
rubick,-1.64,58.73,78720
invoker,-1.68,58.19,223522
oracle,-1.73,61.92,32735
enchantress,-1.75,64.50,34184
underlord,-1.77,50.56,49596
weaver,-1.78,55.75,89038
keeper-of-the-light,-1.80,54.72,52705
phantom-lancer,-1.98,59.11,67467
razor,-2.15,58.92,68307
lina,-2.21,60.08,82949
broodmother,-2.37,64.36,26140
slark,-2.40,53.72,237869
alchemist,-2.89,55.44,107027
lycan,-2.91,57.80,30869
naga-siren,-2.97,57.97,29022
natures-prophet,-3.05,62.41,79658
brewmaster,-3.07,56.59,21852
undying,-3.82,53.19,44216
outworld-devourer,-5.11,52.98,93231
anti-mage,-5.42,55.53,178369
