hero,para,rate,matches
death-prophet,8.43,57.06,55432
clinkz,5.47,54.32,86933
viper,3.10,56.52,66738
lich,3.02,62.22,62192
natures-prophet,2.60,48.28,64999
keeper-of-the-light,2.59,57.51,38903
bloodseeker,2.43,57.71,126427
tiny,2.29,52.07,63787
outworld-devourer,2.20,57.18,81697
sven,2.13,61.53,136283
crystal-maiden,2.09,62.18,90797
vengeful-spirit,2.06,59.38,59950
templar-assassin,2.03,52.14,48208
rubick,2.02,53.05,65186
spirit-breaker,2.01,59.56,93960
ogre-magi,1.98,61.16,70037
tusk,1.92,48.78,31540
sniper,1.85,58.44,211691
spectre,1.85,61.89,87604
gyrocopter,1.77,51.31,34672
puck,1.74,50.76,40826
troll-warlord,1.73,56.49,62171
bane,1.70,52.55,40421
huskar,1.67,52.94,88851
dazzle,1.63,58.54,51959
razor,1.56,52.28,57494
phantom-assassin,1.51,59.04,294337
zeus,1.51,61.18,93099
leshrac,1.38,52.24,19677
enchantress,1.37,46.28,28437
sand-king,1.37,56.12,82158
witch-doctor,1.28,56.53,64765
lina,1.25,50.82,67604
earthshaker,1.19,56.50,79409
weaver,1.18,55.67,77881
slark,1.15,57.39,195392
disruptor,1.11,57.47,42169
legion-commander,1.11,55.57,192388
windranger,1.00,51.53,94894
queen-of-pain,0.98,48.46,52855
luna,0.95,61.10,92715
beastmaster,0.92,52.77,16398
axe,0.91,58.87,143843
nyx-assassin,0.91,56.45,66543
bounty-hunter,0.79,52.37,104671
lion,0.75,54.12,100090
slardar,0.74,57.45,75829
necrophos,0.74,61.05,92511
shadow-fiend,0.67,53.90,89765
invoker,0.57,52.85,186395
venomancer,0.56,57.68,47352
lifestealer,0.55,55.03,90755
mirana,0.53,58.10,149030
skywrath-mage,0.52,52.84,41510
riki,0.48,60.39,154954
ember-spirit,0.43,47.56,48081
dragon-knight,0.27,55.43,46661
warlock,0.23,61.38,37771
magnus,0.16,52.66,44640
wraith-king,0.16,61.68,125697
pugna,0.10,52.26,33956
shadow-shaman,0.04,58.57,60772
kunkka,-0.16,53.83,90435
drow-ranger,-0.22,57.04,157628
enigma,-0.27,57.65,37520
pudge,-0.34,58.43,255279
chaos-knight,-0.38,55.95,45885
bristleback,-0.42,54.25,65026
night-stalker,-0.43,55.62,42324
silencer,-0.51,59.15,69960
batrider,-0.57,50.54,23897
jakiro,-0.66,58.65,36877
storm-spirit,-0.71,54.70,104921
juggernaut,-0.82,55.43,187237
centaur-warrunner,-0.85,60.52,47831
terrorblade,-0.89,54.48,35189
timbersaw,-0.96,54.17,83492
tinker,-0.98,52.91,99835
doom,-1.08,48.73,26735
anti-mage,-1.10,52.45,155466
clockwerk,-1.12,55.62,35172
naga-siren,-1.31,51.29,23952
medusa,-1.46,56.75,63989
winter-wyvern,-1.59,51.06,26891
alchemist,-1.66,53.78,90668
undying,-1.75,55.49,31838
ursa,-1.82,59.12,97302
phantom-lancer,-1.96,50.37,56959
shadow-demon,-2.13,50.68,25373
dark-seer,-2.15,54.13,25719
brewmaster,-2.32,52.14,16859
elder-titan,-2.47,58.75,24029
ancient-apparition,-2.56,54.95,41756
treant-protector,-2.72,57.63,28343
morphling,-2.77,52.65,91501
faceless-void,-2.95,51.83,93704
techies,-3.00,50.23,32884
phoenix,-3.01,55.54,27740
lone-druid,-3.01,44.31,15629
chen,-3.30,46.18,8236
broodmother,-3.31,43.85,20695
oracle,-3.39,46.88,24027
meepo,-3.42,51.64,36695
lycan,-3.42,50.40,24294
underlord,-3.48,58.13,35713
omniknight,-3.54,63.35,84361
earth-spirit,-3.92,45.90,15574
arc-warden,-5.18,46.76,21460
tidehunter,-6.36,52.79,43454
io,-7.55,39.58,13311
visage,-7.63,46.46,11072
