hero,para,rate,matches
tidehunter,8.54,52.41,114385
elder-titan,6.11,47.04,58725
spectre,5.64,46.27,169016
silencer,4.88,47.35,148524
phoenix,3.87,49.22,66192
tinker,3.85,53.23,247029
abaddon,3.84,44.56,107027
enigma,3.81,48.62,93106
earth-spirit,3.68,58.98,37836
centaur-warrunner,3.68,45.11,119037
puck,3.65,56.79,88756
zeus,3.51,45.86,197056
medusa,3.43,48.66,144821
io,3.41,63.83,30898
underlord,3.39,45.86,92330
kunkka,3.22,52.41,240400
winter-wyvern,3.15,54.47,62358
pugna,3.14,54.13,68433
naga-siren,3.11,54.37,51065
earthshaker,3.00,50.30,199240
outworld-devourer,2.99,50.17,189234
faceless-void,2.87,52.75,255420
warlock,2.84,44.54,82446
arc-warden,2.79,56.90,43902
broodmother,2.74,60.88,44243
venomancer,2.59,48.51,104035
templar-assassin,2.50,54.93,106579
visage,2.27,55.62,21109
invoker,2.23,53.31,477424
keeper-of-the-light,2.22,49.69,90171
magnus,2.15,53.24,116849
mirana,2.06,47.81,377543
phantom-lancer,2.01,54.38,123170
riki,1.98,45.36,391116
undying,1.96,49.12,76083
natures-prophet,1.93,58.70,147391
clockwerk,1.86,49.32,83935
weaver,1.79,50.55,168167
rubick,1.78,53.63,144724
anti-mage,1.77,52.57,380592
dark-seer,1.70,50.20,59455
chen,1.65,57.84,18199
beastmaster,1.63,53.25,37389
ember-spirit,1.59,58.21,108526
oracle,1.55,57.01,55554
sand-king,1.45,50.02,206605
wraith-king,1.43,43.56,273335
disruptor,1.24,48.41,95091
treant-protector,1.20,45.90,63401
batrider,1.05,54.43,55286
doom,1.02,55.98,64395
jakiro,0.98,46.02,80209
razor,0.84,53.66,120675
necrophos,0.71,44.27,238660
axe,0.64,46.58,400010
lion,0.61,51.28,235507
brewmaster,0.51,51.58,35494
sven,0.35,44.49,375609
windranger,0.32,53.84,223917
sniper,0.30,47.41,485842
pudge,0.26,46.10,677966
lone-druid,0.21,59.05,35877
shadow-demon,-0.01,52.91,66216
lina,-0.06,54.46,150655
vengeful-spirit,-0.17,46.37,134080
luna,-0.29,43.91,203442
bristleback,-0.30,50.06,174199
skywrath-mage,-0.31,51.97,94279
queen-of-pain,-0.38,56.45,112579
ogre-magi,-0.41,44.43,178556
storm-spirit,-0.47,49.36,232315
tiny,-0.50,53.52,154684
shadow-fiend,-0.57,50.86,223891
bane,-0.57,52.72,85979
juggernaut,-0.57,48.51,471839
enchantress,-0.62,58.59,60051
nyx-assassin,-0.63,48.42,154297
techies,-0.63,52.58,87916
lycan,-0.75,52.12,52285
shadow-shaman,-0.75,45.74,140709
bloodseeker,-0.80,47.93,312566
drow-ranger,-0.89,47.06,383086
witch-doctor,-0.98,48.38,142913
chaos-knight,-1.06,47.99,108391
death-prophet,-1.06,51.51,83913
tusk,-1.17,56.14,74964
slardar,-1.27,47.02,221310
gyrocopter,-1.28,53.58,71894
meepo,-1.31,50.55,104235
lich,-1.40,43.56,107885
spirit-breaker,-1.46,45.56,237161
omniknight,-1.55,38.07,220843
timbersaw,-1.57,49.20,269128
bounty-hunter,-1.58,51.91,249157
dazzle,-1.62,46.28,120868
dragon-knight,-1.79,48.51,110387
leshrac,-1.85,52.18,38985
night-stalker,-1.85,47.91,100646
clinkz,-1.98,52.14,157911
crystal-maiden,-2.40,42.60,219188
terrorblade,-2.55,48.45,79575
morphling,-2.59,49.23,231097
legion-commander,-2.61,48.43,554914
ursa,-2.72,43.15,267201
phantom-assassin,-3.05,45.06,764310
huskar,-3.05,51.02,220301
slark,-3.24,46.37,498168
troll-warlord,-3.95,47.21,153695
lifestealer,-4.11,47.91,243212
ancient-apparition,-4.26,46.22,262265
viper,-5.30,47.22,149150
