hero,para,rate,matches
batrider,5.42,46.09,51673
shadow-demon,5.39,47.07,70322
techies,5.13,46.95,76156
bane,4.71,46.65,81275
nyx-assassin,4.60,51.08,152218
oracle,4.54,43.35,55728
lion,3.71,48.32,239093
rubick,3.54,46.47,158902
bounty-hunter,3.41,46.36,235209
slardar,3.30,51.59,176270
earth-spirit,3.17,42.03,34349
tusk,2.87,41.99,64808
io,2.83,37.02,27792
disruptor,2.67,51.08,95586
winter-wyvern,2.65,45.96,59336
clockwerk,2.61,50.42,76320
skywrath-mage,2.60,46.62,87043
sand-king,2.51,49.46,190972
tidehunter,2.51,50.51,96932
spirit-breaker,2.41,52.57,206223
keeper-of-the-light,2.35,50.10,97128
silencer,2.07,53.51,148643
witch-doctor,1.95,49.65,136944
chen,1.55,41.35,16085
clinkz,1.47,45.04,129365
ancient-apparition,1.46,50.00,109469
lich,1.40,54.14,101562
riki,1.37,53.82,350286
dazzle,1.37,51.21,121824
earthshaker,1.36,49.39,189973
pugna,1.36,45.70,65445
magnus,1.33,46.05,88578
venomancer,1.26,50.90,96011
kunkka,1.22,47.36,191098
weaver,1.20,48.47,144119
axe,1.11,51.85,326048
lina,1.09,43.57,125956
razor,1.08,44.84,93920
ursa,1.03,53.76,187260
ogre-magi,1.02,53.50,171058
gyrocopter,0.96,43.73,58557
centaur-warrunner,0.94,54.58,100200
mirana,0.92,51.19,342308
jakiro,0.90,52.47,75986
night-stalker,0.85,49.16,83093
natures-prophet,0.78,40.36,134700
crystal-maiden,0.77,54.35,215759
bloodseeker,0.75,49.61,266277
enigma,0.70,51.08,82482
beastmaster,0.68,45.48,32544
vengeful-spirit,0.52,51.38,122789
dark-seer,0.47,48.42,55444
pudge,0.44,51.81,540933
slark,0.41,49.84,397761
timbersaw,0.34,47.73,198280
phoenix,0.18,50.27,63058
chaos-knight,0.12,49.12,81030
elder-titan,0.10,53.29,51117
undying,0.04,49.40,65710
wraith-king,-0.00,54.65,225125
windranger,-0.02,43.90,183731
broodmother,-0.04,38.40,36746
morphling,-0.04,47.00,172767
enchantress,-0.05,38.68,52849
visage,-0.05,43.18,18233
treant-protector,-0.13,52.15,59875
underlord,-0.14,53.15,80068
faceless-void,-0.21,46.19,195324
doom,-0.25,42.08,54758
huskar,-0.29,44.82,166334
sven,-0.34,53.06,275704
juggernaut,-0.40,48.58,384270
bristleback,-0.41,47.16,140092
phantom-lancer,-0.47,44.06,99733
legion-commander,-0.56,47.57,431972
necrophos,-0.74,53.22,197870
omniknight,-0.78,58.52,216206
tiny,-0.84,43.42,122802
shadow-shaman,-0.85,51.05,129489
terrorblade,-0.89,47.42,59764
brewmaster,-0.97,45.80,28400
warlock,-1.13,53.67,78332
lycan,-1.39,44.44,41429
lifestealer,-1.48,46.89,180842
leshrac,-1.53,43.73,32609
luna,-1.63,52.67,167094
phantom-assassin,-1.66,50.24,557234
abaddon,-1.66,53.78,90668
death-prophet,-1.70,44.73,59259
viper,-1.74,46.86,111038
troll-warlord,-2.04,47.42,119283
anti-mage,-2.39,44.81,288521
sniper,-2.44,49.07,370540
dragon-knight,-2.78,46.82,75064
queen-of-pain,-3.07,39.70,76702
zeus,-3.18,51.58,153212
puck,-3.29,41.40,60468
medusa,-3.38,48.80,95244
spectre,-3.69,51.80,117854
ember-spirit,-3.84,38.79,68698
naga-siren,-4.32,42.91,38379
arc-warden,-4.68,40.27,32462
lone-druid,-4.99,36.80,28759
drow-ranger,-5.43,47.36,293330
meepo,-5.44,43.82,72869
outworld-devourer,-6.14,45.84,96815
templar-assassin,-6.43,41.17,61271
invoker,-6.91,42.29,248680
storm-spirit,-7.72,44.26,119393
tinker,-8.37,42.43,122860
shadow-fiend,-8.65,42.40,112925
