hero,para,rate,matches
huskar,6.87,58.08,110569
dazzle,6.60,51.99,84805
necrophos,6.32,48.56,124385
omniknight,5.96,42.72,134367
bristleback,4.83,54.44,78501
alchemist,3.97,53.78,262265
axe,3.90,49.87,183738
morphling,3.61,54.15,189832
dragon-knight,3.36,52.84,49624
underlord,3.29,47.58,48725
undying,2.72,51.26,42090
warlock,2.63,46.19,46201
crystal-maiden,2.41,46.44,115974
disruptor,2.00,50.53,59762
timbersaw,1.96,52.72,119134
winter-wyvern,1.46,55.32,34644
jakiro,1.37,47.93,44955
lifestealer,1.37,52.39,106112
sand-king,1.30,51.70,110877
legion-commander,1.29,52.11,227781
ogre-magi,1.05,46.81,100836
witch-doctor,1.04,51.11,81620
sven,0.97,46.49,143562
tidehunter,0.76,50.39,63346
earthshaker,0.75,50.93,99168
kunkka,0.70,52.86,121209
bloodseeker,0.64,50.36,131206
venomancer,0.53,49.27,55415
enchantress,0.42,60.87,29771
slardar,0.38,49.53,97844
dark-seer,0.35,51.26,33802
abaddon,0.29,44.73,65095
wraith-king,0.25,44.75,123179
lich,0.17,45.97,59120
troll-warlord,0.17,50.96,56125
treant-protector,0.17,47.15,35611
slark,0.09,49.69,244020
pudge,0.07,47.74,330915
shadow-shaman,0.05,47.82,70093
medusa,0.01,48.77,64888
phantom-assassin,-0.14,48.13,289902
lion,-0.14,52.61,136619
shadow-fiend,-0.16,52.79,89926
elder-titan,-0.26,45.93,33782
gyrocopter,-0.29,55.82,34068
faceless-void,-0.29,52.85,125372
techies,-0.46,54.37,33369
keeper-of-the-light,-0.47,50.10,52186
enigma,-0.50,48.31,46993
riki,-0.62,45.90,165941
windranger,-0.66,55.01,104428
night-stalker,-0.68,50.19,45879
viper,-0.71,51.22,63731
mirana,-0.88,48.13,196202
puck,-0.91,55.98,45024
ursa,-0.98,45.62,99459
sniper,-1.00,48.49,190839
chaos-knight,-1.03,49.71,44954
vengeful-spirit,-1.04,47.66,73707
io,-1.04,62.67,15554
tiny,-1.06,54.91,71783
zeus,-1.09,45.51,98174
doom,-1.19,56.43,32428
rubick,-1.26,53.73,91897
leshrac,-1.26,54.18,20779
lina,-1.39,55.41,72868
phoenix,-1.45,48.40,38944
outworld-devourer,-1.46,49.71,89934
centaur-warrunner,-1.49,44.54,61962
invoker,-1.50,53.06,212434
clockwerk,-1.51,49.38,48256
bounty-hunter,-1.57,53.60,123824
tusk,-1.60,57.55,34676
drow-ranger,-1.65,48.39,160854
spirit-breaker,-1.69,47.14,109798
silencer,-1.96,45.94,90622
magnus,-1.96,52.78,59122
batrider,-2.04,54.44,30825
luna,-2.07,44.80,92496
queen-of-pain,-2.09,57.13,55265
tinker,-2.21,51.81,111499
weaver,-2.26,50.22,78002
razor,-2.27,53.68,57340
ember-spirit,-2.29,57.62,49178
templar-assassin,-2.38,53.98,47139
nyx-assassin,-2.41,49.24,92087
pugna,-2.43,52.88,39636
phantom-lancer,-2.53,53.63,50979
shadow-demon,-2.56,53.23,41702
chen,-2.59,57.06,9717
meepo,-2.60,51.57,41343
skywrath-mage,-2.65,52.42,50579
juggernaut,-2.71,49.14,210941
terrorblade,-2.93,49.93,35552
oracle,-2.98,56.11,40178
broodmother,-3.17,58.98,21270
brewmaster,-3.37,51.25,18961
spectre,-3.77,43.79,78484
naga-siren,-3.79,52.38,25378
storm-spirit,-3.87,49.33,113114
earth-spirit,-4.03,56.20,21505
visage,-4.41,53.62,12406
death-prophet,-4.41,51.41,44245
beastmaster,-4.67,51.59,20018
lone-druid,-4.72,57.73,17001
bane,-4.99,52.00,49464
lycan,-5.94,51.00,23928
natures-prophet,-6.23,55.57,73271
arc-warden,-6.36,53.43,23826
clinkz,-7.83,50.60,73111
anti-mage,-8.24,48.98,158004
