hero,para,rate,matches
storm-spirit,4.92,52.14,111131
slark,4.30,53.57,226137
lifestealer,3.40,51.00,94873
anti-mage,3.17,49.13,167792
phantom-assassin,3.00,54.39,290834
riki,2.60,56.23,133065
spectre,2.54,56.91,86243
faceless-void,2.50,49.20,154585
centaur-warrunner,2.31,57.07,55540
pudge,2.23,54.49,254765
tiny,2.08,46.44,62042
wraith-king,2.04,57.50,115104
meepo,1.99,49.01,37967
ember-spirit,1.94,42.82,48514
clockwerk,1.86,51.81,41528
legion-commander,1.72,50.41,197014
juggernaut,1.60,51.31,209338
nyx-assassin,1.59,51.36,72464
night-stalker,1.53,51.24,39687
morphling,1.48,49.46,109929
alchemist,1.46,50.00,109469
viper,1.42,50.12,55997
spirit-breaker,1.36,53.77,93790
phantom-lancer,1.06,46.46,49902
mirana,1.01,52.97,148245
tinker,1.00,48.50,106346
naga-siren,0.94,47.00,22098
zeus,0.92,55.50,81642
clinkz,0.92,46.52,63222
ursa,0.87,55.40,89624
axe,0.80,53.43,165019
dragon-knight,0.70,50.23,47440
puck,0.66,44.79,39916
terrorblade,0.59,49.86,32674
templar-assassin,0.51,45.93,44996
chaos-knight,0.51,51.04,45176
shadow-fiend,0.49,48.36,85817
sniper,0.42,52.24,164287
huskar,0.42,46.85,72212
invoker,0.39,47.32,211027
lycan,0.38,46.96,20379
luna,0.38,55.46,84762
bristleback,0.31,49.23,69698
underlord,0.19,55.04,39456
ogre-magi,0.08,54.72,56581
tusk,0.03,42.51,27053
troll-warlord,0.03,50.15,50262
magnus,-0.06,47.13,58907
sand-king,-0.08,49.93,88602
brewmaster,-0.08,47.93,16425
drow-ranger,-0.13,51.73,139204
omniknight,-0.22,60.51,63106
timbersaw,-0.31,49.14,108302
sven,-0.31,54.79,149685
weaver,-0.50,49.37,71676
bloodseeker,-0.52,50.70,116269
windranger,-0.58,45.35,86886
doom,-0.65,43.59,27831
earthshaker,-0.69,50.10,69925
undying,-0.75,50.72,31377
medusa,-0.91,51.76,63797
treant-protector,-1.03,53.38,22553
kunkka,-1.23,47.91,104709
outworld-devourer,-1.44,49.84,89220
gyrocopter,-1.46,44.36,29883
slardar,-1.61,50.83,93397
queen-of-pain,-1.62,41.94,49681
beastmaster,-1.81,46.04,16333
lina,-1.81,43.98,50063
venomancer,-1.87,51.02,39549
natures-prophet,-2.22,40.78,52745
necrophos,-2.37,54.02,77994
abaddon,-2.56,54.95,41756
razor,-2.70,44.83,48965
death-prophet,-2.86,45.87,33868
bounty-hunter,-2.88,45.20,85566
enchantress,-2.94,39.16,21374
vengeful-spirit,-3.01,51.25,41899
broodmother,-3.19,38.78,17539
lion,-3.21,46.76,64898
silencer,-3.27,52.38,55809
arc-warden,-3.30,42.48,21137
jakiro,-3.43,51.88,24296
shadow-shaman,-3.63,51.27,36613
rubick,-3.84,44.80,44654
dark-seer,-4.06,47.89,26135
enigma,-4.13,50.28,35146
warlock,-4.38,53.53,26640
lone-druid,-4.43,38.59,13921
crystal-maiden,-5.14,52.79,55161
lich,-5.23,52.23,30781
phoenix,-5.24,49.18,24989
elder-titan,-5.55,51.90,25122
witch-doctor,-5.81,47.49,40902
skywrath-mage,-6.07,44.29,29337
bane,-6.25,43.37,27340
disruptor,-6.51,48.12,29460
earth-spirit,-6.70,39.58,14807
dazzle,-6.99,48.58,33977
leshrac,-7.21,42.80,15434
batrider,-7.33,42.09,25322
tidehunter,-8.03,46.90,60598
pugna,-8.04,43.04,25053
keeper-of-the-light,-8.52,46.35,25067
oracle,-8.61,39.43,19796
winter-wyvern,-8.88,42.35,19060
shadow-demon,-9.62,41.91,20093
visage,-14.04,38.60,9667
techies,-15.08,39.38,25142
chen,-23.19,32.56,6864
io,-35.40,24.29,11765
