hero,para,rate,matches
wraith-king,10.67,45.74,604925
clockwerk,10.62,51.72,132314
zeus,10.40,47.11,349051
ancient-apparition,9.40,51.01,152493
spectre,8.61,45.80,302048
storm-spirit,7.83,51.69,496460
abaddon,7.63,44.44,171125
medusa,7.36,48.74,307423
morphling,6.81,52.21,457210
pugna,6.80,54.28,114226
slark,6.22,49.15,886969
undying,6.17,49.39,114073
arc-warden,5.83,56.85,67308
phoenix,5.43,48.22,109314
tinker,5.40,52.28,420800
elder-titan,5.25,44.95,92347
lich,4.92,44.64,177290
venomancer,4.83,47.84,168725
winter-wyvern,4.67,53.54,96585
brewmaster,4.62,51.95,51585
faceless-void,4.31,51.76,458891
naga-siren,4.25,53.24,79188
sniper,4.20,47.53,793149
dark-seer,4.08,49.65,99524
oracle,4.01,56.69,92225
natures-prophet,3.72,58.04,237710
visage,3.71,54.69,30676
mirana,3.60,46.82,661915
leshrac,3.56,53.34,61885
tidehunter,3.41,48.22,180332
underlord,3.17,44.07,144318
pudge,3.15,45.74,1115617
razor,3.14,53.18,187152
necrophos,3.07,43.63,367961
phantom-lancer,3.07,53.24,202918
techies,2.95,52.77,137651
puck,2.80,54.63,162032
jakiro,2.69,45.11,133138
gyrocopter,2.66,54.02,109092
centaur-warrunner,2.50,42.94,190208
bounty-hunter,2.49,52.35,413292
lifestealer,2.36,49.44,354895
skywrath-mage,2.09,51.53,170885
death-prophet,1.83,51.33,134549
keeper-of-the-light,1.75,47.78,167908
bristleback,1.73,49.39,268701
juggernaut,1.69,47.92,841981
silencer,1.59,44.20,299362
sand-king,1.55,48.39,349686
enigma,1.40,45.82,150705
nyx-assassin,1.33,47.70,271710
tusk,1.29,55.88,119557
weaver,1.28,48.62,271318
earth-spirit,1.27,55.95,65020
ember-spirit,1.10,56.27,179219
viper,1.09,48.73,223593
shadow-fiend,0.86,49.92,347508
warlock,0.76,42.00,133665
batrider,0.71,52.58,86967
queen-of-pain,0.64,55.38,194353
enchantress,0.54,57.65,92008
lina,0.51,53.11,244921
doom,0.48,54.03,113655
treant-protector,0.48,43.93,100928
broodmother,0.43,57.89,63762
timbersaw,0.41,48.53,385303
ogre-magi,0.35,43.13,318314
earthshaker,0.30,47.32,340064
chen,0.04,55.29,28013
rubick,-0.07,51.00,281417
chaos-knight,-0.16,46.77,162046
invoker,-0.36,50.31,841946
disruptor,-0.44,45.96,190022
bane,-0.54,51.09,148038
lycan,-0.66,50.51,76406
luna,-0.70,42.11,336058
magnus,-0.71,50.10,188910
dazzle,-0.87,45.00,200715
witch-doctor,-0.91,46.77,236626
windranger,-1.09,51.45,387582
dragon-knight,-1.11,47.21,164656
lone-druid,-1.56,56.42,55757
shadow-demon,-1.58,50.45,136221
kunkka,-1.59,48.33,408956
io,-1.74,59.09,46542
lion,-1.90,48.37,441225
ursa,-1.91,41.91,357381
alchemist,-1.91,47.42,366752
beastmaster,-1.98,49.74,59989
omniknight,-2.06,36.35,367300
tiny,-2.14,51.02,247040
night-stalker,-2.28,46.08,161585
vengeful-spirit,-2.45,43.70,223345
axe,-2.70,43.43,630798
riki,-3.17,41.49,682618
huskar,-3.40,49.24,347527
templar-assassin,-3.76,49.98,168487
crystal-maiden,-3.80,40.43,380362
shadow-shaman,-3.92,42.70,244485
spirit-breaker,-4.20,42.72,400205
outworld-devourer,-4.66,44.87,318747
clinkz,-4.76,49.08,260411
terrorblade,-5.25,45.53,130611
drow-ranger,-5.30,43.40,661203
troll-warlord,-6.04,44.62,237576
sven,-6.12,40.09,636369
bloodseeker,-6.68,43.55,693271
slardar,-6.94,42.78,343559
legion-commander,-7.13,44.64,997118
phantom-assassin,-8.06,41.21,1346280
meepo,-10.27,44.48,173765
