hero,para,rate,matches
techies,9.29,47.02,126593
nyx-assassin,7.05,50.50,282213
keeper-of-the-light,6.32,50.28,175235
bane,6.05,45.52,143451
clockwerk,5.09,49.90,134138
earth-spirit,5.05,41.13,64127
batrider,4.53,44.00,87116
winter-wyvern,4.51,45.08,103707
skywrath-mage,4.21,45.64,157858
lion,4.16,46.82,461726
lich,4.00,53.81,178199
tusk,3.98,40.79,107913
tinker,3.44,46.20,413875
rubick,3.41,44.71,303925
ancient-apparition,3.17,49.13,167792
invoker,3.09,45.14,766585
kunkka,3.07,46.53,364893
venomancer,2.94,50.04,159806
arc-warden,2.87,41.80,60167
pugna,2.84,44.68,113368
lina,2.77,42.63,242475
bounty-hunter,2.66,44.35,400036
spirit-breaker,2.63,50.98,357713
treant-protector,2.53,51.83,99983
magnus,2.41,44.86,191355
visage,2.41,42.58,28514
puck,2.31,42.14,169230
sand-king,2.31,47.67,345389
oracle,2.24,40.75,97350
tiny,2.20,43.09,212787
chen,2.16,39.97,25826
earthshaker,2.12,48.07,344529
razor,2.09,43.62,161729
gyrocopter,2.03,42.53,82373
shadow-demon,1.96,43.86,114731
disruptor,1.90,49.00,173539
jakiro,1.88,51.29,133554
queen-of-pain,1.78,40.05,187460
underlord,1.72,52.46,143917
phoenix,1.70,49.34,109827
io,1.58,35.03,41082
zeus,1.57,52.43,336083
tidehunter,1.49,48.33,187106
leshrac,1.49,43.42,54971
pudge,1.44,50.64,1139861
witch-doctor,1.43,47.72,239091
night-stalker,1.40,47.75,137832
crystal-maiden,1.22,52.92,366904
axe,1.14,50.19,613216
dark-seer,1.10,47.05,89201
brewmaster,1.07,45.08,46745
elder-titan,1.00,52.10,92040
mirana,0.92,49.51,640554
ember-spirit,0.91,39.10,136599
silencer,0.84,51.20,274591
beastmaster,0.72,43.85,55056
warlock,0.69,52.99,135812
slardar,0.69,48.61,313477
ogre-magi,0.60,51.61,319762
windranger,0.60,42.54,339100
enigma,0.57,49.35,141391
riki,0.48,51.69,586417
timbersaw,0.41,46.11,368070
templar-assassin,0.35,42.52,152437
outworld-devourer,0.32,47.33,291846
shadow-fiend,0.04,44.78,333929
viper,-0.02,46.03,202071
dazzle,-0.06,48.82,212466
undying,-0.09,47.68,111513
doom,-0.10,40.54,94251
shadow-shaman,-0.13,49.76,225043
enchantress,-0.28,37.03,84751
bloodseeker,-0.36,47.41,430315
death-prophet,-0.38,43.69,123647
ursa,-0.53,51.28,270116
bristleback,-0.65,45.40,252450
centaur-warrunner,-0.66,52.07,179978
broodmother,-0.67,36.61,54499
dragon-knight,-0.76,46.15,137110
clinkz,-0.77,42.43,192846
vengeful-spirit,-0.77,49.08,201304
naga-siren,-0.80,42.87,55732
weaver,-0.81,45.87,211227
legion-commander,-1.07,45.69,730676
abaddon,-1.10,52.45,155466
phantom-lancer,-1.10,42.17,134728
necrophos,-1.46,51.21,359247
storm-spirit,-1.59,45.58,397803
sniper,-1.59,47.86,651138
medusa,-2.03,47.86,153864
phantom-assassin,-2.07,48.41,833293
alchemist,-2.39,44.81,288521
omniknight,-2.50,55.93,374911
natures-prophet,-2.83,37.37,215780
huskar,-2.92,42.05,284355
lone-druid,-2.95,36.07,46062
chaos-knight,-2.97,45.99,117397
troll-warlord,-3.41,45.16,173798
wraith-king,-3.50,51.14,339474
faceless-void,-3.85,42.92,274414
slark,-4.19,45.96,453475
meepo,-4.20,42.81,140137
lycan,-4.38,41.52,60281
sven,-4.82,49.10,350206
lifestealer,-4.84,43.72,265698
morphling,-4.87,43.16,211672
spectre,-5.26,49.39,123535
terrorblade,-5.39,43.70,70595
luna,-6.23,48.65,190507
juggernaut,-7.86,43.42,439740
drow-ranger,-8.65,44.23,414015
