hero,para,rate,matches
outworld-devourer,8.76,47.18,38862
ancient-apparition,8.45,46.57,23826
elder-titan,5.62,41.31,14821
silencer,5.44,42.06,34100
omniknight,5.43,35.54,48659
disruptor,5.40,44.78,24236
phoenix,5.08,44.21,15662
visage,4.84,51.39,7875
mirana,4.65,43.47,77889
underlord,4.38,40.84,21720
venomancer,3.87,43.60,25239
necrophos,3.62,40.15,44350
enigma,3.59,43.02,21726
tinker,3.43,47.46,52630
crystal-maiden,3.25,39.70,48229
shadow-shaman,3.24,42.12,31690
morphling,2.63,46.36,46771
shadow-demon,2.59,48.78,15760
lich,2.57,39.96,26890
drow-ranger,2.53,43.23,74630
tidehunter,2.51,44.03,25262
warlock,2.43,39.04,20367
clockwerk,2.35,44.09,20751
lion,2.28,46.64,52188
pudge,2.24,41.62,130907
medusa,1.51,42.37,29313
skywrath-mage,1.51,47.47,23044
jakiro,1.45,40.88,20592
dark-seer,1.42,44.64,15741
sand-king,1.27,44.52,45105
slardar,1.19,42.80,39136
ogre-magi,1.18,39.84,36426
rubick,1.13,47.86,32757
luna,1.04,39.23,43426
keeper-of-the-light,1.00,43.70,20419
earth-spirit,0.77,51.94,9571
zeus,0.65,39.33,43136
vengeful-spirit,0.65,41.42,32612
sniper,0.57,42.19,86682
dazzle,0.46,41.93,29678
kunkka,0.35,45.57,51632
wraith-king,0.35,37.91,52652
axe,0.31,41.12,73205
winter-wyvern,0.25,47.55,16040
timbersaw,0.25,44.74,44593
techies,0.24,47.65,16167
sven,0.11,39.15,64337
witch-doctor,0.06,43.54,33155
shadow-fiend,-0.02,45.78,39879
puck,-0.03,49.41,19702
nyx-assassin,-0.08,43.35,37036
undying,-0.09,42.81,18508
treant-protector,-0.12,40.05,16702
faceless-void,-0.22,45.81,54078
earthshaker,-0.36,43.33,42211
magnus,-0.38,46.57,27454
storm-spirit,-0.48,44.02,48246
templar-assassin,-0.49,47.98,21860
invoker,-0.94,46.33,92467
batrider,-1.09,47.96,14871
pugna,-1.27,46.51,17768
abaddon,-1.64,37.11,25322
juggernaut,-1.68,42.71,88216
dragon-knight,-1.74,43.28,23297
oracle,-1.86,49.85,16709
windranger,-1.93,47.37,45703
weaver,-2.29,43.29,36726
ursa,-2.31,38.23,47769
brewmaster,-2.43,44.83,10934
bloodseeker,-2.48,41.92,59349
queen-of-pain,-2.95,49.81,26200
night-stalker,-2.99,42.17,23270
lina,-3.00,47.65,33886
bounty-hunter,-3.03,45.93,53673
viper,-3.26,43.05,31156
leshrac,-3.32,46.20,11736
io,-3.33,54.64,7443
spirit-breaker,-3.36,39.57,48666
riki,-3.39,37.92,74383
tiny,-3.44,46.75,33604
alchemist,-3.46,43.10,43902
centaur-warrunner,-3.53,36.96,27089
doom,-3.56,48.27,14271
terrorblade,-3.85,42.65,19230
chen,-3.87,49.57,4525
gyrocopter,-3.99,46.96,18643
enchantress,-4.17,51.43,15494
razor,-4.23,45.82,27786
phantom-assassin,-4.26,39.43,130598
lifestealer,-4.34,42.67,44904
clinkz,-4.51,45.66,36340
beastmaster,-4.56,44.88,9155
ember-spirit,-4.67,49.54,23668
bristleback,-4.71,42.73,34682
bane,-5.03,45.25,22935
huskar,-5.03,44.88,41357
death-prophet,-5.32,44.21,20195
legion-commander,-5.37,41.99,93888
slark,-6.12,39.99,91962
anti-mage,-6.73,43.17,70003
broodmother,-6.80,50.30,13288
natures-prophet,-7.37,48.41,34549
spectre,-7.95,35.52,32453
troll-warlord,-8.15,40.23,28551
tusk,-8.23,47.22,16424
naga-siren,-8.45,43.35,14311
chaos-knight,-8.73,39.39,22925
meepo,-9.26,41.61,19144
lone-druid,-9.59,48.49,8525
lycan,-10.80,42.04,14131
phantom-lancer,-11.44,42.45,27246
