hero,para,rate,matches
oracle,10.30,40.10,14360
shadow-demon,6.75,42.08,14244
drow-ranger,6.26,47.52,62829
naga-siren,5.67,41.85,11535
faceless-void,4.94,43.02,45684
lion,4.68,43.23,42834
rubick,4.21,41.30,29956
bane,4.03,40.90,18483
batrider,3.75,39.96,12146
natures-prophet,3.53,36.24,28351
clockwerk,3.50,45.33,17345
sand-king,3.31,44.33,37742
slark,3.14,45.67,76946
vengeful-spirit,3.11,47.17,27055
winter-wyvern,3.06,40.74,13575
dark-seer,2.97,44.14,13013
anti-mage,2.87,41.80,60167
nyx-assassin,2.86,44.73,31102
lycan,2.81,40.93,11779
dazzle,2.60,46.32,23947
leshrac,2.60,40.20,9275
disruptor,2.56,45.53,20147
earth-spirit,2.36,36.51,8962
silencer,2.34,48.16,27918
bounty-hunter,1.99,40.38,45390
enigma,1.63,46.10,17686
enchantress,1.53,34.25,12998
earthshaker,1.49,44.03,33646
keeper-of-the-light,1.22,44.14,16907
magnus,1.02,40.59,20284
broodmother,0.94,33.78,11342
brewmaster,0.83,41.30,8964
jakiro,0.81,47.00,16541
lifestealer,0.74,42.59,38424
skywrath-mage,0.72,40.46,18513
centaur-warrunner,0.65,49.02,23097
omniknight,0.51,53.97,38673
shadow-shaman,0.46,46.33,25137
juggernaut,0.43,43.62,71523
ogre-magi,0.39,47.78,30396
mirana,0.35,45.51,58462
luna,0.32,48.32,33637
axe,0.27,46.03,62953
undying,0.21,44.12,15592
timbersaw,0.16,42.32,37487
witch-doctor,0.12,43.41,25818
treant-protector,0.08,46.88,13964
elder-titan,0.07,47.90,12199
legion-commander,0.07,42.54,79090
kunkka,-0.08,41.45,39397
riki,-0.21,47.62,63000
sven,-0.22,47.77,52341
pudge,-0.23,46.10,105698
slardar,-0.29,44.45,33630
warlock,-0.52,48.66,16151
razor,-0.52,38.93,21378
phoenix,-0.60,44.55,13137
lina,-0.61,37.69,25134
death-prophet,-0.66,39.97,14470
phantom-lancer,-0.90,38.69,23026
night-stalker,-0.91,43.01,19448
morphling,-1.00,41.30,37669
pugna,-1.06,39.41,14955
gyrocopter,-1.31,37.62,14454
chaos-knight,-1.43,43.09,19602
ursa,-1.51,47.12,39766
lich,-1.53,47.29,21409
underlord,-1.65,47.06,19033
tiny,-1.66,37.94,25796
phantom-assassin,-1.66,44.96,104148
visage,-1.72,37.36,6999
wraith-king,-1.84,48.37,45072
doom,-2.15,36.25,12094
terrorblade,-2.16,41.60,15396
clinkz,-2.28,38.27,28048
venomancer,-2.36,43.85,20579
necrophos,-2.39,47.09,35117
bloodseeker,-2.46,42.81,49580
bristleback,-2.60,40.94,28956
windranger,-2.66,37.67,34254
spirit-breaker,-2.79,44.67,41019
spectre,-2.87,47.03,26641
weaver,-2.98,41.30,29726
lone-druid,-3.01,32.74,7357
beastmaster,-3.08,38.69,7835
huskar,-3.10,38.47,32986
outworld-devourer,-3.14,42.13,24650
crystal-maiden,-3.16,47.03,37891
ancient-apparition,-3.30,42.48,21137
storm-spirit,-3.35,41.21,30178
troll-warlord,-3.35,41.63,23461
medusa,-3.98,43.35,22926
meepo,-4.12,39.36,15923
queen-of-pain,-4.14,34.38,18460
tusk,-4.28,34.21,13677
viper,-4.36,40.52,23815
alchemist,-4.68,40.27,32462
invoker,-5.05,38.13,57126
abaddon,-5.18,46.76,21460
zeus,-5.82,45.11,29765
tinker,-6.05,38.53,31507
dragon-knight,-6.26,40.15,19295
sniper,-6.39,42.06,61837
ember-spirit,-6.74,32.90,16832
templar-assassin,-7.57,35.84,15400
shadow-fiend,-8.35,37.69,26513
tidehunter,-8.55,40.17,22777
puck,-10.15,33.82,13159
techies,-11.10,35.05,15220
chen,-12.09,31.34,4458
io,-19.17,25.22,7564
