hero,para,rate,matches
troll-warlord,7.90,57.05,273678
phantom-lancer,7.84,61.46,221448
lycan,6.65,59.94,83974
broodmother,6.46,66.85,74085
chaos-knight,6.28,55.50,192495
beastmaster,6.12,59.53,64293
terrorblade,6.12,56.70,126023
phantom-assassin,6.06,53.24,1472959
visage,5.38,61.18,33003
dazzle,3.75,52.67,331314
naga-siren,3.64,58.47,79979
weaver,3.60,55.30,299567
windranger,3.58,59.40,398421
clinkz,3.42,58.82,262429
meepo,3.24,56.71,179235
huskar,2.97,57.99,445305
riki,2.39,49.33,747875
templar-assassin,2.27,58.57,180411
anti-mage,2.18,56.57,630798
faceless-void,2.01,56.09,458126
winter-wyvern,1.84,57.53,103959
natures-prophet,1.84,62.30,240947
omniknight,1.79,43.02,434812
night-stalker,1.58,53.37,178576
tusk,1.57,61.36,128015
brewmaster,1.53,55.87,57692
legion-commander,1.53,54.26,1013059
enchantress,1.40,63.39,99402
rubick,1.22,57.08,263261
mirana,1.21,51.17,677497
slark,1.18,52.25,896213
lone-druid,1.14,63.20,58384
vengeful-spirit,1.13,50.73,241456
sven,1.10,48.56,679529
drow-ranger,1.05,51.74,692185
bloodseeker,0.94,52.53,621778
bane,0.79,57.16,148154
juggernaut,0.71,52.88,892214
bounty-hunter,0.61,56.77,458240
oracle,0.51,60.08,104994
gyrocopter,0.49,58.23,117648
shadow-shaman,0.42,50.00,257818
lion,0.41,54.90,445288
dragon-knight,0.41,53.34,190796
slardar,0.39,51.54,404932
bristleback,0.39,54.14,354580
io,0.27,65.35,49526
viper,0.27,53.73,296115
shadow-fiend,0.26,55.01,361742
earthshaker,0.20,52.66,381292
chen,0.14,60.60,29806
crystal-maiden,0.13,47.40,400417
sniper,0.11,51.04,874748
ursa,0.06,48.09,469542
ember-spirit,0.02,60.90,187816
spirit-breaker,-0.04,49.93,476828
puck,-0.08,58.40,162510
lina,-0.17,58.06,274123
nyx-assassin,-0.20,52.35,302034
arc-warden,-0.21,58.88,70490
queen-of-pain,-0.29,60.11,198454
razor,-0.45,56.64,212204
storm-spirit,-0.46,53.07,430300
ogre-magi,-0.47,48.09,346650
alchemist,-0.55,53.42,385003
techies,-0.65,56.24,141786
earth-spirit,-0.80,60.01,69027
lifestealer,-0.81,53.24,438028
leshrac,-0.85,56.37,61669
centaur-warrunner,-0.86,46.80,229023
magnus,-0.93,55.30,210262
morphling,-0.94,53.74,385462
sand-king,-0.96,52.52,400872
luna,-0.97,47.27,359461
tidehunter,-1.24,51.36,224678
tiny,-1.24,56.75,271669
dark-seer,-1.37,52.35,106910
invoker,-1.59,54.96,793135
keeper-of-the-light,-1.76,51.41,165580
enigma,-1.94,49.57,161145
tinker,-1.99,53.87,407059
skywrath-mage,-2.09,54.66,172117
undying,-2.10,50.81,145661
treant-protector,-2.25,47.96,110447
pudge,-2.31,48.55,1289700
kunkka,-2.31,53.23,445869
shadow-demon,-2.38,55.26,128226
medusa,-2.45,49.52,239062
death-prophet,-2.65,54.29,143844
abaddon,-2.76,45.30,200206
lich,-2.78,46.55,197616
witch-doctor,-3.18,50.91,268799
wraith-king,-3.26,45.11,499408
pugna,-3.37,54.29,124215
batrider,-3.45,55.55,97248
ancient-apparition,-3.52,50.17,177197
underlord,-3.57,46.34,174353
doom,-3.58,56.94,113979
disruptor,-3.68,49.64,184487
elder-titan,-4.03,46.10,112453
silencer,-4.11,46.84,300714
zeus,-4.26,45.96,376934
clockwerk,-4.26,49.92,154514
jakiro,-4.29,47.17,151004
warlock,-4.45,44.90,150890
spectre,-4.74,45.24,300016
necrophos,-4.75,45.40,437798
outworld-devourer,-6.11,49.24,344406
phoenix,-6.57,47.75,126317
venomancer,-6.82,47.53,199936
timbersaw,-7.39,49.74,487723
