hero,para,rate,matches
chen,4.60,46.40,22984
io,3.23,40.77,41070
clinkz,3.13,49.59,244364
templar-assassin,2.99,49.12,167393
lycan,2.96,50.22,61997
broodmother,2.96,43.23,55600
terrorblade,2.95,53.09,108706
troll-warlord,2.81,53.60,223180
lifestealer,2.79,52.76,309419
enchantress,2.63,43.40,81186
omniknight,2.57,64.14,442807
visage,2.48,48.05,27097
meepo,2.45,51.28,142703
techies,2.34,49.50,109857
dazzle,2.05,55.34,244938
necrophos,2.04,58.46,367348
weaver,2.00,52.65,266570
bounty-hunter,1.93,49.48,385868
huskar,1.87,49.56,334975
dark-seer,1.65,52.78,89847
bloodseeker,1.29,53.64,475302
viper,1.29,52.08,231624
natures-prophet,1.28,44.23,186362
phoenix,1.16,54.51,106787
anti-mage,1.14,50.19,613216
alchemist,1.11,51.85,326048
juggernaut,1.10,53.08,767643
treant-protector,1.10,56.52,87743
slark,0.96,53.87,793724
ember-spirit,0.91,44.37,171207
abaddon,0.91,58.87,143843
morphling,0.88,51.19,378962
ancient-apparition,0.80,53.43,165019
skywrath-mage,0.77,49.53,159099
death-prophet,0.68,49.55,132130
ursa,0.68,57.29,340085
lone-druid,0.65,42.59,43386
chaos-knight,0.63,53.11,139910
pugna,0.60,49.09,111434
wraith-king,0.58,58.64,347125
shadow-fiend,0.57,50.41,358811
queen-of-pain,0.57,44.85,188370
luna,0.51,57.51,341960
sniper,0.49,54.28,881669
arc-warden,0.27,46.03,62953
sven,0.23,57.06,527991
zeus,0.22,57.09,359658
tinker,0.21,50.13,413237
night-stalker,0.19,52.57,126047
mirana,0.10,54.49,597028
phantom-lancer,0.03,47.98,191975
oracle,-0.02,45.11,92411
shadow-shaman,-0.08,55.15,235189
doom,-0.13,45.80,74305
riki,-0.15,56.70,622159
pudge,-0.16,55.20,964557
invoker,-0.21,49.03,782662
dragon-knight,-0.21,51.78,136793
crystal-maiden,-0.22,57.49,371550
naga-siren,-0.22,48.45,68045
leshrac,-0.22,48.01,55381
tusk,-0.28,44.34,97139
phantom-assassin,-0.30,54.63,1196210
windranger,-0.32,47.46,361955
outworld-devourer,-0.38,52.36,328930
razor,-0.42,47.86,187411
silencer,-0.42,55.89,274157
tiny,-0.45,47.27,214750
drow-ranger,-0.48,53.54,641504
winter-wyvern,-0.53,48.22,97609
venomancer,-0.53,53.70,159807
bane,-0.58,47.97,132072
gyrocopter,-0.59,46.72,103741
ogre-magi,-0.71,56.25,275998
legion-commander,-0.72,51.18,652842
lich,-0.75,56.65,183309
beastmaster,-0.79,48.49,43081
enigma,-0.88,53.96,115468
timbersaw,-0.90,50.83,313532
medusa,-0.90,53.74,225324
brewmaster,-1.11,49.41,42088
vengeful-spirit,-1.19,54.17,205735
kunkka,-1.24,49.88,348709
witch-doctor,-1.29,51.75,243372
puck,-1.32,45.87,157348
spirit-breaker,-1.47,54.23,327655
undying,-1.49,52.31,97690
lina,-1.53,46.07,251543
warlock,-1.60,57.02,139201
bristleback,-1.60,50.26,197098
storm-spirit,-1.64,50.84,426225
spectre,-1.71,56.48,269140
disruptor,-1.76,52.52,170902
nyx-assassin,-1.88,51.56,236214
jakiro,-1.98,54.60,130020
shadow-demon,-2.04,47.38,108498
underlord,-2.09,55.72,120271
slardar,-2.25,52.45,245540
elder-titan,-2.31,55.61,81457
earth-spirit,-2.39,43.32,52939
tidehunter,-2.47,51.69,123785
earthshaker,-2.54,51.11,290426
keeper-of-the-light,-2.56,51.32,155853
lion,-2.69,48.96,408198
sand-king,-2.72,50.55,280689
rubick,-2.76,47.24,264352
centaur-warrunner,-3.25,55.87,129349
faceless-void,-3.84,48.08,332769
batrider,-4.06,45.49,72586
clockwerk,-4.11,50.69,103297
magnus,-4.85,46.77,145956
