hero,para,rate,matches
io,12.59,66.23,16815
techies,8.75,54.25,36022
tidehunter,8.07,48.92,56998
visage,7.01,54.97,12730
chen,6.75,57.55,9451
ancient-apparition,6.04,48.00,49464
arc-warden,4.58,54.75,22935
keeper-of-the-light,3.98,47.41,44131
timbersaw,3.96,48.83,91716
oracle,3.41,54.96,30801
earth-spirit,3.27,55.65,18943
lich,2.67,42.32,54170
batrider,2.66,52.19,26569
winter-wyvern,2.52,51.04,29411
pugna,2.37,50.63,35779
phoenix,2.36,45.43,32688
shadow-demon,2.17,50.97,31969
tinker,2.13,49.26,98978
brewmaster,1.79,49.16,18014
elder-titan,1.54,42.01,28271
disruptor,1.44,45.45,49309
skywrath-mage,1.44,49.81,46119
riki,1.42,42.10,156691
clinkz,1.39,50.87,70535
dark-seer,1.37,46.97,30012
underlord,1.26,41.91,40600
venomancer,1.21,44.82,49276
troll-warlord,1.08,46.62,57841
omniknight,1.03,36.21,103616
dazzle,1.02,44.50,62606
abaddon,1.00,40.37,53336
broodmother,0.99,56.86,21950
enchantress,0.88,56.49,29520
shadow-fiend,0.78,48.50,83362
faceless-void,0.73,48.61,105616
crystal-maiden,0.69,40.98,109258
lion,0.66,48.26,115089
alchemist,0.65,47.28,85979
anti-mage,0.50,48.88,153285
weaver,0.41,46.83,74353
templar-assassin,0.41,50.77,43719
jakiro,0.36,42.74,40162
viper,0.33,46.99,61794
queen-of-pain,0.32,53.85,50926
storm-spirit,0.31,46.72,98534
bounty-hunter,0.29,49.86,113532
treant-protector,0.27,42.49,32207
ursa,0.23,41.49,99136
nyx-assassin,0.18,45.79,73965
leshrac,0.17,50.22,20666
juggernaut,0.10,45.81,184496
phantom-assassin,0.09,43.52,293950
puck,0.08,51.82,40413
natures-prophet,0.04,54.63,71024
legion-commander,0.03,46.72,212137
dragon-knight,0.03,46.39,45821
windranger,0.02,50.66,96218
bristleback,-0.01,47.18,72467
morphling,-0.02,47.51,91945
outworld-devourer,-0.06,45.68,73888
warlock,-0.23,40.27,40449
enigma,-0.23,43.73,43284
lifestealer,-0.24,46.82,98371
magnus,-0.28,48.96,52103
huskar,-0.32,49.44,85378
rubick,-0.33,49.51,78605
lone-druid,-0.41,55.74,16507
lina,-0.41,51.27,67355
shadow-shaman,-0.45,42.90,68781
mirana,-0.52,43.61,158283
night-stalker,-0.54,45.55,45215
clockwerk,-0.61,45.12,40483
lycan,-0.76,49.11,24274
centaur-warrunner,-0.79,40.24,54031
ember-spirit,-0.97,53.78,46759
tusk,-1.01,53.26,33803
axe,-1.05,42.83,153601
necrophos,-1.08,40.56,95821
invoker,-1.08,48.59,194699
witch-doctor,-1.12,45.33,72326
tiny,-1.15,50.19,65698
drow-ranger,-1.16,43.96,148703
wraith-king,-1.24,39.51,112038
vengeful-spirit,-1.29,42.89,64409
sven,-1.33,40.82,139551
ogre-magi,-1.36,41.08,82752
gyrocopter,-1.38,50.55,33429
kunkka,-1.39,47.08,102877
slark,-1.41,44.28,197492
pudge,-1.43,42.38,292820
sniper,-1.43,43.63,188279
slardar,-1.48,43.96,80361
zeus,-1.48,40.73,90497
bloodseeker,-1.54,44.61,125677
luna,-1.71,40.38,82330
spirit-breaker,-1.71,42.50,105232
earthshaker,-1.79,44.99,87335
undying,-1.85,44.33,36408
medusa,-2.09,43.12,58259
beastmaster,-2.14,48.32,17561
doom,-2.26,51.22,28336
meepo,-2.68,46.91,37272
razor,-2.77,48.80,55777
terrorblade,-2.78,45.39,33160
spectre,-2.82,39.69,67448
silencer,-2.86,40.96,78813
death-prophet,-2.91,47.61,40077
naga-siren,-2.92,48.25,23919
sand-king,-3.18,44.82,90789
phantom-lancer,-4.63,47.96,51787
chaos-knight,-6.81,42.39,43750
