hero,para,rate,matches
meepo,8.43,47.00,31722
natures-prophet,7.39,39.92,49738
broodmother,6.80,38.01,17143
lycan,6.17,44.68,19848
anti-mage,6.01,45.50,138540
naga-siren,5.25,44.07,19495
alchemist,4.86,46.72,78445
lone-druid,4.81,37.62,12859
leshrac,4.23,43.20,14754
arc-warden,4.16,40.95,17803
terrorblade,4.06,46.66,29202
sven,2.93,51.69,124260
luna,2.71,51.89,70867
magnus,2.63,43.58,39869
medusa,2.62,48.73,51900
brewmaster,2.19,44.20,14853
shadow-fiend,2.13,44.34,70171
timbersaw,2.13,45.51,79287
juggernaut,1.91,46.63,168149
oracle,1.88,39.28,16307
death-prophet,1.88,43.32,31583
tinker,1.78,44.08,81356
phantom-lancer,1.72,42.02,47272
clinkz,1.72,42.13,58877
ember-spirit,1.72,38.10,40596
slark,1.70,47.41,175531
abaddon,1.62,52.51,38687
visage,1.58,40.89,8437
doom,1.44,39.83,23022
dark-seer,1.34,45.79,21223
ursa,1.31,50.85,83145
enchantress,1.10,36.26,20691
morphling,0.81,44.37,82060
centaur-warrunner,0.80,51.46,45849
invoker,0.80,42.78,162418
kunkka,0.78,44.13,83790
lifestealer,0.69,44.90,78040
tiny,0.64,41.10,55701
templar-assassin,0.63,41.29,38045
chaos-knight,0.61,46.32,40052
razor,0.57,41.63,54474
mirana,0.50,47.94,150991
faceless-void,0.49,43.50,88196
phantom-assassin,0.41,48.26,250818
gyrocopter,0.40,40.53,27672
bristleback,0.35,44.50,62610
weaver,0.28,45.01,61658
sand-king,0.17,45.31,65740
elder-titan,0.09,50.26,19113
riki,0.09,50.12,120458
spectre,0.08,50.81,66316
troll-warlord,-0.03,45.38,49627
storm-spirit,-0.07,44.92,82233
night-stalker,-0.12,45.67,37551
underlord,-0.13,50.14,30509
queen-of-pain,-0.13,38.01,40624
bloodseeker,-0.15,46.15,101199
sniper,-0.16,47.19,152931
drow-ranger,-0.19,46.96,123677
clockwerk,-0.21,46.03,32327
enigma,-0.25,47.58,27382
zeus,-0.26,50.12,69015
huskar,-0.26,41.86,68641
warlock,-0.28,51.12,23294
chen,-0.33,37.71,5866
jakiro,-0.38,48.79,22558
keeper-of-the-light,-0.45,45.72,23597
axe,-0.63,47.95,127462
pugna,-0.67,41.83,22664
treant-protector,-0.71,48.84,20294
legion-commander,-0.78,44.48,165428
omniknight,-0.83,55.56,56456
outworld-devourer,-0.93,45.39,64091
dragon-knight,-0.94,44.73,40988
wraith-king,-1.06,51.09,100413
pudge,-1.12,48.01,233138
batrider,-1.25,40.26,19122
necrophos,-1.46,49.86,64144
lina,-1.49,39.56,47232
dazzle,-1.62,46.72,31679
shadow-shaman,-1.64,47.66,37045
bounty-hunter,-1.73,41.14,82322
beastmaster,-1.77,41.44,13418
undying,-1.82,45.51,26495
puck,-1.88,39.12,31451
lich,-1.88,49.43,30459
silencer,-2.02,48.40,47398
windranger,-2.18,40.06,76038
witch-doctor,-2.28,44.64,36488
venomancer,-2.29,46.16,32202
tidehunter,-2.32,45.18,41683
earthshaker,-2.33,44.64,56370
spirit-breaker,-2.41,47.14,80283
vengeful-spirit,-2.43,46.92,36550
slardar,-2.46,45.76,68963
phoenix,-2.57,45.94,20852
winter-wyvern,-2.63,40.69,16636
nyx-assassin,-2.88,44.50,54687
disruptor,-3.31,45.17,24527
viper,-3.39,43.17,51663
skywrath-mage,-3.51,40.96,27311
tusk,-4.08,36.38,24997
ogre-magi,-4.52,47.68,43570
crystal-maiden,-5.18,48.28,51911
techies,-5.78,39.28,23550
lion,-5.81,41.06,54453
rubick,-5.90,39.43,37084
ancient-apparition,-6.27,43.36,26399
earth-spirit,-6.56,35.37,12032
shadow-demon,-7.27,38.66,14732
io,-8.48,30.44,8712
