hero,para,rate,matches
templar-assassin,6.71,53.06,29659
axe,4.70,44.46,101255
treant-protector,3.47,43.00,20735
timbersaw,3.42,47.71,63834
warlock,3.09,40.78,26006
ursa,2.97,41.79,59970
tinker,2.65,48.65,66021
dark-seer,2.64,46.71,20355
elder-titan,2.61,41.62,20342
ancient-apparition,2.55,45.56,30825
sven,2.05,41.39,85435
dazzle,1.94,44.06,35953
underlord,1.91,41.35,30762
clockwerk,1.81,45.38,27801
winter-wyvern,1.77,49.81,19593
troll-warlord,1.73,46.07,34449
pudge,1.66,42.87,170995
keeper-of-the-light,1.62,45.48,26178
techies,1.48,49.77,18731
sand-king,1.43,46.11,62189
tiny,1.41,50.63,42568
slardar,1.39,44.39,57147
skywrath-mage,1.38,48.93,29274
shadow-demon,1.36,49.72,24241
kunkka,1.34,47.54,68156
night-stalker,1.24,45.52,29114
lion,1.23,47.68,68049
disruptor,1.18,44.49,32755
crystal-maiden,1.14,40.34,58517
broodmother,1.08,56.07,14584
arc-warden,1.03,52.04,14871
lich,1.00,40.81,32573
phantom-assassin,0.71,42.96,161192
dragon-knight,0.70,45.86,29925
jakiro,0.68,42.05,25757
necrophos,0.62,40.44,59272
mirana,0.47,43.21,103926
outworld-devourer,0.45,45.07,55302
nyx-assassin,0.42,45.07,54860
spirit-breaker,0.40,42.59,62462
chen,0.37,53.27,5397
meepo,0.35,47.53,22550
centaur-warrunner,0.34,39.89,35936
shadow-shaman,0.33,42.40,38036
magnus,0.26,48.38,34972
terrorblade,0.21,45.95,23181
visage,0.19,50.63,8699
omniknight,0.16,35.13,61155
riki,0.11,40.75,94746
earthshaker,0.03,45.00,55515
rubick,0.01,48.83,43806
ogre-magi,-0.02,40.82,51079
spectre,-0.08,40.00,45022
zeus,-0.18,40.45,55089
legion-commander,-0.26,45.75,119701
enigma,-0.32,42.87,26727
brewmaster,-0.33,47.30,12559
wraith-king,-0.43,39.03,65320
bristleback,-0.47,46.13,43984
io,-0.47,57.73,8765
puck,-0.49,50.69,26358
phantom-lancer,-0.54,49.18,32164
invoker,-0.58,48.00,112942
morphling,-0.61,46.39,60181
chaos-knight,-0.62,44.37,27681
enchantress,-0.72,54.77,18607
tidehunter,-0.78,44.09,36190
anti-mage,-0.79,47.42,90308
phoenix,-0.79,43.21,19774
drow-ranger,-0.81,43.29,95443
earth-spirit,-0.81,52.62,12037
tusk,-0.89,52.50,20705
vengeful-spirit,-0.95,42.22,47699
witch-doctor,-1.05,44.53,41454
bloodseeker,-1.19,43.95,75032
alchemist,-1.22,45.57,55286
faceless-void,-1.30,46.80,71451
windranger,-1.43,49.09,57312
pugna,-1.48,47.90,22924
undying,-1.54,43.65,24131
beastmaster,-1.55,47.78,12094
shadow-fiend,-1.59,46.54,53055
lina,-1.66,49.80,41817
luna,-1.73,39.57,58398
razor,-1.76,48.48,35527
gyrocopter,-1.77,49.52,22244
bounty-hunter,-1.80,47.99,68162
leshrac,-2.01,48.31,13990
medusa,-2.02,42.35,38077
natures-prophet,-2.06,52.66,40108
lone-druid,-2.17,53.95,10177
venomancer,-2.55,42.35,32241
doom,-2.72,50.16,18801
bane,-2.75,47.81,26569
slark,-2.80,42.85,118024
naga-siren,-2.89,47.45,16840
storm-spirit,-2.93,44.39,67290
queen-of-pain,-3.23,51.13,33726
silencer,-3.40,39.94,49424
oracle,-3.45,50.50,23788
ember-spirit,-3.60,51.55,28494
lycan,-3.72,46.83,16698
juggernaut,-3.75,43.25,117105
sniper,-4.10,41.65,110048
lifestealer,-4.22,44.15,58436
weaver,-4.51,43.74,46029
clinkz,-4.60,47.06,43284
huskar,-4.65,46.49,51125
death-prophet,-4.77,45.90,26358
abaddon,-5.71,36.93,32766
viper,-5.75,43.36,39106
