hero,para,rate,matches
lycan,6.65,44.01,13612
broodmother,5.54,36.75,10911
alchemist,5.42,46.09,51673
naga-siren,4.76,43.01,14306
anti-mage,4.53,44.00,87116
terrorblade,4.35,45.92,20231
bounty-hunter,4.18,42.76,54322
meepo,3.93,44.19,20913
arc-warden,3.75,39.96,12146
drow-ranger,3.42,47.80,77497
templar-assassin,3.38,41.58,24916
lifestealer,3.23,45.18,52849
oracle,3.11,38.94,17733
juggernaut,3.03,46.29,109281
natures-prophet,2.83,37.42,28692
enchantress,2.82,36.09,14240
outworld-devourer,2.38,46.06,49214
clinkz,2.27,41.53,34016
luna,2.20,50.77,49129
viper,2.20,44.82,31007
gyrocopter,2.04,40.37,18077
shadow-fiend,1.85,43.38,45451
silencer,1.84,49.45,38062
death-prophet,1.73,42.42,19719
night-stalker,1.53,45.58,22846
medusa,1.49,47.34,33301
sniper,1.42,47.09,88448
tinker,1.41,43.08,54170
morphling,1.08,43.66,55088
undying,1.00,45.98,18215
treant-protector,0.94,48.80,15497
phantom-lancer,0.84,40.83,29103
bloodseeker,0.79,45.74,63191
huskar,0.77,41.47,42353
sven,0.71,49.73,76232
chaos-knight,0.70,45.52,24739
earth-spirit,0.68,37.32,10019
tiny,0.64,40.28,34682
centaur-warrunner,0.62,50.53,25519
phantom-assassin,0.56,47.49,143404
troll-warlord,0.47,44.77,29186
slark,0.45,45.98,109305
spectre,0.38,50.11,41855
ursa,0.37,49.53,51183
pugna,0.31,41.42,17715
invoker,0.23,41.72,95592
jakiro,0.18,48.22,19370
visage,0.17,39.52,7030
winter-wyvern,0.11,41.03,15661
mirana,0.01,46.86,76700
faceless-void,-0.07,42.44,48844
beastmaster,-0.10,41.33,8040
enigma,-0.11,46.81,20112
riki,-0.14,49.16,76489
brewmaster,-0.15,42.37,9727
leshrac,-0.16,40.57,10962
earthshaker,-0.18,44.80,41817
storm-spirit,-0.23,44.02,59003
shadow-demon,-0.26,40.77,19298
ogre-magi,-0.44,48.89,41462
ember-spirit,-0.47,36.50,25678
abaddon,-0.57,50.54,23897
legion-commander,-0.58,43.74,99407
magnus,-0.64,41.38,24003
vengeful-spirit,-0.66,46.94,31993
witch-doctor,-0.70,44.54,30776
venomancer,-0.71,46.08,24473
weaver,-0.81,43.70,35011
razor,-0.89,40.22,27951
kunkka,-1.07,42.50,54745
lina,-1.17,38.89,31917
rubick,-1.22,40.59,36828
clockwerk,-1.27,44.71,18276
wraith-king,-1.27,50.14,58183
bristleback,-1.29,42.96,32638
nyx-assassin,-1.32,44.38,36139
warlock,-1.35,49.74,19573
omniknight,-1.40,54.43,46603
bane,-1.41,40.20,19858
lone-druid,-1.45,34.62,7883
dragon-knight,-1.46,43.67,25261
necrophos,-1.50,49.01,42415
underlord,-1.50,48.62,20293
queen-of-pain,-1.57,36.68,26818
windranger,-1.57,39.51,42425
spirit-breaker,-1.80,46.61,47066
shadow-shaman,-1.85,46.74,28593
lion,-2.16,41.85,52945
doom,-2.17,37.63,14560
zeus,-2.24,48.31,42136
lich,-2.27,48.41,23500
pudge,-2.57,46.49,131310
sand-king,-2.68,43.21,40805
dazzle,-2.84,45.33,27346
elder-titan,-2.84,47.97,15844
skywrath-mage,-2.87,40.44,22636
phoenix,-2.97,44.94,13308
crystal-maiden,-3.12,48.51,42322
disruptor,-3.31,44.37,26047
slardar,-3.43,44.49,38875
tusk,-3.86,35.71,16007
axe,-4.06,45.49,72586
puck,-4.65,37.25,20374
timbersaw,-4.76,41.65,42203
keeper-of-the-light,-4.84,42.91,20437
dark-seer,-5.95,41.71,13183
ancient-apparition,-7.33,42.09,25322
io,-7.56,30.06,7385
chen,-8.45,33.91,4532
tidehunter,-8.92,41.37,23844
techies,-14.76,34.84,15700
