hero,para,rate,matches
io,8.74,64.62,7331
visage,7.81,56.06,4533
techies,5.59,53.34,16553
ancient-apparition,5.51,48.41,20018
chen,5.01,57.26,4420
wraith-king,4.61,42.48,47428
arc-warden,4.05,55.12,9155
nyx-assassin,3.51,47.96,33801
skywrath-mage,3.25,51.35,19173
pudge,3.16,44.99,112354
silencer,3.15,44.12,30872
tidehunter,2.88,47.21,24374
lion,2.85,49.95,44878
pugna,2.66,51.41,14527
templar-assassin,2.64,52.54,20999
oracle,2.20,54.95,13066
lifestealer,2.15,48.58,41516
ursa,2.14,42.90,41879
slardar,2.13,46.20,36808
bane,2.09,51.68,17561
riki,2.08,43.00,64660
mirana,2.08,45.38,67932
anti-mage,1.98,50.23,62097
earth-spirit,1.76,55.47,8661
outworld-devourer,1.71,47.12,34261
enigma,1.61,45.16,18413
phoenix,1.55,45.69,15166
ogre-magi,1.52,42.89,34997
broodmother,1.51,57.77,9576
treant-protector,1.49,43.63,13310
batrider,1.46,52.22,12094
dazzle,1.39,45.28,23586
disruptor,1.34,46.03,20810
juggernaut,1.14,46.91,78927
abaddon,0.99,40.97,21846
legion-commander,0.83,47.72,81816
faceless-void,0.75,49.25,48155
tinker,0.75,49.22,41799
clinkz,0.73,51.16,30422
storm-spirit,0.59,47.47,42620
natures-prophet,0.56,55.54,27406
night-stalker,0.49,46.65,20979
puck,0.49,52.66,18237
lone-druid,0.46,56.85,7851
vengeful-spirit,0.41,44.25,28658
razor,0.37,51.01,24019
shadow-demon,0.37,50.70,15681
enchantress,0.29,56.78,11941
keeper-of-the-light,0.28,46.35,18847
bounty-hunter,0.24,50.46,45730
spirit-breaker,0.23,43.96,43780
morphling,0.21,48.24,41462
huskar,0.21,50.33,36343
doom,0.20,53.14,14459
zeus,0.18,42.02,37369
clockwerk,0.13,46.08,17940
shadow-shaman,0.06,43.73,26268
shadow-fiend,-0.08,48.71,37207
tusk,-0.10,54.37,16266
omniknight,-0.32,36.30,40891
dragon-knight,-0.32,46.85,20783
drow-ranger,-0.36,44.93,63211
weaver,-0.47,47.04,32796
necrophos,-0.61,41.36,39351
troll-warlord,-0.63,46.45,26691
slark,-0.63,45.24,79856
luna,-0.64,41.42,38528
meepo,-0.68,48.50,15814
death-prophet,-0.77,49.28,16958
crystal-maiden,-0.79,40.97,40737
viper,-0.92,47.03,27764
rubick,-0.92,49.83,32342
elder-titan,-1.02,41.55,12526
magnus,-1.02,49.21,23803
lycan,-1.04,49.59,11622
invoker,-1.06,49.22,76006
bloodseeker,-1.08,45.43,52168
tiny,-1.09,50.83,29179
windranger,-1.09,50.71,38802
phantom-assassin,-1.18,43.57,110516
gyrocopter,-1.35,51.18,15537
undying,-1.43,45.13,16135
venomancer,-1.57,44.20,21847
sand-king,-1.67,46.13,41140
lina,-1.75,51.19,28733
leshrac,-1.78,49.86,8594
alchemist,-1.79,46.75,37389
witch-doctor,-1.85,45.60,28713
terrorblade,-1.87,46.43,15735
queen-of-pain,-1.91,53.26,22465
lich,-2.11,40.94,22011
sven,-2.21,41.05,58583
naga-siren,-2.30,49.17,10649
warlock,-2.50,39.94,16771
brewmaster,-2.51,47.69,7956
spectre,-3.14,40.14,31619
jakiro,-3.19,41.82,16959
dark-seer,-3.27,45.43,12821
centaur-warrunner,-3.46,39.74,23956
earthshaker,-3.54,44.79,37502
chaos-knight,-3.56,44.46,19758
ember-spirit,-3.64,52.93,21925
kunkka,-3.74,46.56,45277
phantom-lancer,-3.94,48.91,23654
bristleback,-4.04,45.88,30499
winter-wyvern,-4.22,48.28,12558
medusa,-4.37,42.71,26827
sniper,-4.46,42.88,74273
underlord,-4.54,40.09,18713
timbersaw,-5.48,44.98,42963
axe,-7.74,40.50,66691
