hero,para,rate,matches
natures-prophet,5.64,39.89,23049
death-prophet,5.31,45.42,15231
luna,4.32,53.35,36537
drow-ranger,4.05,49.61,59158
clinkz,3.83,43.64,25541
huskar,3.66,44.14,29587
sniper,3.63,49.63,62787
outworld-devourer,3.52,48.08,31339
vengeful-spirit,3.48,50.41,28216
lone-druid,2.68,37.45,6731
disruptor,2.63,48.59,16913
warlock,2.57,53.22,13923
invoker,2.56,44.16,67193
templar-assassin,2.49,42.68,19021
weaver,2.49,46.64,26621
tiny,1.89,42.22,23333
dragon-knight,1.76,46.57,16801
witch-doctor,1.76,47.12,22577
oracle,1.75,39.84,10661
shadow-demon,1.71,43.02,13970
terrorblade,1.69,46.22,14142
silencer,1.56,50.81,25260
pugna,1.54,43.38,12183
juggernaut,1.53,47.09,68462
slardar,1.50,48.25,24308
sven,1.49,51.60,46870
jakiro,1.37,50.28,13963
shadow-fiend,1.28,44.59,32859
rubick,1.25,43.05,25921
viper,1.22,45.86,23502
riki,1.16,51.29,50617
medusa,1.14,48.66,23584
faceless-void,1.06,44.37,34035
abaddon,0.92,52.77,16398
brewmaster,0.91,44.26,6068
meepo,0.90,44.35,13654
troll-warlord,0.88,46.42,22619
slark,0.88,47.65,70362
kunkka,0.79,44.76,33888
anti-mage,0.72,43.85,55056
phantom-lancer,0.70,42.20,20531
sand-king,0.70,46.17,26860
razor,0.69,42.29,20086
alchemist,0.68,45.48,32544
lina,0.63,41.01,23121
queen-of-pain,0.48,38.83,19390
lifestealer,0.40,45.39,31704
gyrocopter,0.39,41.13,12908
night-stalker,0.38,46.53,15110
lycan,0.34,42.84,11383
phantom-assassin,0.32,48.84,94750
windranger,0.24,41.66,31263
elder-titan,0.23,50.96,9080
zeus,0.23,51.00,31257
tinker,0.21,44.02,38219
storm-spirit,0.16,45.65,38455
chaos-knight,0.14,46.73,16462
undying,0.14,47.05,11242
venomancer,0.03,47.89,17527
enchantress,0.01,36.45,9737
mirana,0.01,48.32,51950
puck,-0.04,40.46,15286
batrider,-0.10,41.33,8040
wraith-king,-0.16,52.17,36516
ursa,-0.22,50.71,34002
naga-siren,-0.23,42.39,9239
bloodseeker,-0.25,46.72,39057
dazzle,-0.26,47.99,19728
lich,-0.30,50.85,17039
shadow-shaman,-0.52,48.83,21675
spectre,-0.54,51.12,27933
underlord,-0.60,50.52,13598
necrophos,-0.63,50.90,30870
leshrac,-0.75,41.74,7276
axe,-0.79,48.49,43081
enigma,-0.79,47.94,13163
timbersaw,-0.81,44.82,30030
broodmother,-0.91,35.84,7950
ember-spirit,-0.91,37.70,18436
phoenix,-0.93,47.33,10752
bounty-hunter,-0.94,42.07,36207
skywrath-mage,-1.00,42.64,15808
nyx-assassin,-1.05,45.95,23952
lion,-1.21,43.68,36031
bristleback,-1.22,44.42,21193
dark-seer,-1.25,45.23,8359
doom,-1.32,39.34,10535
centaur-warrunner,-1.34,50.99,16235
winter-wyvern,-1.39,41.82,10166
spirit-breaker,-1.44,48.22,30059
earthshaker,-1.48,45.64,25819
crystal-maiden,-1.53,50.75,30504
bane,-1.64,41.50,13938
tusk,-1.68,37.88,12330
keeper-of-the-light,-1.74,45.74,14901
ancient-apparition,-1.81,46.04,16333
ogre-magi,-1.93,49.59,27002
io,-2.00,33.14,5419
omniknight,-2.08,55.47,30985
chen,-2.09,37.62,4171
clockwerk,-2.34,45.65,12097
legion-commander,-2.41,44.35,59443
magnus,-2.47,42.01,15620
morphling,-2.65,43.45,37145
treant-protector,-2.67,48.48,10253
pudge,-2.78,47.81,82376
arc-warden,-3.08,38.69,7835
earth-spirit,-3.61,37.06,6606
tidehunter,-3.89,45.05,14696
visage,-4.71,38.93,3637
techies,-6.29,39.64,10623
