hero,para,rate,matches
anti-mage,5.83,56.45,719914
weaver,3.75,53.27,275539
timbersaw,3.66,53.56,335555
slark,3.16,51.17,941569
undying,2.99,51.35,105835
dark-seer,2.91,52.53,84162
drow-ranger,2.62,50.45,600976
death-prophet,2.55,55.11,128399
lycan,2.51,55.54,82992
omniknight,2.50,41.29,338524
riki,2.48,47.29,734578
clinkz,2.33,56.14,248649
night-stalker,2.28,51.65,162708
earth-spirit,2.08,59.74,51353
tidehunter,2.05,50.99,156273
outworld-devourer,1.98,51.40,252456
silencer,1.92,47.71,221023
arc-warden,1.87,58.08,59349
phoenix,1.84,49.96,97870
razor,1.81,55.87,188045
shadow-demon,1.72,55.52,87191
oracle,1.61,58.72,76949
faceless-void,1.52,53.76,361619
templar-assassin,1.44,56.05,158691
doom,1.38,57.85,89860
kunkka,1.38,53.17,338093
bane,1.27,55.39,125677
pugna,1.26,54.84,104358
magnus,1.21,54.45,154665
centaur-warrunner,1.00,45.62,182372
mirana,0.98,48.99,537822
batrider,0.95,56.05,75032
underlord,0.95,46.45,131728
sand-king,0.92,51.46,304477
beastmaster,0.92,54.57,52168
abaddon,0.89,44.96,164789
invoker,0.86,54.28,621839
disruptor,0.85,49.91,139989
lone-druid,0.83,61.04,51573
bounty-hunter,0.82,54.85,405161
alchemist,0.75,52.07,312566
visage,0.69,56.44,29275
terrorblade,0.64,51.72,113083
lich,0.62,46.13,165804
leshrac,0.61,55.16,55845
gyrocopter,0.61,56.28,107963
broodmother,0.61,61.24,68476
jakiro,0.60,47.52,123207
naga-siren,0.54,54.69,70847
phantom-assassin,0.50,48.39,1266018
phantom-lancer,0.46,55.23,211318
rubick,0.45,54.61,227140
queen-of-pain,0.44,58.57,177871
treant-protector,0.44,47.23,93892
sniper,0.40,49.14,816999
keeper-of-the-light,0.29,50.44,131518
skywrath-mage,0.16,53.89,142648
chen,0.13,58.62,26095
warlock,0.09,45.00,121868
viper,0.04,51.56,258734
dazzle,-0.05,48.70,181194
earthshaker,-0.09,50.47,304791
lina,-0.13,56.08,245452
enigma,-0.15,48.44,129880
tusk,-0.23,58.30,117832
bristleback,-0.25,51.76,289153
luna,-0.27,45.58,306763
vengeful-spirit,-0.32,47.97,193816
ursa,-0.33,45.87,431367
witch-doctor,-0.35,50.36,209148
io,-0.39,63.05,41684
enchantress,-0.40,60.33,92867
windranger,-0.42,55.10,355638
spirit-breaker,-0.42,47.71,436047
nyx-assassin,-0.46,50.18,230583
puck,-0.56,56.13,137628
natures-prophet,-0.62,58.86,212156
ancient-apparition,-0.64,49.64,131206
shadow-fiend,-0.68,52.47,303359
venomancer,-0.76,48.60,154095
elder-titan,-0.81,45.63,80355
winter-wyvern,-0.97,53.95,88974
juggernaut,-0.98,49.97,707881
huskar,-1.01,53.75,409605
axe,-1.04,47.45,645997
pudge,-1.04,47.16,1023711
sven,-1.26,45.42,551250
lion,-1.31,51.95,360153
tiny,-1.35,54.71,237038
spectre,-1.47,44.79,222966
crystal-maiden,-1.49,44.63,344938
troll-warlord,-1.52,50.05,271792
slardar,-1.57,48.52,294865
meepo,-1.68,52.02,132010
tinker,-1.73,52.02,336662
ogre-magi,-1.77,45.46,261734
morphling,-1.79,51.28,292955
ember-spirit,-1.82,57.86,158433
dragon-knight,-1.84,50.14,166231
shadow-shaman,-1.86,46.87,235707
necrophos,-1.98,44.72,322355
zeus,-2.12,44.99,323571
medusa,-2.14,47.68,198284
brewmaster,-2.37,51.74,52261
chaos-knight,-2.37,48.99,172394
clockwerk,-2.48,48.85,125383
legion-commander,-2.73,50.00,847925
lifestealer,-2.81,50.19,362572
techies,-3.37,52.74,133413
storm-spirit,-4.32,49.05,353809
wraith-king,-6.06,41.90,434393
