hero,para,rate,matches
broodmother,5.31,42.14,54791
tidehunter,3.55,52.76,129196
bristleback,2.98,50.49,232200
dark-seer,2.55,51.15,68140
troll-warlord,2.53,51.36,216225
chaos-knight,2.50,52.00,138195
abaddon,2.43,57.71,126427
winter-wyvern,2.36,47.53,71979
terrorblade,2.07,50.55,90767
lone-druid,2.07,41.17,38927
wraith-king,2.03,57.44,320710
brewmaster,2.02,48.89,40728
phoenix,1.92,52.85,79126
techies,1.91,47.21,103750
timbersaw,1.87,50.17,282905
omniknight,1.87,61.74,267060
underlord,1.81,55.89,107719
phantom-lancer,1.80,46.76,168619
centaur-warrunner,1.79,56.73,142364
medusa,1.79,53.12,169378
jakiro,1.76,54.62,102952
razor,1.71,46.81,154002
enchantress,1.69,40.99,71074
io,1.59,38.16,32488
dragon-knight,1.57,50.62,134071
warlock,1.44,56.75,102729
visage,1.36,45.47,23437
gyrocopter,1.29,45.55,87569
axe,1.29,53.64,475302
chen,1.22,42.87,18908
spectre,1.22,56.13,196067
doom,1.20,44.36,66048
elder-titan,1.18,55.55,63719
tiny,1.15,45.97,193233
leshrac,1.08,46.58,46179
magnus,1.05,47.61,124793
dazzle,1.05,52.74,143631
morphling,1.04,49.20,257853
meepo,1.01,48.49,109326
lycan,0.85,47.13,59027
naga-siren,0.84,46.90,56456
weaver,0.83,49.99,217382
windranger,0.81,45.94,291041
lich,0.80,55.50,138153
batrider,0.79,45.74,63191
alchemist,0.75,49.61,266277
treant-protector,0.73,54.28,74546
pugna,0.68,47.07,86840
keeper-of-the-light,0.67,50.97,113672
shadow-demon,0.65,46.62,69445
night-stalker,0.62,50.73,126041
sand-king,0.59,50.22,238924
juggernaut,0.55,50.73,566395
crystal-maiden,0.44,55.85,286838
zeus,0.42,55.17,331554
ursa,0.37,55.09,329955
shadow-shaman,0.37,53.36,200359
luna,0.31,55.38,254818
sven,0.27,55.06,458013
disruptor,0.20,51.53,121838
slark,0.08,51.36,557828
clockwerk,0.05,50.85,97915
tinker,0.05,48.00,303445
invoker,0.02,47.10,634949
templar-assassin,-0.10,45.61,130539
riki,-0.11,54.70,533907
enigma,-0.22,52.29,86910
necrophos,-0.24,55.15,276242
lion,-0.24,48.15,310049
beastmaster,-0.25,46.72,39057
ogre-magi,-0.25,54.50,212898
bane,-0.26,46.09,104925
death-prophet,-0.29,47.03,106585
earthshaker,-0.31,50.25,251723
phantom-assassin,-0.31,52.60,1021596
venomancer,-0.33,51.78,125167
anti-mage,-0.36,47.41,430315
viper,-0.52,49.12,207640
ancient-apparition,-0.52,50.70,116269
shadow-fiend,-0.56,47.81,260838
natures-prophet,-0.63,41.40,158490
mirana,-0.63,52.07,424676
witch-doctor,-0.66,50.04,175126
oracle,-0.68,42.81,60794
rubick,-0.80,46.17,187189
undying,-0.81,50.65,82746
lina,-0.83,44.38,205922
ember-spirit,-0.89,41.59,127614
slardar,-0.90,51.15,249752
clinkz,-0.95,45.62,200254
vengeful-spirit,-1.13,52.20,159587
sniper,-1.13,51.38,698147
lifestealer,-1.17,48.70,247492
tusk,-1.17,41.96,90803
nyx-assassin,-1.18,49.91,189426
pudge,-1.18,52.63,867463
faceless-void,-1.20,47.38,288874
kunkka,-1.34,47.81,269590
skywrath-mage,-1.36,46.46,121122
legion-commander,-1.44,48.80,566232
outworld-devourer,-1.45,49.79,220736
silencer,-1.74,53.16,192859
storm-spirit,-1.76,48.77,294559
queen-of-pain,-2.00,41.73,145505
puck,-2.04,43.55,117712
spirit-breaker,-2.17,51.86,339498
earth-spirit,-2.18,41.45,40656
arc-warden,-2.46,42.81,49580
huskar,-3.10,45.17,329325
drow-ranger,-3.87,49.75,479191
bounty-hunter,-4.05,44.62,308469
