hero,para,rate,matches
riki,6.25,44.40,837889
clinkz,4.23,52.59,256473
drow-ranger,4.10,46.59,468649
mirana,4.03,45.90,507291
elder-titan,3.76,43.22,72442
shadow-demon,3.40,51.89,80582
broodmother,3.38,58.49,60775
timbersaw,2.98,48.66,273798
shadow-fiend,2.90,49.82,261701
silencer,2.80,43.63,195857
arc-warden,2.73,54.07,53673
weaver,2.55,48.12,232978
nyx-assassin,2.53,47.16,244564
visage,2.50,52.95,26002
keeper-of-the-light,2.50,47.03,119140
outworld-devourer,2.46,47.12,215579
templar-assassin,2.44,52.09,132796
undying,2.40,46.54,92234
death-prophet,2.38,50.50,103687
io,2.35,60.49,37945
invoker,2.30,50.54,549967
kunkka,2.22,49.10,293369
sand-king,2.16,47.58,265918
underlord,1.97,42.49,115620
doom,1.90,53.69,80796
ancient-apparition,1.87,46.40,123824
chen,1.79,55.17,23499
alchemist,1.76,48.09,249157
spectre,1.74,41.83,202766
batrider,1.72,52.01,68162
medusa,1.57,45.02,160815
earth-spirit,1.47,54.97,49698
warlock,1.44,41.22,102514
oracle,1.40,54.18,73013
jakiro,1.37,43.45,102052
tidehunter,1.36,46.17,139440
disruptor,1.14,45.60,124100
dark-seer,1.11,47.14,74869
sniper,1.11,45.04,614624
morphling,1.06,48.31,262940
pugna,1.05,50.27,89576
winter-wyvern,0.88,50.51,72420
witch-doctor,0.59,46.40,178534
natures-prophet,0.54,55.19,182467
lone-druid,0.53,56.55,44044
skywrath-mage,0.37,49.58,122691
luna,0.24,41.46,251357
lich,0.18,41.57,138940
pudge,-0.00,43.27,849415
clockwerk,-0.03,45.67,107776
leshrac,-0.11,50.37,48991
tinker,-0.16,48.44,282956
night-stalker,-0.18,46.00,125905
phoenix,-0.19,44.58,84917
beastmaster,-0.25,49.54,45730
vengeful-spirit,-0.27,43.62,172651
juggernaut,-0.28,45.92,554181
bane,-0.29,50.14,113532
centaur-warrunner,-0.39,40.68,146021
lycan,-0.39,49.58,63096
ogre-magi,-0.47,41.72,230144
faceless-void,-0.47,48.31,303621
wraith-king,-0.51,40.08,315748
enchantress,-0.56,55.96,75382
terrorblade,-0.56,46.71,91128
windranger,-0.62,50.62,272858
dragon-knight,-0.66,46.35,126748
enigma,-0.67,43.82,104954
magnus,-0.68,49.05,135530
brewmaster,-0.75,48.22,42671
treant-protector,-0.75,42.34,84246
axe,-0.78,43.23,475424
necrophos,-0.83,40.94,271539
dazzle,-0.85,43.95,150236
storm-spirit,-0.88,46.44,285218
lina,-0.88,51.31,195623
gyrocopter,-0.88,51.09,87650
troll-warlord,-0.89,46.00,176592
bristleback,-0.92,47.03,205936
bloodseeker,-0.98,45.15,405161
rubick,-1.05,49.43,191029
lion,-1.10,47.70,308754
ember-spirit,-1.16,53.96,130941
viper,-1.21,46.56,184618
techies,-1.24,49.56,104132
phantom-assassin,-1.46,43.12,880051
legion-commander,-1.48,46.29,627283
spirit-breaker,-1.57,42.84,323690
puck,-1.61,51.22,115069
tiny,-1.63,50.23,189909
queen-of-pain,-1.74,53.02,145083
venomancer,-1.79,43.77,138166
razor,-1.81,49.57,154178
lifestealer,-1.87,46.34,265983
tusk,-1.90,53.06,94522
earthshaker,-2.02,45.17,246378
ursa,-2.09,40.81,277812
slark,-2.19,44.21,580335
zeus,-2.37,40.63,286506
anti-mage,-2.61,47.64,428436
omniknight,-2.70,35.13,260665
slardar,-2.73,43.67,351518
shadow-shaman,-2.87,42.13,179782
crystal-maiden,-2.97,39.76,284644
abaddon,-3.15,38.98,133396
sven,-3.42,40.22,398762
naga-siren,-3.79,48.09,60488
meepo,-4.35,46.38,109380
huskar,-4.77,47.51,260300
phantom-lancer,-6.01,47.53,150950
chaos-knight,-6.15,42.95,123999
