hero,para,rate,matches
timbersaw,4.40,46.82,249498
outworld-devourer,4.39,48.13,214476
batrider,4.18,42.76,54322
tinker,3.56,45.14,273748
alchemist,3.41,46.36,235209
spectre,3.33,52.75,191676
morphling,3.06,45.66,251603
tidehunter,3.06,47.96,119982
medusa,2.91,49.16,154896
storm-spirit,2.77,46.49,276253
anti-mage,2.66,44.35,400036
meepo,2.62,44.77,95881
sven,2.60,51.82,375714
juggernaut,2.48,47.18,502383
centaur-warrunner,2.47,52.61,128821
underlord,2.45,51.73,94227
lifestealer,2.43,45.97,236687
bristleback,2.40,45.70,181506
ember-spirit,2.22,38.56,119702
faceless-void,2.12,44.50,267028
naga-siren,2.10,43.04,50673
clockwerk,2.00,47.34,89669
arc-warden,1.99,40.38,45390
axe,1.93,49.48,385868
luna,1.64,51.64,219279
brewmaster,1.54,44.21,35695
keeper-of-the-light,1.24,46.79,81349
terrorblade,1.21,45.67,79378
magnus,1.16,43.24,111087
puck,0.94,40.52,99613
shadow-demon,0.92,42.35,56210
disruptor,0.92,47.44,89005
winter-wyvern,0.82,42.42,54277
invoker,0.80,43.06,505705
abaddon,0.79,52.37,104671
phantom-assassin,0.78,48.73,795028
leshrac,0.72,42.03,38547
lone-druid,0.68,36.41,35181
dragon-knight,0.63,45.72,114334
warlock,0.46,51.79,77768
elder-titan,0.44,50.73,53437
phantom-lancer,0.35,41.73,134004
queen-of-pain,0.32,38.45,126550
death-prophet,0.29,42.92,89729
chaos-knight,0.19,46.41,111438
tiny,0.13,41.17,162888
lion,0.10,43.92,219214
windranger,0.09,41.27,230978
zeus,0.09,50.59,227349
silencer,0.03,49.70,151548
razor,-0.06,41.65,137987
oracle,-0.07,38.80,50652
sand-king,-0.18,45.43,201247
doom,-0.24,39.45,62910
lich,-0.24,50.54,102223
ursa,-0.25,50.35,240620
rubick,-0.27,42.07,141261
dark-seer,-0.29,45.34,61475
lina,-0.29,40.32,155963
omniknight,-0.43,56.07,191638
skywrath-mage,-0.50,42.52,90355
jakiro,-0.50,49.02,74272
wraith-king,-0.60,51.61,282797
kunkka,-0.62,43.80,236019
enchantress,-0.78,35.85,59977
slark,-0.79,46.53,508949
earthshaker,-0.79,45.63,189156
visage,-0.86,40.19,19124
ogre-magi,-0.89,49.78,157652
beastmaster,-0.94,42.07,36207
enigma,-0.99,47.51,73634
night-stalker,-1.06,45.52,103037
witch-doctor,-1.06,45.48,129905
dazzle,-1.07,47.26,106493
gyrocopter,-1.14,40.18,74959
natures-prophet,-1.32,36.95,131732
undying,-1.32,46.03,69297
troll-warlord,-1.34,45.07,150957
venomancer,-1.43,46.85,99470
viper,-1.44,44.32,157619
legion-commander,-1.45,44.45,500378
vengeful-spirit,-1.51,47.65,120459
shadow-fiend,-1.53,43.03,230771
necrophos,-1.59,50.08,214626
sniper,-1.60,46.80,493987
bane,-1.68,41.16,85312
earth-spirit,-1.77,37.45,32303
spirit-breaker,-1.87,47.68,254155
crystal-maiden,-1.92,50.22,196738
shadow-shaman,-1.96,47.79,129624
pudge,-2.08,47.83,679742
pugna,-2.17,41.47,67716
phoenix,-2.28,46.36,62812
slardar,-2.45,46.04,212251
templar-assassin,-2.47,40.29,113275
nyx-assassin,-2.58,44.91,155279
lycan,-2.67,41.23,50633
ancient-apparition,-2.88,45.20,85566
drow-ranger,-3.19,45.83,366071
treant-protector,-3.36,47.81,57265
huskar,-3.39,40.82,224757
mirana,-3.77,46.17,340815
io,-3.99,32.18,24339
bloodseeker,-4.05,44.62,308469
weaver,-4.50,43.14,169564
broodmother,-4.90,34.10,44030
clinkz,-5.19,39.54,153451
techies,-5.40,39.70,70606
tusk,-5.48,36.11,72549
chen,-6.11,35.77,16070
riki,-7.92,46.37,292135
