hero,para,rate,matches
abaddon,4.31,43.41,21852
elder-titan,4.14,44.82,12972
templar-assassin,3.87,54.30,18180
ancient-apparition,3.80,48.75,18961
huskar,3.74,53.23,37787
io,3.74,62.73,5846
venomancer,3.40,47.54,21949
chen,3.30,57.44,3863
warlock,3.20,43.36,17982
treant-protector,3.19,45.46,14947
lich,2.79,44.08,22168
bloodseeker,2.67,48.26,52261
techies,2.59,52.93,13513
earth-spirit,2.51,56.98,6824
wraith-king,2.44,42.68,44868
beastmaster,2.41,52.31,7956
visage,2.12,54.20,7040
arc-warden,2.06,55.17,10934
dragon-knight,2.01,49.05,22680
jakiro,1.93,45.12,17352
terrorblade,1.93,49.33,17511
riki,1.77,43.95,59888
chaos-knight,1.76,48.02,22444
tidehunter,1.72,47.77,22246
zeus,1.62,43.70,34884
meepo,1.61,50.71,13016
shadow-demon,1.58,52.42,11014
nyx-assassin,1.48,48.11,28906
keeper-of-the-light,1.45,47.98,14829
spirit-breaker,1.45,45.58,41623
viper,1.41,49.23,29261
ursa,1.41,43.67,42051
medusa,1.40,46.38,25877
faceless-void,1.12,50.52,41853
outworld-devourer,1.04,47.90,29066
lone-druid,1.03,58.24,7038
enigma,1.00,45.98,18730
troll-warlord,0.95,48.28,26234
luna,0.70,43.04,36530
bounty-hunter,0.70,51.78,42671
shadow-shaman,0.67,45.07,26971
drow-ranger,0.56,46.43,58389
kunkka,0.51,49.71,39630
storm-spirit,0.46,48.50,35948
lycan,0.42,51.41,14037
underlord,0.39,43.22,18117
disruptor,0.37,46.67,19512
batrider,0.30,52.70,12559
ember-spirit,0.29,56.16,18723
phantom-assassin,0.28,45.29,105285
slardar,0.17,46.39,34141
tiny,0.16,52.56,29169
enchantress,0.16,57.77,14364
pudge,0.15,44.75,95670
winter-wyvern,0.13,51.56,13160
vengeful-spirit,0.07,45.17,26323
broodmother,-0.04,57.95,11891
spectre,-0.07,42.47,26513
sven,-0.08,43.00,54186
rubick,-0.12,51.32,24122
pugna,-0.17,51.08,15411
night-stalker,-0.25,47.38,22376
omniknight,-0.41,37.28,39347
puck,-0.49,53.22,14608
alchemist,-0.53,48.42,35494
undying,-0.53,46.62,16670
phoenix,-0.55,45.82,12383
necrophos,-0.60,42.41,36665
sniper,-0.67,45.64,69881
crystal-maiden,-0.69,42.06,37861
silencer,-0.70,43.54,29677
tinker,-0.78,49.55,35376
oracle,-0.82,54.39,12459
clinkz,-0.83,51.44,30841
skywrath-mage,-0.87,50.37,19989
lifestealer,-0.96,48.18,37929
dazzle,-0.99,45.28,22838
witch-doctor,-0.99,47.07,26559
gyrocopter,-1.02,52.42,17794
centaur-warrunner,-1.14,41.74,23701
lion,-1.22,49.04,39149
leshrac,-1.23,51.21,10885
earthshaker,-1.23,46.93,34144
razor,-1.28,51.23,24753
magnus,-1.32,50.14,22152
bristleback,-1.38,48.22,31759
shadow-fiend,-1.48,49.10,32039
dark-seer,-1.49,47.33,13518
ogre-magi,-1.53,42.65,27534
axe,-1.64,44.23,60152
bane,-1.67,50.84,18014
tusk,-1.70,54.56,15358
morphling,-1.74,48.36,31923
juggernaut,-1.74,46.64,68069
queen-of-pain,-1.77,54.39,22274
invoker,-1.85,49.89,60096
weaver,-1.96,47.40,32317
windranger,-2.01,51.31,36932
slark,-2.04,45.66,70371
mirana,-2.27,44.50,55376
doom,-2.41,52.81,12527
clockwerk,-2.42,45.96,17806
sand-king,-2.66,46.72,36123
lina,-2.77,51.71,28338
legion-commander,-2.86,47.02,75305
phantom-lancer,-2.97,50.45,25874
natures-prophet,-3.11,54.54,27268
death-prophet,-3.90,48.77,18481
naga-siren,-4.54,49.08,13043
anti-mage,-4.63,48.01,53799
timbersaw,-6.36,45.58,35801
