hero,para,rate,matches
enchantress,6.47,39.88,12026
broodmother,6.28,39.51,9755
lycan,6.23,46.49,11403
natures-prophet,6.20,41.19,22343
gyrocopter,5.79,44.46,14302
leshrac,5.44,45.46,9126
death-prophet,4.64,46.25,14936
huskar,3.98,45.38,29158
naga-siren,3.87,45.23,10583
razor,3.83,44.71,20215
oracle,3.51,41.60,10565
tiny,3.50,43.98,22651
phantom-lancer,3.24,44.37,21163
viper,3.14,47.84,23999
legion-commander,2.95,47.89,59125
visage,2.84,43.10,6037
clinkz,2.84,44.31,25509
night-stalker,2.79,48.75,16947
vengeful-spirit,2.77,51.18,22026
weaver,2.63,47.81,26364
terrorblade,2.54,47.71,14394
troll-warlord,2.54,48.29,20955
skywrath-mage,2.47,45.22,16757
bane,2.30,44.25,15485
lifestealer,2.29,47.34,30770
bloodseeker,2.02,48.89,40728
dazzle,1.94,50.15,19408
lina,1.94,42.62,23870
queen-of-pain,1.77,40.38,18535
bounty-hunter,1.54,44.21,35695
windranger,1.47,43.24,29984
chaos-knight,1.45,48.43,17147
enigma,1.44,50.12,15124
jakiro,1.26,51.32,14824
warlock,1.22,53.62,14561
witch-doctor,1.21,47.96,22888
sven,1.19,52.55,41792
doom,1.11,41.36,9954
anti-mage,1.07,45.08,46745
winter-wyvern,1.03,43.91,11561
slark,1.00,48.80,58042
earthshaker,1.00,47.88,26665
outworld-devourer,0.99,47.99,23871
pugna,0.93,44.19,13256
tusk,0.93,39.92,11989
beastmaster,0.91,44.26,6068
undying,0.89,48.49,12803
sniper,0.87,49.41,58939
riki,0.85,52.22,49726
arc-warden,0.83,41.30,8964
luna,0.76,52.62,29893
bristleback,0.71,46.37,22342
shadow-fiend,0.67,45.40,25874
shadow-shaman,0.66,50.50,22467
sand-king,0.54,47.18,26704
silencer,0.54,51.39,24039
drow-ranger,0.52,49.01,45725
dragon-knight,0.52,47.09,17286
slardar,0.46,48.84,24032
templar-assassin,0.39,42.86,15241
magnus,0.35,44.30,15547
keeper-of-the-light,0.33,47.79,13062
juggernaut,0.30,47.60,55232
crystal-maiden,0.27,52.77,31421
venomancer,0.18,49.04,18265
ursa,0.16,51.98,32481
kunkka,0.06,45.51,29752
treant-protector,0.00,50.90,12280
ancient-apparition,-0.08,47.93,16425
rubick,-0.09,43.54,21937
dark-seer,-0.10,46.83,10249
batrider,-0.15,42.37,9727
zeus,-0.20,51.86,29078
lich,-0.36,51.89,18873
disruptor,-0.36,48.25,16480
mirana,-0.40,49.21,45217
necrophos,-0.44,52.07,30399
meepo,-0.52,44.79,10948
chen,-0.53,39.24,3379
wraith-king,-0.66,52.98,35342
nyx-assassin,-0.72,47.17,22953
ogre-magi,-0.94,51.16,22118
alchemist,-0.97,45.80,28400
pudge,-0.98,49.77,73353
centaur-warrunner,-1.08,52.19,16858
axe,-1.11,49.41,42088
phantom-assassin,-1.12,49.21,83118
lion,-1.15,44.76,33442
spirit-breaker,-1.17,49.43,30905
medusa,-1.35,48.53,21746
spectre,-1.80,51.53,22715
timbersaw,-1.81,45.42,24015
invoker,-2.11,43.19,47355
underlord,-2.15,50.80,13647
morphling,-2.22,44.70,27246
clockwerk,-2.29,46.73,13126
abaddon,-2.32,52.14,16859
ember-spirit,-2.36,38.15,15512
tinker,-2.78,43.75,29383
shadow-demon,-2.90,42.10,9810
omniknight,-3.19,55.86,29155
techies,-3.26,41.95,10782
lone-druid,-3.29,36.25,5713
puck,-3.54,40.05,11970
storm-spirit,-3.55,44.99,29668
earth-spirit,-3.56,38.07,5952
elder-titan,-3.71,50.00,10244
faceless-void,-4.09,43.14,29743
phoenix,-4.32,46.75,9727
tidehunter,-4.76,45.67,15747
io,-5.41,32.91,5071
