hero,para,rate,matches
riki,7.49,47.59,350858
broodmother,4.98,61.99,39467
lycan,4.47,54.64,47728
ursa,4.09,45.96,222872
tiny,3.99,55.72,135333
luna,3.87,45.53,172607
arc-warden,3.83,57.27,34682
troll-warlord,3.75,50.77,140146
beastmaster,3.70,54.12,30499
spectre,3.58,45.15,139743
phantom-assassin,3.47,47.87,663312
night-stalker,3.33,50.23,95629
chaos-knight,3.28,49.87,102194
weaver,2.88,50.88,149634
rubick,2.86,53.99,112239
huskar,2.82,53.90,208407
shadow-shaman,2.71,47.12,131348
pudge,2.70,47.01,544529
phantom-lancer,2.69,54.53,115301
clinkz,2.67,54.40,133970
underlord,2.53,45.26,73629
lone-druid,2.46,60.17,29316
templar-assassin,2.45,54.69,89587
skywrath-mage,2.41,53.17,82416
visage,2.35,55.45,17933
centaur-warrunner,2.30,44.30,110227
spirit-breaker,2.27,47.07,226846
lifestealer,2.17,50.83,205168
abaddon,1.93,43.52,94148
earthshaker,1.92,49.56,169183
enchantress,1.87,59.85,54191
meepo,1.85,51.96,70658
enigma,1.74,47.44,77168
leshrac,1.71,53.86,34473
warlock,1.62,43.80,74461
sand-king,1.60,49.89,166237
earth-spirit,1.54,57.55,28160
tidehunter,1.38,48.74,95689
tusk,1.38,57.37,67096
terrorblade,1.34,50.17,66530
brewmaster,1.32,51.78,31759
puck,1.28,55.28,71837
windranger,1.21,54.11,186984
chen,1.19,57.37,14254
crystal-maiden,1.06,43.90,190390
oracle,1.01,56.51,43879
gyrocopter,0.90,54.56,65469
pugna,0.89,52.74,63436
bounty-hunter,0.84,52.97,205936
dark-seer,0.80,49.55,49321
clockwerk,0.66,48.52,69768
vengeful-spirit,0.64,46.54,118630
tinker,0.63,51.37,176238
kunkka,0.62,50.88,188881
ember-spirit,0.56,57.41,85913
wraith-king,0.48,42.94,240760
batrider,0.41,53.87,43984
lina,0.41,54.51,130098
queen-of-pain,0.39,56.68,95165
sven,0.31,44.26,315913
magnus,0.31,52.08,92137
alchemist,0.30,49.94,174199
bloodseeker,0.27,48.24,289153
viper,0.24,49.77,141182
io,0.18,61.63,23351
sniper,0.17,47.13,411582
treant-protector,0.12,45.21,54518
shadow-demon,0.08,52.75,49825
winter-wyvern,0.01,52.60,49003
bane,0.01,52.82,72467
jakiro,-0.04,45.34,72202
naga-siren,-0.10,52.47,43053
zeus,-0.13,44.04,175509
nyx-assassin,-0.15,48.45,125330
death-prophet,-0.21,51.75,75156
invoker,-0.22,51.82,338524
doom,-0.31,55.04,54183
lich,-0.36,43.82,96761
witch-doctor,-0.37,48.47,124919
faceless-void,-0.44,50.85,200584
medusa,-0.45,46.63,119737
razor,-0.48,52.75,107826
axe,-0.51,45.84,368309
shadow-fiend,-0.71,50.58,169419
mirana,-0.88,46.22,289666
techies,-0.92,52.22,68829
morphling,-0.95,49.85,161545
drow-ranger,-0.96,46.82,319432
natures-prophet,-0.99,56.81,116352
lion,-1.08,50.21,201637
juggernaut,-1.08,48.05,372593
disruptor,-1.11,47.08,81259
elder-titan,-1.40,43.51,48998
dragon-knight,-1.51,48.44,101374
storm-spirit,-1.60,48.59,173051
anti-mage,-1.69,50.58,278827
phoenix,-1.78,46.34,55544
venomancer,-1.78,46.24,90222
undying,-2.48,46.78,71467
omniknight,-2.72,37.43,193189
ogre-magi,-2.89,43.12,153749
timbersaw,-3.22,48.18,203628
slark,-3.46,46.06,398962
outworld-devourer,-4.37,46.39,144759
legion-commander,-4.47,47.30,445604
slardar,-4.98,45.05,200569
ancient-apparition,-5.21,45.56,78501
dazzle,-5.35,44.33,104385
silencer,-7.16,41.72,136274
keeper-of-the-light,-8.24,44.41,78589
necrophos,-9.09,39.78,211897
