hero,para,rate,matches
chen,5.97,42.94,12982
io,4.39,37.38,24520
broodmother,4.22,39.82,29409
lycan,3.95,46.63,36985
techies,3.86,46.17,55654
enchantress,3.23,39.74,47276
bloodseeker,2.98,50.49,232200
troll-warlord,2.66,49.49,111072
bounty-hunter,2.40,45.70,181506
winter-wyvern,2.39,45.63,45642
dazzle,2.36,51.49,99821
legion-commander,2.34,48.74,341355
treant-protector,2.22,53.16,44706
chaos-knight,2.10,49.87,71587
crystal-maiden,2.07,54.84,203359
weaver,1.96,48.62,122213
phantom-lancer,1.81,44.86,95797
clinkz,1.80,44.98,113494
slardar,1.74,50.59,108474
viper,1.73,48.31,116003
tiny,1.67,44.31,96369
leshrac,1.64,44.93,29150
naga-siren,1.56,45.34,35736
windranger,1.56,44.38,159763
gyrocopter,1.49,43.75,54014
spirit-breaker,1.47,51.87,147436
night-stalker,1.45,49.24,64352
natures-prophet,1.44,40.42,103335
tusk,1.41,41.19,49982
riki,1.37,53.61,279021
ursa,1.29,53.69,155243
lich,1.23,53.84,85774
templar-assassin,1.22,44.32,77783
shadow-fiend,1.00,46.66,150997
wraith-king,0.97,54.96,172495
huskar,0.97,45.17,151621
necrophos,0.90,53.89,156328
zeus,0.85,53.52,156694
lone-druid,0.82,38.85,22910
lifestealer,0.80,47.77,145149
death-prophet,0.76,45.64,64205
dragon-knight,0.75,48.31,67314
phoenix,0.74,50.34,42653
brewmaster,0.71,46.37,22342
phantom-assassin,0.68,51.22,522985
doom,0.60,42.23,38843
sven,0.59,53.35,225598
meepo,0.55,46.38,57539
slark,0.53,49.69,319356
terrorblade,0.47,47.86,54312
bane,0.47,44.55,64998
sniper,0.45,50.31,392688
visage,0.42,43.18,14786
witch-doctor,0.32,48.64,114386
skywrath-mage,0.32,45.37,72762
ancient-apparition,0.31,49.23,69698
lina,0.23,42.99,116085
enigma,0.04,50.54,66056
lion,0.03,46.40,188395
elder-titan,-0.02,53.02,35483
warlock,-0.10,54.02,65029
jakiro,-0.13,51.72,63345
keeper-of-the-light,-0.15,48.67,77326
shadow-shaman,-0.16,51.19,117956
vengeful-spirit,-0.17,50.82,101406
queen-of-pain,-0.28,40.63,85123
alchemist,-0.41,47.16,140092
abaddon,-0.42,54.25,65026
juggernaut,-0.43,48.36,307276
razor,-0.46,43.95,86918
pugna,-0.49,44.66,53212
venomancer,-0.51,49.80,76638
ember-spirit,-0.62,39.89,75557
anti-mage,-0.65,45.40,252450
disruptor,-0.69,49.19,74344
sand-king,-0.74,47.68,120226
pudge,-0.85,50.93,399895
luna,-0.95,52.82,146977
earthshaker,-1.00,48.03,137243
ogre-magi,-1.05,52.20,130445
omniknight,-1.17,58.10,165130
beastmaster,-1.22,44.42,21193
batrider,-1.29,42.96,32638
spectre,-1.31,52.88,110197
nyx-assassin,-1.37,47.96,92732
invoker,-1.44,44.57,296572
medusa,-1.49,49.55,100236
tinker,-1.55,45.38,167061
axe,-1.60,50.26,197098
dark-seer,-1.62,47.21,34122
oracle,-1.83,40.51,39654
drow-ranger,-2.06,48.84,279739
mirana,-2.11,49.45,250646
puck,-2.23,41.65,66354
kunkka,-2.26,45.53,142070
storm-spirit,-2.33,46.64,157865
silencer,-2.38,50.97,115797
rubick,-2.39,43.60,114430
centaur-warrunner,-2.39,52.58,59543
morphling,-2.41,45.68,140997
earth-spirit,-2.48,39.53,22895
arc-warden,-2.60,40.94,28956
outworld-devourer,-2.85,47.24,126447
timbersaw,-3.16,45.87,103328
clockwerk,-3.25,47.34,42506
shadow-demon,-3.36,42.95,43250
magnus,-3.47,43.67,58952
faceless-void,-3.48,44.47,132540
undying,-3.66,47.37,45234
tidehunter,-4.05,47.08,53114
underlord,-4.10,50.84,48334
