hero,para,rate,matches
visage,10.65,49.85,8172
elder-titan,9.83,38.87,14369
io,8.53,57.06,7681
arc-warden,7.97,49.70,13288
earth-spirit,6.66,50.73,7847
medusa,6.66,40.46,32066
warlock,6.24,36.59,20662
drow-ranger,5.96,40.62,76365
riki,5.74,37.56,81884
wraith-king,5.72,36.06,54524
chen,5.24,50.08,4962
tidehunter,5.16,41.12,25282
ancient-apparition,4.94,41.02,21270
clinkz,4.85,45.99,41000
treant-protector,4.76,38.07,17449
techies,4.65,45.62,17815
abaddon,4.60,35.64,26140
outworld-devourer,4.53,41.31,33148
huskar,4.35,45.19,50864
luna,4.19,36.59,46326
clockwerk,4.05,40.82,20441
faceless-void,3.89,43.62,51939
pugna,3.78,44.80,18669
lich,3.73,36.56,26520
enigma,3.34,38.98,20752
silencer,3.14,37.27,31064
weaver,3.10,41.67,42185
ursa,2.96,36.46,55810
witch-doctor,2.90,40.80,30497
skywrath-mage,2.83,44.03,23143
nyx-assassin,2.75,40.61,35934
underlord,2.70,36.36,21565
venomancer,2.69,39.18,27806
shadow-demon,2.65,44.75,12797
chaos-knight,2.57,40.32,28094
undying,2.43,39.95,19440
templar-assassin,2.26,45.26,24963
omniknight,2.01,30.86,42161
phoenix,1.62,38.86,14185
terrorblade,1.56,41.10,22755
lifestealer,1.45,41.30,46774
lycan,1.39,43.79,18023
zeus,1.25,35.80,45489
oracle,1.22,47.39,14156
pudge,1.20,37.37,110060
night-stalker,1.19,40.08,28810
shadow-shaman,0.76,37.30,33867
viper,0.55,40.84,39381
juggernaut,0.46,39.76,81022
sniper,0.45,38.31,91282
dragon-knight,0.26,40.27,27975
tinker,0.20,42.05,41510
brewmaster,0.05,42.05,11891
vengeful-spirit,-0.03,37.35,33173
lone-druid,-0.14,49.59,9493
morphling,-0.19,41.19,38404
disruptor,-0.19,38.58,21146
anti-mage,-0.38,42.20,66129
winter-wyvern,-0.40,43.31,15621
enchantress,-0.69,49.35,18051
kunkka,-0.71,41.20,47947
phantom-assassin,-0.88,37.06,131256
death-prophet,-0.90,42.37,22619
bloodseeker,-0.95,38.76,68476
spirit-breaker,-1.05,36.77,52349
dark-seer,-1.06,39.70,15716
troll-warlord,-1.11,39.48,36381
bane,-1.28,43.14,21950
batrider,-1.34,43.93,14584
mirana,-1.45,37.18,62660
phantom-lancer,-1.53,43.31,33988
jakiro,-1.61,35.95,21152
rubick,-1.67,42.65,25394
magnus,-1.73,42.08,24582
beastmaster,-1.99,42.23,9576
lion,-2.15,40.79,44870
tusk,-2.18,46.45,19569
queen-of-pain,-2.27,46.27,27765
invoker,-2.59,41.73,68675
gyrocopter,-2.67,43.74,23321
dazzle,-2.69,36.91,26257
tiny,-2.84,43.20,36130
storm-spirit,-2.91,39.18,40850
windranger,-2.99,43.01,45077
lina,-3.20,43.71,36775
necrophos,-3.25,33.91,42860
leshrac,-3.30,42.39,13260
razor,-3.33,42.43,31770
meepo,-3.52,40.46,17404
doom,-3.52,44.46,14934
puck,-3.65,43.80,17451
keeper-of-the-light,-3.88,37.88,18291
ogre-magi,-3.96,34.23,30704
alchemist,-3.98,39.12,44243
natures-prophet,-4.03,46.34,34494
spectre,-4.07,33.47,31936
centaur-warrunner,-4.11,33.21,27994
bounty-hunter,-4.40,41.51,60775
slark,-4.90,36.86,83464
ember-spirit,-5.44,45.38,25734
shadow-fiend,-5.59,39.53,39688
sven,-5.61,33.40,68773
crystal-maiden,-5.97,32.68,46145
bristleback,-7.18,38.01,39467
legion-commander,-7.22,37.56,92417
slardar,-7.68,35.52,42973
naga-siren,-7.94,39.96,16093
sand-king,-8.49,36.68,43663
timbersaw,-8.83,37.14,41785
earthshaker,-8.89,36.10,56962
axe,-10.95,33.13,76935
