hero,para,rate,matches
gyrocopter,9.10,37.58,18588
enchantress,8.76,32.93,15022
leshrac,8.68,38.54,11012
natures-prophet,8.52,34.16,30301
razor,7.66,38.13,26177
huskar,7.61,38.69,39972
lycan,7.58,38.80,16024
phantom-lancer,7.49,37.97,27970
troll-warlord,7.15,42.03,29706
bane,6.95,38.06,17804
viper,6.81,41.17,32002
naga-siren,6.32,38.13,13265
brewmaster,6.28,39.51,9755
death-prophet,6.07,38.69,18817
tiny,5.99,36.97,29494
lina,5.72,36.21,29859
chaos-knight,5.63,42.09,23103
batrider,5.54,36.75,10911
oracle,5.52,34.56,11900
bloodseeker,5.31,42.14,54791
windranger,4.96,36.73,36027
legion-commander,4.41,40.38,75967
queen-of-pain,4.29,33.68,23025
bristleback,4.22,39.82,29409
terrorblade,4.11,40.27,18759
dragon-knight,3.35,40.29,22700
skywrath-mage,3.24,37.59,19573
tusk,3.17,33.19,15575
axe,2.96,43.23,55600
night-stalker,2.95,40.71,22437
lone-druid,2.92,31.18,8174
vengeful-spirit,2.89,43.04,27604
sven,2.50,45.02,53044
visage,2.40,35.17,6944
lifestealer,2.25,39.31,39210
centaur-warrunner,1.94,45.61,21110
luna,1.86,45.03,37091
shadow-shaman,1.83,42.96,28195
clinkz,1.82,36.08,32246
jakiro,1.75,43.44,17057
magnus,1.73,37.05,18455
ursa,1.56,44.57,45431
earthshaker,1.50,40.12,33510
meepo,1.25,37.72,14543
slardar,1.24,41.19,29043
enigma,1.00,41.87,17734
winter-wyvern,0.97,36.14,13493
arc-warden,0.94,33.78,11342
pugna,0.90,36.41,15797
phantom-assassin,0.87,42.17,105841
crystal-maiden,0.71,44.92,36709
lich,0.63,44.35,21704
sniper,0.41,41.20,72056
disruptor,0.13,40.56,17871
witch-doctor,0.07,39.52,25827
wraith-king,0.04,45.33,46531
alchemist,-0.04,38.40,36746
warlock,-0.17,44.87,16915
spirit-breaker,-0.49,41.83,39571
dark-seer,-0.55,38.80,11744
venomancer,-0.55,40.78,22730
sand-king,-0.66,38.81,30977
anti-mage,-0.67,36.61,54499
weaver,-0.83,38.41,32250
undying,-0.85,39.81,15397
drow-ranger,-0.87,40.47,57204
beastmaster,-0.91,35.84,7950
slark,-0.92,40.03,69310
lion,-0.96,37.14,37934
ember-spirit,-0.96,31.43,19996
silencer,-1.53,42.45,26368
zeus,-1.54,43.27,36688
dazzle,-1.64,40.57,22437
medusa,-1.86,40.48,26766
clockwerk,-2.04,39.11,14921
tinker,-2.33,36.36,36629
kunkka,-2.35,36.80,37303
treant-protector,-2.42,41.86,14158
faceless-void,-2.61,36.24,37042
chen,-2.62,31.24,4497
spectre,-2.65,43.28,26204
juggernaut,-2.93,38.41,67712
shadow-demon,-2.96,34.63,10837
elder-titan,-3.04,42.58,11815
shadow-fiend,-3.14,36.15,32936
puck,-3.15,32.91,14641
keeper-of-the-light,-3.18,38.47,14674
ancient-apparition,-3.19,38.78,17539
abaddon,-3.31,43.85,20695
necrophos,-3.59,42.70,34271
storm-spirit,-3.61,37.40,35126
techies,-3.69,34.37,14808
outworld-devourer,-3.76,38.14,28399
riki,-3.88,42.07,61549
doom,-3.96,32.09,12439
rubick,-4.11,34.42,23866
ogre-magi,-4.12,41.84,25223
underlord,-4.15,42.08,16218
morphling,-4.47,36.21,33088
templar-assassin,-4.81,33.39,21204
timbersaw,-4.83,36.57,27861
bounty-hunter,-4.90,34.10,44030
nyx-assassin,-5.05,37.62,26656
phoenix,-5.15,38.81,10526
earth-spirit,-5.17,30.44,6629
pudge,-5.29,40.05,88124
invoker,-5.67,34.34,57395
omniknight,-5.84,46.82,34719
mirana,-7.00,38.54,49867
io,-7.47,25.81,6358
tidehunter,-8.04,36.83,18654
