hero,para,rate,matches
windranger,4.47,62.75,131417
phantom-assassin,4.14,55.18,395707
phantom-lancer,3.68,61.91,72456
sniper,3.50,55.66,260458
troll-warlord,3.44,57.56,83445
techies,2.48,60.80,46103
beastmaster,2.42,60.26,23956
chaos-knight,2.41,56.34,64194
skywrath-mage,2.20,59.86,59754
arc-warden,2.19,63.04,27089
broodmother,2.18,66.79,27994
faceless-void,1.90,58.84,153011
puck,1.86,62.27,54476
drow-ranger,1.82,54.98,214731
mirana,1.73,54.28,220278
storm-spirit,1.62,57.00,137572
tinker,1.59,58.64,131280
medusa,1.57,54.40,85730
night-stalker,1.56,56.18,63553
riki,1.49,51.74,215414
lina,1.44,61.73,91135
sand-king,1.40,56.59,132764
pugna,1.33,59.70,45455
terrorblade,1.30,56.93,47196
morphling,1.29,57.75,126663
ursa,1.26,51.50,135354
spectre,1.25,50.92,104036
ancient-apparition,1.23,55.46,61962
lich,1.15,51.26,68966
lion,1.15,58.10,146332
io,1.15,68.44,17829
tusk,1.07,63.73,46653
gyrocopter,1.03,61.27,46782
natures-prophet,1.01,64.45,81505
lone-druid,0.99,65.71,21099
queen-of-pain,0.93,63.52,69372
enchantress,0.90,65.68,37570
shadow-shaman,0.87,53.05,85585
naga-siren,0.87,59.66,32016
spirit-breaker,0.85,53.20,147112
brewmaster,0.83,58.26,23701
axe,0.81,53.23,237766
legion-commander,0.76,56.64,281042
tiny,0.76,60.64,92309
crystal-maiden,0.68,50.48,131289
razor,0.66,60.01,75377
winter-wyvern,0.56,59.56,38227
weaver,0.56,56.47,101963
bane,0.54,59.76,54031
earthshaker,0.49,55.61,122131
clinkz,0.45,59.87,92436
nyx-assassin,0.36,55.43,104896
zeus,0.33,50.97,124007
luna,0.33,50.70,124470
earth-spirit,0.28,63.31,23358
bounty-hunter,0.27,59.32,146021
magnus,0.26,58.72,73016
lycan,0.25,59.08,33437
leshrac,0.21,59.70,25788
visage,0.20,60.88,14375
dragon-knight,0.00,55.89,67160
huskar,-0.00,59.05,122360
pudge,-0.08,52.46,372290
meepo,-0.11,57.63,47154
slark,-0.11,54.38,267035
vengeful-spirit,-0.15,52.88,87886
batrider,-0.22,60.11,35936
invoker,-0.29,58.42,246440
dark-seer,-0.35,55.66,39034
shadow-demon,-0.41,59.09,41855
abaddon,-0.51,49.13,65884
shadow-fiend,-0.54,57.31,117844
oracle,-0.60,62.06,35997
ogre-magi,-0.70,50.76,112859
tidehunter,-0.80,54.35,77677
bloodseeker,-0.82,54.38,182372
templar-assassin,-0.89,59.44,61267
kunkka,-1.02,56.66,143065
disruptor,-1.03,53.77,64157
elder-titan,-1.07,50.29,40827
ember-spirit,-1.26,62.72,62288
venomancer,-1.31,53.10,68539
silencer,-1.32,50.97,102422
rubick,-1.33,58.33,93091
clockwerk,-1.38,54.17,56536
chen,-1.41,62.27,10911
phoenix,-1.54,53.07,44543
jakiro,-1.58,51.26,53627
viper,-1.61,55.45,89748
keeper-of-the-light,-1.73,54.16,54763
bristleback,-1.76,55.70,110227
doom,-1.81,60.62,40151
anti-mage,-1.84,57.04,197297
death-prophet,-1.85,57.43,53273
sven,-1.92,49.85,197528
slardar,-1.95,53.08,133708
omniknight,-2.19,44.03,131656
outworld-devourer,-2.62,53.78,114284
wraith-king,-2.65,48.11,155980
alchemist,-2.83,54.89,119037
underlord,-2.89,49.38,60009
timbersaw,-2.91,54.83,147441
treant-protector,-3.01,50.30,40923
warlock,-3.05,48.27,55334
enigma,-3.32,51.58,56924
juggernaut,-3.39,53.41,260049
dazzle,-3.66,51.60,74700
witch-doctor,-4.05,53.12,91385
lifestealer,-4.10,54.14,144955
undying,-4.50,52.23,53674
necrophos,-5.61,47.63,150912
