hero,para,rate,matches
enchantress,3.22,46.49,31662
necrophos,3.16,61.91,111453
chen,2.86,48.49,9056
enigma,2.73,58.76,44936
zeus,2.68,61.28,110630
ember-spirit,2.61,47.96,55210
bounty-hunter,2.47,52.61,128821
ancient-apparition,2.31,57.07,55540
venomancer,2.30,58.06,58002
viper,2.10,55.35,75260
riki,2.09,60.75,182066
lifestealer,2.08,55.24,103185
queen-of-pain,2.04,48.34,61833
juggernaut,1.98,56.37,225715
broodmother,1.94,45.61,21110
sniper,1.93,57.88,244444
ursa,1.87,60.74,101634
bloodseeker,1.79,56.73,142364
skywrath-mage,1.67,52.82,53702
gyrocopter,1.64,50.61,38690
lycan,1.62,52.41,26208
natures-prophet,1.48,47.13,67980
templar-assassin,1.47,51.23,55924
dark-seer,1.45,55.50,26345
sven,1.44,60.51,144800
leshrac,1.34,51.60,21752
huskar,1.30,52.12,92792
phantom-lancer,1.29,51.42,63078
techies,1.28,51.82,33755
chaos-knight,1.15,56.20,48101
visage,1.14,50.25,11606
pudge,1.13,58.69,275991
pugna,1.07,52.15,41617
alchemist,0.94,54.58,100200
elder-titan,0.86,60.16,27903
bane,0.85,51.49,47525
terrorblade,0.83,54.81,39958
razor,0.74,51.24,62699
mirana,0.68,57.58,184155
naga-siren,0.68,51.70,27093
arc-warden,0.65,49.02,23097
batrider,0.62,50.53,25519
clinkz,0.62,51.20,78577
shadow-fiend,0.58,53.23,106949
slark,0.51,56.42,228152
vengeful-spirit,0.47,57.85,73868
earthshaker,0.40,55.45,85323
doom,0.37,48.83,29101
lich,0.31,59.99,58912
nyx-assassin,0.28,55.49,72819
warlock,0.27,60.82,46919
dazzle,0.27,57.14,68125
troll-warlord,0.27,55.07,67763
crystal-maiden,0.24,60.47,115861
lina,0.24,49.69,80318
tinker,0.23,52.94,121095
rubick,0.21,51.49,86525
shadow-shaman,0.19,58.05,75090
silencer,0.17,58.96,92719
disruptor,0.16,56.33,57763
death-prophet,0.15,52.09,44849
witch-doctor,0.14,55.29,78787
sand-king,0.11,54.82,85103
legion-commander,0.09,54.40,215256
treant-protector,0.05,58.68,32031
luna,0.01,59.94,106350
io,-0.03,42.19,14848
keeper-of-the-light,-0.04,55.43,50254
kunkka,-0.04,53.28,107074
dragon-knight,-0.04,54.65,47579
spirit-breaker,-0.08,57.75,96664
oracle,-0.10,47.86,32774
weaver,-0.11,54.35,83829
phoenix,-0.15,56.58,32289
tusk,-0.23,47.14,41066
earth-spirit,-0.24,47.05,18340
meepo,-0.25,52.72,40591
tiny,-0.28,50.14,90488
outworld-devourer,-0.29,55.18,102431
morphling,-0.45,53.29,112101
phantom-assassin,-0.46,57.29,329714
storm-spirit,-0.49,54.21,127559
ogre-magi,-0.56,59.05,89419
windranger,-0.60,50.10,106423
wraith-king,-0.61,60.63,114056
anti-mage,-0.66,52.07,179978
winter-wyvern,-0.72,50.90,33426
puck,-0.75,48.91,48471
lion,-0.76,52.71,128585
medusa,-0.81,56.53,74513
shadow-demon,-0.84,50.73,42863
abaddon,-0.85,60.52,47831
omniknight,-0.87,64.55,110502
undying,-0.93,55.36,33924
jakiro,-0.95,57.89,44451
timbersaw,-1.07,53.50,80180
brewmaster,-1.08,52.19,16858
night-stalker,-1.09,54.64,44559
spectre,-1.13,59.49,87688
invoker,-1.29,51.27,210447
magnus,-1.33,51.27,44375
beastmaster,-1.34,50.99,16235
slardar,-1.52,55.57,69723
underlord,-1.53,58.72,37219
clockwerk,-1.59,54.76,33182
drow-ranger,-1.65,55.63,181874
bristleback,-2.39,52.58,59543
lone-druid,-2.69,43.86,16067
axe,-3.25,55.87,129349
tidehunter,-3.95,53.57,38029
faceless-void,-4.80,50.26,95594
