hero,para,rate,matches
huskar,8.09,58.50,130522
arc-warden,6.63,60.61,22925
visage,6.36,59.42,12946
viper,5.81,54.35,89211
bane,5.68,57.61,43750
pudge,5.56,50.12,294949
ursa,5.47,48.35,139456
skywrath-mage,5.36,56.50,49812
bounty-hunter,5.19,57.05,123999
spirit-breaker,4.94,50.09,133881
templar-assassin,4.60,57.61,54349
drow-ranger,4.43,51.15,191242
clinkz,4.24,57.00,84991
lifestealer,3.94,53.49,119475
chen,3.84,60.61,9238
faceless-void,3.75,54.76,120982
wraith-king,3.50,45.98,141922
earth-spirit,3.44,60.35,17068
nyx-assassin,3.29,51.88,74997
doom,3.25,58.74,33752
shadow-demon,3.23,56.17,27230
night-stalker,3.21,51.93,60484
beastmaster,3.05,55.54,19758
vengeful-spirit,2.98,49.37,70948
tusk,2.82,59.91,43427
pugna,2.77,55.48,37732
io,2.72,64.84,15166
lycan,2.57,55.39,33995
clockwerk,2.49,51.16,42780
bloodseeker,2.39,51.01,172394
zeus,2.26,46.82,105510
death-prophet,2.24,54.76,48324
oracle,2.06,58.81,26773
phantom-assassin,2.00,48.93,380486
razor,1.68,55.62,67829
juggernaut,1.67,51.12,215306
techies,1.63,55.29,41970
necrophos,1.61,46.18,103496
luna,1.52,46.21,109737
ogre-magi,1.50,46.79,81041
venomancer,1.46,49.50,57420
enchantress,1.44,61.27,35649
rubick,1.37,54.93,64981
tinker,1.26,53.42,101604
lone-druid,1.13,61.06,19005
storm-spirit,1.06,51.63,98341
slardar,1.03,49.63,100617
ancient-apparition,1.03,50.29,44954
treant-protector,1.02,47.33,35304
sniper,1.01,49.26,249556
alchemist,1.00,52.01,108391
slark,0.97,49.90,215440
troll-warlord,0.78,51.04,90254
dazzle,0.69,48.88,59238
morphling,0.66,52.38,90551
terrorblade,0.66,51.55,45506
natures-prophet,0.64,59.43,71501
silencer,0.54,46.89,74155
legion-commander,0.51,51.49,253746
batrider,0.50,55.63,27681
outworld-devourer,0.48,50.46,82582
lina,0.43,56.22,80995
windranger,0.41,55.38,108329
anti-mage,0.06,53.19,168016
riki,0.05,45.99,202622
queen-of-pain,-0.01,58.13,61134
weaver,-0.26,51.03,92850
dragon-knight,-0.40,50.69,65317
puck,-0.56,55.95,42063
abaddon,-0.85,44.01,57357
lion,-0.88,52.00,111770
shadow-shaman,-0.92,47.14,78870
keeper-of-the-light,-0.96,49.63,40802
disruptor,-0.97,48.83,48047
tiny,-1.13,54.66,85542
gyrocopter,-1.20,55.09,46762
shadow-fiend,-1.38,51.92,99233
witch-doctor,-1.52,49.59,73688
brewmaster,-1.58,51.98,22444
broodmother,-1.67,59.68,28094
mirana,-1.73,47.50,158222
winter-wyvern,-1.74,53.35,35827
undying,-1.84,48.76,42617
underlord,-2.23,44.82,47225
spectre,-2.43,44.18,81501
crystal-maiden,-2.64,43.94,111734
dark-seer,-2.68,49.50,31366
leshrac,-2.79,53.13,24037
meepo,-2.82,51.24,40231
lich,-2.94,44.33,70884
centaur-warrunner,-2.95,43.66,64194
bristleback,-3.06,50.13,102194
elder-titan,-3.26,44.33,32161
invoker,-3.36,51.84,182099
naga-siren,-4.11,51.99,30138
kunkka,-4.23,50.06,114132
phantom-lancer,-4.29,52.45,80504
phoenix,-4.41,46.73,33193
tidehunter,-4.58,47.51,59313
magnus,-4.92,50.98,58251
jakiro,-5.15,44.64,45534
warlock,-5.65,42.26,47916
omniknight,-5.73,37.81,106914
ember-spirit,-5.95,55.26,70102
enigma,-6.18,45.34,48500
earthshaker,-6.32,47.15,174300
axe,-6.89,44.49,199834
timbersaw,-7.41,47.67,110611
medusa,-8.14,44.60,85092
sven,-8.73,41.82,222738
sand-king,-9.49,45.99,106394
