hero,para,rate,matches
io,6.19,39.71,19713
techies,5.98,48.91,35785
broodmother,5.63,42.09,23103
gyrocopter,5.28,47.15,35756
chen,5.10,44.33,8620
leshrac,5.00,48.19,21484
enchantress,4.38,41.89,31992
natures-prophet,4.16,43.22,62484
visage,3.84,46.39,11172
lycan,3.82,48.33,26569
razor,3.15,47.29,57233
shadow-fiend,3.05,49.36,85791
sniper,2.72,53.20,217872
weaver,2.71,50.74,77347
troll-warlord,2.54,51.18,68683
bloodseeker,2.50,52.00,138195
crystal-maiden,2.47,56.79,112883
doom,2.46,44.73,26967
jakiro,2.32,54.74,41388
lina,2.25,45.58,75254
tiny,2.21,46.27,63577
tusk,2.12,43.18,35478
bristleback,2.10,49.87,71587
viper,2.07,50.21,76179
keeper-of-the-light,2.04,51.48,42490
elder-titan,2.01,55.83,25839
naga-siren,1.97,47.25,24002
timbersaw,1.81,49.96,80284
dark-seer,1.75,50.57,26908
lone-druid,1.74,40.86,15612
disruptor,1.72,52.13,46111
death-prophet,1.67,47.78,42518
witch-doctor,1.59,51.00,69922
queen-of-pain,1.53,43.06,54387
pugna,1.48,47.26,36042
brewmaster,1.45,48.43,17147
shadow-shaman,1.40,53.72,75169
winter-wyvern,1.40,46.90,29245
clinkz,1.32,46.48,72389
medusa,1.31,52.69,56089
sand-king,1.27,50.38,81914
sven,1.23,55.41,115772
ursa,1.15,55.33,96232
centaur-warrunner,1.15,56.20,48101
tidehunter,1.11,51.34,44648
treant-protector,1.11,54.30,31022
lich,0.95,55.41,54720
undying,0.93,51.35,34774
skywrath-mage,0.90,47.35,47230
riki,0.88,55.07,171722
zeus,0.84,55.23,97818
venomancer,0.81,52.19,51926
underlord,0.78,55.14,37962
windranger,0.70,45.71,98270
batrider,0.70,45.52,24739
slardar,0.63,51.76,74825
axe,0.63,53.11,139910
phoenix,0.62,52.00,29831
night-stalker,0.56,50.53,47029
necrophos,0.56,55.42,97028
earthshaker,0.53,50.49,88019
ancient-apparition,0.51,51.04,45176
huskar,0.49,46.66,97454
warlock,0.47,56.03,42733
bane,0.41,46.23,41483
dragon-knight,0.38,49.85,45941
luna,0.33,55.21,79296
puck,0.33,44.43,40187
kunkka,0.22,48.39,87051
oracle,0.20,43.01,24421
bounty-hunter,0.19,46.41,111438
vengeful-spirit,0.14,52.69,64334
beastmaster,0.14,46.73,16462
alchemist,0.12,49.12,81030
dazzle,0.10,52.07,58789
ember-spirit,0.08,41.82,43795
templar-assassin,-0.01,45.47,47318
enigma,-0.03,52.21,39863
phantom-lancer,-0.09,45.71,59864
legion-commander,-0.11,49.28,185165
silencer,-0.12,53.86,72238
spectre,-0.19,55.17,52646
phantom-assassin,-0.32,52.42,272116
abaddon,-0.38,55.95,45885
mirana,-0.71,51.85,144213
lion,-0.79,47.71,106981
terrorblade,-0.80,48.95,33735
spirit-breaker,-0.81,52.40,101207
wraith-king,-0.89,55.63,97808
lifestealer,-0.91,48.65,82315
invoker,-1.08,46.41,159137
clockwerk,-1.10,50.08,34800
juggernaut,-1.16,49.69,151316
slark,-1.26,50.49,154665
arc-warden,-1.43,43.09,19602
magnus,-1.47,46.25,41293
outworld-devourer,-1.78,49.44,69752
nyx-assassin,-1.82,49.42,65923
rubick,-1.85,45.51,65812
omniknight,-1.88,59.29,95597
tinker,-1.92,46.88,91725
drow-ranger,-2.12,50.48,148608
ogre-magi,-2.26,53.23,74255
pudge,-2.71,51.64,246818
anti-mage,-2.97,45.99,117397
meepo,-3.03,46.38,31943
storm-spirit,-3.50,47.73,89689
faceless-void,-3.88,45.92,81846
morphling,-3.89,46.63,66996
earth-spirit,-4.66,40.23,14903
shadow-demon,-4.78,43.94,27188
