hero,para,rate,matches
tidehunter,14.18,47.29,10826
techies,9.53,50.36,8217
io,7.70,59.21,3979
clockwerk,6.39,44.21,7673
visage,6.05,50.33,2603
phoenix,5.72,42.87,6711
omniknight,4.82,33.88,18745
spectre,4.36,38.73,14270
pudge,4.22,40.86,53918
riki,4.16,39.34,32445
arc-warden,4.12,50.43,4525
treant-protector,4.01,40.15,6401
shadow-demon,4.00,47.82,6520
morphling,3.96,45.36,18372
silencer,3.85,39.88,13251
ancient-apparition,3.67,42.94,9717
ogre-magi,3.39,39.17,15496
disruptor,3.28,42.31,8972
warlock,3.05,37.77,8076
necrophos,2.56,38.23,17875
nyx-assassin,2.51,42.90,14510
zeus,2.49,38.53,18161
storm-spirit,2.47,43.75,18907
centaur-warrunner,2.41,37.73,10911
rubick,2.24,46.79,13681
puck,1.97,48.80,8557
juggernaut,1.88,42.69,35533
winter-wyvern,1.81,46.70,5790
skywrath-mage,1.79,46.01,8972
outworld-devourer,1.74,42.57,14079
mirana,1.65,40.69,30164
timbersaw,1.61,43.78,19228
earth-spirit,1.51,50.73,4297
viper,1.35,43.54,13058
underlord,1.15,38.08,8407
witch-doctor,0.79,42.31,13348
tinker,0.63,44.61,19539
invoker,0.60,45.49,36383
oracle,0.58,49.52,5921
venomancer,0.48,40.65,10268
spirit-breaker,0.46,39.62,21060
elder-titan,0.36,37.76,5529
dragon-knight,0.28,42.63,9480
dark-seer,0.10,42.52,5939
keeper-of-the-light,-0.13,41.69,9648
lion,-0.13,43.99,20928
crystal-maiden,-0.17,36.91,20869
bloodseeker,-0.19,41.38,26095
faceless-void,-0.19,44.27,20387
anti-mage,-0.20,44.64,29041
legion-commander,-0.25,42.72,40090
undying,-0.37,41.17,7066
medusa,-0.38,40.07,11569
batrider,-0.42,46.73,5397
axe,-0.44,39.32,30990
sniper,-0.50,40.23,37986
enigma,-0.68,39.75,8212
magnus,-0.72,44.87,9967
phantom-assassin,-0.78,39.37,56537
luna,-1.20,36.90,18147
weaver,-1.28,42.22,15187
wraith-king,-1.50,35.77,22110
bristleback,-1.56,42.63,14254
kunkka,-1.68,43.12,20066
enchantress,-1.81,51.16,6229
vengeful-spirit,-1.81,38.93,12716
templar-assassin,-1.88,45.77,9903
doom,-1.88,47.58,6684
queen-of-pain,-1.89,48.82,10242
pugna,-2.00,44.64,7101
bounty-hunter,-2.12,44.83,23499
alchemist,-2.18,42.16,18199
slark,-2.24,40.15,37374
lifestealer,-2.31,42.07,18124
slardar,-2.31,39.84,16017
night-stalker,-2.36,40.95,9395
gyrocopter,-2.43,46.19,7198
sand-king,-2.43,41.39,17749
shadow-shaman,-2.51,38.31,13344
tiny,-2.60,45.64,13598
shadow-fiend,-2.62,43.07,17702
ember-spirit,-2.63,49.07,10360
jakiro,-2.66,37.77,8046
tusk,-2.97,48.41,7523
dazzle,-3.03,39.00,11686
abaddon,-3.04,35.17,10748
lich,-3.20,36.28,11020
troll-warlord,-3.30,40.87,13265
windranger,-3.34,45.18,18975
huskar,-3.59,44.05,18165
earthshaker,-3.92,40.31,19419
meepo,-4.07,42.50,8496
ursa,-4.08,36.12,20428
brewmaster,-4.14,42.56,3863
terrorblade,-4.19,41.02,7367
naga-siren,-4.20,43.87,5138
broodmother,-4.75,49.92,4962
drow-ranger,-4.79,38.70,31702
lina,-5.24,45.07,14101
leshrac,-5.27,43.79,4316
chaos-knight,-5.38,39.39,9238
phantom-lancer,-5.71,43.73,10879
beastmaster,-6.01,42.74,4420
sven,-6.04,35.35,27899
lycan,-6.15,42.77,5583
lone-druid,-6.93,48.47,4077
bane,-7.89,42.45,9451
razor,-8.84,42.19,12226
clinkz,-9.20,42.00,16672
natures-prophet,-13.40,43.91,15711
death-prophet,-16.65,37.62,9317
