hero,para,rate,matches
drow-ranger,9.04,47.07,28506
viper,7.62,43.96,11198
phantom-lancer,7.50,40.38,9906
doom,7.42,38.24,4697
vengeful-spirit,6.31,46.98,9614
sand-king,6.24,43.97,12909
faceless-void,6.18,41.93,18448
bristleback,5.97,42.94,12982
luna,5.49,49.16,15333
death-prophet,5.43,40.84,7083
outworld-devourer,5.33,44.20,12937
sven,5.31,48.77,23994
tiny,5.21,39.04,11426
chaos-knight,5.10,44.33,8620
phantom-assassin,4.90,46.33,49715
slardar,4.89,45.14,13886
slark,4.81,44.79,33067
axe,4.60,46.40,22984
razor,4.55,39.37,9414
tusk,4.26,35.78,6040
mirana,3.92,45.53,21542
huskar,3.83,39.67,15374
tinker,3.81,41.02,16372
templar-assassin,3.56,38.63,8884
windranger,3.21,38.42,15610
ember-spirit,3.10,34.91,9206
kunkka,3.02,41.18,16311
troll-warlord,3.00,42.79,11173
spectre,2.96,48.24,12892
dragon-knight,2.88,42.49,9025
centaur-warrunner,2.86,48.49,9056
earthshaker,2.85,43.04,11542
sniper,2.77,44.59,30979
nyx-assassin,2.63,43.06,11225
clinkz,2.51,38.62,12928
riki,2.48,47.31,24337
lifestealer,2.28,41.69,14081
anti-mage,2.16,39.97,25826
lina,2.14,37.23,10185
shadow-fiend,2.12,40.45,15286
storm-spirit,2.11,41.98,16545
ursa,2.02,47.21,16544
invoker,1.93,39.41,31303
juggernaut,1.93,42.71,31475
terrorblade,1.89,41.77,6449
medusa,1.74,44.36,10481
weaver,1.71,41.75,13232
wraith-king,1.59,48.47,17759
night-stalker,1.55,42.52,7968
alchemist,1.55,41.35,16085
legion-commander,1.53,41.61,26681
queen-of-pain,1.41,34.92,9051
gyrocopter,1.25,37.11,5866
bloodseeker,1.22,42.87,18908
clockwerk,1.18,42.75,6708
ogre-magi,1.09,46.53,9596
witch-doctor,1.06,42.27,8311
zeus,0.90,46.76,13649
puck,0.61,36.40,7558
shadow-shaman,0.58,44.82,9072
timbersaw,-0.49,40.53,17014
brewmaster,-0.53,39.24,3379
bane,-0.54,37.63,6086
undying,-0.83,42.13,5499
morphling,-0.98,39.81,16972
lion,-0.99,39.39,12786
spirit-breaker,-1.16,43.89,16401
silencer,-1.22,44.94,9350
omniknight,-1.29,51.46,11416
rubick,-1.46,37.59,9493
naga-siren,-1.50,37.54,4294
pudge,-1.85,43.83,43308
necrophos,-1.87,45.81,12786
magnus,-1.98,37.92,8136
beastmaster,-2.09,37.62,4171
lycan,-2.10,37.52,4838
jakiro,-2.50,43.94,5771
broodmother,-2.62,31.24,4497
leshrac,-2.63,36.71,3487
abaddon,-3.30,46.18,8236
lich,-3.41,44.87,6819
venomancer,-3.99,41.63,7528
dazzle,-4.17,41.78,7120
natures-prophet,-4.32,32.14,10550
underlord,-4.81,44.06,6786
phoenix,-5.14,41.05,5031
warlock,-5.15,44.91,5449
crystal-maiden,-5.31,44.50,11891
meepo,-6.06,37.14,8004
bounty-hunter,-6.11,35.77,16070
elder-titan,-6.33,43.37,4067
skywrath-mage,-6.87,36.02,6677
enigma,-6.96,40.76,4303
disruptor,-7.43,39.67,5917
shadow-demon,-7.97,34.91,5007
batrider,-8.45,33.91,4532
lone-druid,-8.57,29.60,4037
treant-protector,-8.92,41.24,4311
winter-wyvern,-10.72,33.96,4320
arc-warden,-12.09,31.34,4458
dark-seer,-12.17,36.31,4773
pugna,-12.83,33.42,5918
enchantress,-18.19,26.46,8090
oracle,-18.81,28.35,4674
keeper-of-the-light,-20.96,33.25,6716
ancient-apparition,-23.19,32.56,6864
earth-spirit,-25.67,25.45,3583
tidehunter,-29.10,30.05,11390
visage,-33.37,24.35,2665
techies,-35.94,24.30,7436
io,-58.18,12.50,5882
