hero,para,rate,matches
io,10.03,64.54,26686
ancient-apparition,9.54,49.40,73111
tidehunter,8.41,48.90,88659
chen,7.92,58.00,16672
phoenix,7.72,47.63,51026
visage,6.26,54.41,18812
elder-titan,6.17,43.75,42885
undying,5.48,47.47,58767
disruptor,5.41,47.05,73431
juggernaut,5.33,48.03,325910
earth-spirit,5.13,56.48,29235
anti-mage,5.11,50.94,271347
warlock,5.05,42.23,65081
ember-spirit,5.00,56.85,84818
enigma,4.89,45.80,67369
keeper-of-the-light,4.58,47.51,67002
oracle,4.55,55.39,43783
outworld-devourer,4.53,47.60,124190
batrider,4.48,52.94,43284
techies,4.38,51.90,65790
arc-warden,4.14,54.34,36340
dark-seer,3.98,48.01,47251
silencer,3.83,43.61,113889
timbersaw,3.79,48.57,159293
omniknight,3.71,37.02,162362
pugna,3.66,51.10,57827
storm-spirit,3.57,48.06,164943
shadow-demon,3.38,51.41,47058
jakiro,3.07,43.72,64454
meepo,3.00,49.48,67339
nyx-assassin,2.85,46.84,126951
witch-doctor,2.76,46.94,107578
invoker,2.63,50.24,315097
rubick,2.51,50.74,104627
leshrac,2.49,51.22,34659
skywrath-mage,2.39,50.11,75973
kunkka,2.33,48.69,168615
underlord,2.28,42.17,67199
alchemist,2.25,47.86,157911
magnus,2.24,50.03,84362
venomancer,2.02,45.01,86554
faceless-void,1.91,49.01,188700
necrophos,1.79,41.57,159139
death-prophet,1.77,49.74,75049
lifestealer,1.58,47.51,166976
morphling,1.46,48.04,155388
medusa,1.38,44.49,105485
lone-druid,1.34,56.56,29580
earthshaker,1.33,46.26,144987
sniper,1.26,44.65,368506
puck,1.10,52.17,68469
weaver,1.10,46.99,143558
tinker,1.07,48.58,163450
queen-of-pain,0.89,53.98,91808
brewmaster,0.89,48.56,30841
lich,0.81,41.39,94370
natures-prophet,0.75,54.85,116428
dazzle,0.71,44.19,94452
pudge,0.67,43.12,474027
winter-wyvern,0.48,49.85,48012
clockwerk,0.42,45.43,67057
zeus,0.37,41.33,166798
doom,0.37,52.43,49988
templar-assassin,0.13,50.46,83321
shadow-fiend,0.06,47.99,153055
shadow-shaman,0.05,42.95,114872
mirana,0.03,43.69,260826
sand-king,-0.15,46.06,149895
lion,-0.29,47.64,176670
treant-protector,-0.30,42.09,52728
spectre,-0.41,40.51,127648
lina,-0.49,51.06,120592
sven,-0.54,40.99,246743
centaur-warrunner,-0.67,40.13,92436
beastmaster,-0.76,48.84,30422
drow-ranger,-0.92,43.90,284966
razor,-1.06,49.49,100044
lycan,-1.13,48.76,46351
gyrocopter,-1.15,50.50,63504
enchantress,-1.25,55.14,52193
windranger,-1.26,49.85,169400
riki,-1.35,40.79,324441
bane,-1.40,49.13,70535
abaddon,-1.53,39.20,91318
tiny,-1.75,49.72,122403
tusk,-1.84,52.65,63471
huskar,-1.92,48.49,177382
crystal-maiden,-1.95,39.74,172722
ogre-magi,-1.99,40.65,130310
luna,-2.02,40.09,155505
viper,-2.39,45.56,126377
naga-siren,-2.57,48.26,42320
terrorblade,-2.71,45.26,64203
bloodseeker,-2.84,43.86,248649
ursa,-2.92,40.03,186584
vengeful-spirit,-2.95,42.01,108891
bristleback,-3.01,45.60,133970
troll-warlord,-3.24,44.47,121655
slark,-3.25,43.29,342265
dragon-knight,-3.57,44.56,86731
night-stalker,-3.66,43.96,84191
broodmother,-3.79,54.01,41000
legion-commander,-4.13,44.62,369358
bounty-hunter,-4.31,47.41,256473
phantom-assassin,-4.50,41.37,546611
axe,-4.51,41.18,273772
spirit-breaker,-4.73,41.04,194320
wraith-king,-5.06,37.83,209085
slardar,-5.08,42.19,191913
chaos-knight,-5.11,43.00,84991
phantom-lancer,-6.52,46.85,103829
