hero,para,rate,matches
death-prophet,11.96,47.42,71177
lich,5.61,53.02,89447
abaddon,5.47,54.32,86933
naga-siren,4.86,43.74,34013
natures-prophet,4.80,38.79,96397
keeper-of-the-light,4.28,47.72,57262
earth-spirit,4.23,39.29,24526
drow-ranger,3.83,48.68,229600
beastmaster,3.83,43.64,25541
io,3.81,34.37,18799
lone-druid,3.76,37.09,24415
meepo,3.53,44.70,54417
oracle,3.28,39.66,36377
crystal-maiden,3.23,52.39,149193
leshrac,3.17,42.59,28354
disruptor,3.17,48.03,63975
axe,3.13,49.59,244364
spectre,3.12,52.18,103029
clockwerk,2.92,47.30,54166
winter-wyvern,2.90,42.84,40622
earthshaker,2.89,46.86,131921
brewmaster,2.84,44.31,25509
wraith-king,2.81,52.91,186725
rubick,2.59,42.82,99541
jakiro,2.52,50.04,56426
chen,2.51,38.62,12928
enigma,2.48,48.71,58941
batrider,2.27,41.53,34016
ogre-magi,2.16,50.85,119000
slardar,1.99,47.67,127745
tidehunter,1.98,47.00,71898
faceless-void,1.92,43.95,158854
broodmother,1.82,36.08,32246
bane,1.81,42.17,61470
sand-king,1.80,45.88,127331
bristleback,1.80,44.98,113494
undying,1.70,46.98,51168
alchemist,1.47,45.04,129365
phantom-lancer,1.38,41.71,83518
chaos-knight,1.32,46.48,72389
phoenix,1.26,47.58,41861
vengeful-spirit,1.24,48.52,92101
dazzle,1.20,47.89,78810
lion,1.16,43.94,153251
dark-seer,1.16,45.54,37530
puck,1.06,40.13,54640
lycan,1.01,42.35,38285
underlord,1.00,50.54,56894
ember-spirit,1.00,37.67,65159
ancient-apparition,0.92,46.52,63222
elder-titan,0.87,50.48,38362
warlock,0.85,51.53,55995
visage,0.80,40.42,14863
witch-doctor,0.71,45.84,94139
shadow-shaman,0.66,48.61,99591
centaur-warrunner,0.62,51.20,78577
gyrocopter,0.51,40.41,47765
doom,0.50,39.30,43218
zeus,0.46,50.32,129750
spirit-breaker,0.45,48.35,160542
sven,0.38,50.24,200988
phantom-assassin,0.35,48.06,419413
tiny,0.33,40.81,99610
queen-of-pain,0.31,38.02,71162
shadow-demon,0.31,41.65,38932
venomancer,0.30,47.22,70101
omniknight,0.21,55.98,138098
tinker,0.16,43.22,132978
treant-protector,0.12,49.08,46481
techies,0.11,41.57,52263
razor,0.11,41.28,78246
magnus,0.10,42.34,62951
legion-commander,0.08,44.69,312074
ursa,-0.31,49.87,151527
dragon-knight,-0.32,44.84,72332
timbersaw,-0.34,44.25,125210
medusa,-0.35,47.15,80218
skywrath-mage,-0.41,42.12,62702
windranger,-0.46,40.60,126148
lifestealer,-0.48,44.21,141759
lina,-0.50,39.79,98149
night-stalker,-0.59,45.29,69785
enchantress,-0.65,35.48,42146
anti-mage,-0.77,42.43,192846
pudge,-0.79,48.01,398496
bloodseeker,-0.95,45.62,200254
kunkka,-1.22,43.09,140285
necrophos,-1.33,49.76,133187
pugna,-1.33,41.39,47914
troll-warlord,-1.34,44.63,97726
storm-spirit,-1.37,44.18,127991
silencer,-1.46,48.52,97777
tusk,-1.53,37.20,52339
invoker,-1.55,41.62,242966
luna,-1.65,49.52,112918
terrorblade,-1.74,43.89,49132
morphling,-2.14,42.91,109912
arc-warden,-2.28,38.27,28048
slark,-2.35,45.36,247509
nyx-assassin,-2.57,44.48,95767
juggernaut,-2.84,44.30,244975
huskar,-3.22,40.46,134900
viper,-3.41,43.00,96850
outworld-devourer,-3.71,43.96,97803
shadow-fiend,-3.73,41.64,118309
mirana,-4.09,45.58,196947
weaver,-4.71,42.62,95616
bounty-hunter,-5.19,39.54,153451
sniper,-5.35,44.58,250561
templar-assassin,-5.53,38.62,64650
riki,-6.32,46.75,221437
