hero,para,rate,matches
axe,4.75,50.14,160646
earthshaker,4.29,52.58,91404
crystal-maiden,4.11,47.07,93866
luna,4.04,47.45,90504
windranger,3.24,57.03,92998
tinker,3.22,54.54,118207
razor,2.87,56.36,53345
sven,2.71,47.15,131258
sniper,2.62,50.12,196671
tidehunter,2.57,51.15,56764
bloodseeker,2.49,51.15,125383
spirit-breaker,2.49,49.01,107500
drow-ranger,2.36,50.22,154579
enigma,2.17,49.46,41339
brewmaster,2.15,54.04,17806
night-stalker,2.08,51.44,46085
vengeful-spirit,2.07,49.02,64569
slardar,1.88,50.13,91343
pudge,1.75,48.39,293892
medusa,1.70,49.46,59547
centaur-warrunner,1.68,45.83,56536
lina,1.59,56.95,66831
ancient-apparition,1.52,50.62,48256
leshrac,1.34,55.47,20116
lion,1.33,53.25,107989
dark-seer,1.21,51.56,30189
disruptor,1.16,49.97,50137
keeper-of-the-light,1.14,50.77,42451
shadow-fiend,1.05,53.29,88391
kunkka,1.01,52.89,105900
elder-titan,1.00,46.36,31192
legion-commander,0.99,51.81,192154
tiny,0.96,55.90,66489
nyx-assassin,0.90,50.76,82440
pugna,0.90,54.55,35094
ogre-magi,0.89,46.59,80038
puck,0.88,56.85,39021
slark,0.84,49.92,186570
sand-king,0.80,51.31,99249
lich,0.73,46.09,49408
zeus,0.71,46.19,91439
magnus,0.67,54.06,53385
winter-wyvern,0.55,54.68,27770
bane,0.51,54.88,40483
venomancer,0.50,49.12,50825
shadow-demon,0.47,54.75,31332
gyrocopter,0.40,56.07,34541
silencer,0.40,46.90,77221
underlord,0.23,46.03,46566
io,0.23,63.35,12943
troll-warlord,0.22,50.84,54407
natures-prophet,0.20,59.24,61226
earth-spirit,0.20,58.54,17838
rubick,0.17,54.36,69684
oracle,0.12,57.77,28176
phantom-assassin,0.07,48.09,251989
bounty-hunter,0.02,54.33,107776
jakiro,-0.09,47.10,39855
beastmaster,-0.11,53.92,17940
naga-siren,-0.15,54.22,23683
treant-protector,-0.21,46.83,30528
invoker,-0.23,53.60,176463
tusk,-0.24,58.21,33320
abaddon,-0.24,44.36,47137
death-prophet,-0.31,53.48,37532
weaver,-0.31,51.09,72282
clinkz,-0.35,54.57,67057
mirana,-0.47,48.19,163535
witch-doctor,-0.56,50.16,66807
skywrath-mage,-0.57,53.41,46047
morphling,-0.59,51.82,90844
dragon-knight,-0.59,50.68,45691
lone-druid,-0.60,60.09,15221
bristleback,-0.61,51.48,69768
shadow-shaman,-1.03,47.17,60175
outworld-devourer,-1.19,49.71,79682
enchantress,-1.23,59.74,27304
omniknight,-1.24,39.69,89773
timbersaw,-1.24,50.93,101622
wraith-king,-1.32,43.92,105157
visage,-1.32,55.22,11207
batrider,-1.46,54.62,27801
faceless-void,-1.53,52.05,111159
techies,-1.58,53.63,30276
warlock,-1.66,44.12,39464
doom,-1.68,56.02,30304
queen-of-pain,-1.72,57.21,51142
alchemist,-1.75,50.68,83935
arc-warden,-1.78,55.91,20751
ursa,-1.81,45.10,90178
necrophos,-2.03,44.61,95154
riki,-2.03,45.12,146144
ember-spirit,-2.11,57.60,44967
dazzle,-2.26,47.53,53516
chaos-knight,-2.48,48.84,42780
templar-assassin,-2.59,53.73,43630
broodmother,-2.61,59.18,20441
meepo,-2.84,51.31,32848
terrorblade,-3.28,49.61,34147
lycan,-3.40,52.25,24542
storm-spirit,-3.49,49.39,100667
viper,-3.49,49.65,60511
phantom-lancer,-3.54,52.94,49494
juggernaut,-4.02,48.34,187121
lifestealer,-4.18,49.39,91768
spectre,-4.37,43.38,72083
undying,-4.43,47.56,37482
chen,-4.54,55.79,7673
phoenix,-4.93,46.55,32660
huskar,-5.71,51.11,78976
anti-mage,-9.30,48.29,137476
