hero,para,rate,matches
anti-mage,5.01,49.86,128989
pugna,3.71,48.39,27930
naga-siren,3.41,48.00,19574
arc-warden,3.41,45.29,16652
juggernaut,3.12,51.93,160306
storm-spirit,3.08,51.08,93691
luna,2.97,56.75,75053
clinkz,2.96,47.32,51817
spectre,2.65,56.83,65680
natures-prophet,2.61,42.66,46840
alchemist,2.59,50.41,73336
sniper,2.58,53.22,145950
oracle,2.46,44.07,23795
necrophos,2.37,56.50,72473
phoenix,2.32,52.96,22891
enigma,2.12,53.42,32302
bounty-hunter,2.07,47.37,86221
ancient-apparition,2.01,51.89,39982
morphling,1.83,49.49,83700
death-prophet,1.79,47.92,30046
io,1.79,38.14,9915
keeper-of-the-light,1.66,51.37,34796
silencer,1.60,54.87,62817
leshrac,1.59,46.71,16100
tinker,1.56,48.63,81194
outworld-devourer,1.51,51.18,75484
terrorblade,1.44,50.14,29007
shadow-fiend,1.41,48.67,77288
mirana,1.40,53.04,128528
invoker,1.33,47.62,153057
dazzle,1.21,52.73,44523
visage,1.21,45.30,8889
viper,1.14,49.84,47749
lycan,1.12,47.16,18834
enchantress,1.04,40.63,21601
chen,0.99,42.68,6453
templar-assassin,0.99,46.01,36828
zeus,0.87,55.33,71455
witch-doctor,0.47,50.52,54000
phantom-assassin,0.42,52.89,214978
shadow-demon,0.42,46.42,27043
riki,0.37,54.87,120546
medusa,0.28,52.24,52459
omniknight,0.27,60.67,74566
venomancer,0.26,51.99,39125
rubick,0.24,46.56,62245
treant-protector,0.22,53.91,23309
bloodseeker,0.10,50.87,94072
winter-wyvern,0.09,46.38,23752
gyrocopter,0.00,44.87,27463
drow-ranger,-0.00,51.66,114639
meepo,-0.03,47.90,27633
skywrath-mage,-0.04,46.99,41635
slark,-0.05,51.19,159092
shadow-shaman,-0.11,53.01,46990
dark-seer,-0.12,49.72,17655
huskar,-0.14,46.46,60748
bane,-0.21,46.03,32327
windranger,-0.25,45.36,68390
disruptor,-0.27,51.19,41217
lifestealer,-0.28,49.05,74942
jakiro,-0.31,53.41,31357
weaver,-0.37,49.30,53619
lina,-0.38,44.49,54671
ogre-magi,-0.45,54.30,61546
ember-spirit,-0.46,41.67,38341
sven,-0.47,54.56,101483
earth-spirit,-0.53,42.06,13770
legion-commander,-0.58,49.13,151159
dragon-knight,-0.59,49.45,33873
queen-of-pain,-0.62,42.23,41682
doom,-0.67,43.45,21589
lion,-0.70,47.84,87070
crystal-maiden,-0.72,55.11,74995
lich,-0.73,54.57,39061
kunkka,-0.75,48.00,79292
elder-titan,-0.89,54.33,22123
vengeful-spirit,-0.98,52.18,48710
undying,-1.04,50.43,24612
ursa,-1.06,54.21,69900
batrider,-1.11,44.79,17519
chaos-knight,-1.14,50.06,33485
wraith-king,-1.20,55.53,83038
spirit-breaker,-1.24,52.26,66707
phantom-lancer,-1.27,45.26,42382
abaddon,-1.27,55.53,33607
razor,-1.32,45.33,42849
pudge,-1.38,52.43,194424
tiny,-1.40,44.72,48701
earthshaker,-1.43,49.59,61810
nyx-assassin,-1.49,49.66,49821
centaur-warrunner,-1.60,54.75,31937
timbersaw,-1.63,48.35,55730
warlock,-1.67,54.92,31412
underlord,-1.72,53.86,27460
troll-warlord,-1.73,49.13,43067
broodmother,-1.94,39.15,14320
techies,-2.09,45.27,22127
lone-druid,-2.26,39.33,11583
tidehunter,-2.28,49.70,28824
brewmaster,-2.31,46.72,12579
beastmaster,-2.37,45.63,11636
sand-king,-2.45,48.61,59890
night-stalker,-2.70,48.97,31164
faceless-void,-3.00,46.43,65253
puck,-3.01,43.03,31651
bristleback,-3.13,47.40,40901
magnus,-3.18,45.52,31998
tusk,-3.49,40.88,23724
axe,-4.09,50.70,99235
slardar,-4.79,49.05,49706
