hero,para,rate,matches
troll-warlord,5.41,58.51,161228
phantom-lancer,3.42,61.62,133206
broodmother,3.18,67.32,46145
templar-assassin,3.17,61.74,113550
phantom-assassin,2.76,54.31,820966
anti-mage,2.72,59.55,394557
terrorblade,2.47,57.46,77898
ursa,2.42,51.95,253054
viper,2.39,57.56,162346
chaos-knight,2.17,56.06,111734
bounty-hunter,2.06,60.24,284644
lone-druid,2.02,66.25,38243
dragon-knight,1.86,56.79,113221
alchemist,1.86,57.40,219188
night-stalker,1.83,56.19,107276
legion-commander,1.67,57.02,568553
omniknight,1.57,45.58,273355
wraith-king,1.36,49.96,296498
clinkz,1.33,60.26,172722
keeper-of-the-light,1.30,55.70,115083
naga-siren,1.26,59.76,51900
sven,1.24,51.32,372082
bloodseeker,1.23,55.37,344938
enchantress,1.22,65.76,68407
lycan,1.16,59.49,54204
riki,1.15,51.43,435995
necrophos,1.12,50.89,248584
slark,0.96,54.82,522986
shadow-fiend,0.95,58.03,226631
underlord,0.95,51.20,91666
weaver,0.85,56.50,185418
tiny,0.80,60.53,169211
doom,0.69,62.03,65778
razor,0.65,59.88,131754
slardar,0.61,54.33,213407
beastmaster,0.56,59.03,40737
brewmaster,0.50,57.94,37861
luna,0.49,50.65,216490
outworld-devourer,0.43,55.33,184779
io,0.42,67.83,34218
windranger,0.30,60.11,256621
tusk,0.28,63.11,84196
drow-ranger,0.27,54.01,428402
huskar,0.25,59.07,229480
spirit-breaker,0.24,52.74,280609
dazzle,0.23,53.55,159750
timbersaw,0.23,56.47,236694
chen,0.10,63.09,20869
gyrocopter,0.02,60.52,76192
queen-of-pain,0.01,62.81,123288
shadow-demon,-0.01,59.20,74436
treant-protector,-0.02,51.72,74464
invoker,-0.08,58.40,511534
axe,-0.09,52.61,415910
kunkka,-0.18,57.01,260087
morphling,-0.19,56.78,236114
lich,-0.25,50.42,137759
ember-spirit,-0.26,63.23,115064
sand-king,-0.27,55.52,228129
venomancer,-0.43,53.44,114119
natures-prophet,-0.43,63.40,171411
techies,-0.46,58.92,87028
ogre-magi,-0.46,50.74,231292
bane,-0.47,59.02,109258
lina,-0.52,60.41,175462
vengeful-spirit,-0.53,52.54,168431
medusa,-0.59,53.11,143416
centaur-warrunner,-0.69,49.52,131289
spectre,-0.74,49.78,176379
batrider,-0.76,59.66,58517
faceless-void,-0.77,57.17,266213
bristleback,-0.81,56.10,190390
mirana,-0.82,52.79,434823
leshrac,-0.85,58.93,42404
dark-seer,-0.86,55.25,68298
meepo,-0.96,57.00,104175
puck,-1.10,60.34,104384
tinker,-1.16,56.92,260314
lifestealer,-1.18,55.65,250426
pugna,-1.23,58.06,82155
winter-wyvern,-1.24,58.36,68915
warlock,-1.26,49.03,100155
oracle,-1.27,61.52,65176
sniper,-1.29,52.95,539765
shadow-shaman,-1.33,51.76,190363
lion,-1.50,56.44,323568
skywrath-mage,-1.55,57.54,110105
earthshaker,-1.55,54.34,243346
nyx-assassin,-1.57,54.23,177669
juggernaut,-1.57,54.29,484511
death-prophet,-1.73,57.37,93451
storm-spirit,-1.83,54.93,237143
jakiro,-1.83,50.99,100271
abaddon,-1.88,48.32,120722
pudge,-1.95,51.34,776916
ancient-apparition,-2.00,53.56,115974
arc-warden,-2.03,60.30,48229
earth-spirit,-2.13,61.66,45030
undying,-2.31,53.29,83147
witch-doctor,-2.45,53.87,193271
magnus,-2.60,56.91,126645
rubick,-2.83,57.32,219079
disruptor,-2.94,52.60,121962
visage,-3.01,58.80,23681
enigma,-3.01,51.61,106237
tidehunter,-3.05,52.99,124245
clockwerk,-3.39,52.93,93866
silencer,-3.43,49.75,194930
elder-titan,-3.77,48.79,63256
phoenix,-3.82,51.71,78717
zeus,-3.93,48.67,228199
