hero,para,rate,matches
clinkz,3.23,52.39,149193
ursa,2.52,60.99,265982
juggernaut,2.49,56.52,534083
chaos-knight,2.47,56.79,112883
legion-commander,2.30,55.46,487063
slark,2.29,57.27,491787
night-stalker,2.25,56.35,95180
dragon-knight,2.22,55.74,108029
omniknight,2.20,66.43,139217
riki,2.13,60.64,339859
abaddon,2.09,62.18,90797
bristleback,2.07,54.84,203359
lycan,2.03,52.48,43605
terrorblade,1.96,55.28,68294
troll-warlord,1.79,55.77,138343
medusa,1.74,57.85,142366
pudge,1.74,58.91,633163
morphling,1.68,54.30,222638
spectre,1.65,61.04,169930
meepo,1.40,53.45,92979
phantom-lancer,1.38,51.33,122628
treant-protector,1.31,59.28,46487
storm-spirit,1.27,55.03,238254
anti-mage,1.22,52.92,366904
wraith-king,1.16,61.58,289360
doom,1.14,49.06,54641
windranger,1.11,50.83,201520
naga-siren,0.97,51.71,43482
alchemist,0.77,54.35,215759
broodmother,0.71,44.92,36709
mirana,0.65,57.43,316779
lifestealer,0.61,54.30,216233
silencer,0.49,59.02,116721
weaver,0.45,54.52,161829
bloodseeker,0.44,55.85,286838
death-prophet,0.44,52.10,72573
sven,0.39,59.75,410294
shadow-fiend,0.35,52.98,202618
tusk,0.33,47.26,64270
undying,0.28,55.90,64668
brewmaster,0.27,52.77,31421
centaur-warrunner,0.24,60.47,115861
templar-assassin,0.20,50.45,101040
ember-spirit,0.17,46.68,107573
phantom-assassin,0.15,57.51,790520
zeus,0.13,59.63,184948
magnus,0.04,51.84,121366
faceless-void,-0.05,52.64,254243
sniper,-0.06,56.61,428623
razor,-0.12,50.66,109984
necrophos,-0.20,59.76,158437
axe,-0.22,57.49,371550
timbersaw,-0.25,53.81,231440
spirit-breaker,-0.30,57.48,223157
huskar,-0.31,51.16,195939
gyrocopter,-0.32,49.50,64756
viper,-0.34,53.89,138421
drow-ranger,-0.35,56.23,336313
tinker,-0.41,52.47,230896
tiny,-0.50,49.90,154653
enchantress,-0.52,44.67,45364
lone-druid,-0.53,44.70,29637
clockwerk,-0.58,55.18,78022
luna,-0.71,59.38,180890
invoker,-0.89,51.33,457843
warlock,-0.91,59.97,51839
dark-seer,-1.03,54.01,47494
slardar,-1.07,55.69,194431
ogre-magi,-1.18,58.55,114041
queen-of-pain,-1.42,46.57,105312
underlord,-1.47,58.62,71870
beastmaster,-1.53,50.75,30504
enigma,-1.73,56.08,77977
lina,-1.79,48.55,120059
puck,-1.80,48.26,86700
bounty-hunter,-1.92,50.22,196738
natures-prophet,-1.95,45.40,112263
kunkka,-1.96,52.13,213054
vengeful-spirit,-1.96,56.32,84576
elder-titan,-2.06,58.29,41481
shadow-shaman,-2.15,56.56,82662
nyx-assassin,-2.18,54.00,129026
phoenix,-2.36,55.19,49350
techies,-2.47,49.77,60418
leshrac,-2.61,49.45,29118
sand-king,-2.72,53.14,166762
earthshaker,-2.77,53.57,149969
witch-doctor,-2.80,53.53,78544
lich,-2.81,57.99,63906
outworld-devourer,-2.84,53.64,164208
dazzle,-2.97,55.17,63456
jakiro,-3.07,56.52,47089
batrider,-3.12,48.51,42322
arc-warden,-3.16,47.03,37891
skywrath-mage,-3.32,50.09,62699
venomancer,-3.44,54.67,72383
lion,-3.46,51.14,119760
disruptor,-3.86,53.94,51861
pugna,-4.44,49.17,46816
rubick,-4.77,48.80,83685
tidehunter,-4.88,52.92,110371
keeper-of-the-light,-5.04,52.53,45328
bane,-5.05,48.34,53785
ancient-apparition,-5.14,52.79,55161
chen,-5.31,44.50,11891
earth-spirit,-5.76,44.32,27648
winter-wyvern,-5.93,48.10,32940
shadow-demon,-6.20,47.86,33143
visage,-6.86,46.14,15081
oracle,-6.89,44.47,30613
io,-16.94,34.95,19379
