hero,para,rate,matches
templar-assassin,6.69,57.85,31816
omniknight,5.28,41.36,68666
tidehunter,4.24,50.99,39206
wraith-king,4.05,45.34,74741
treant-protector,3.79,47.73,22624
elder-titan,3.70,46.63,21408
terrorblade,3.20,51.96,24823
phantom-lancer,3.18,55.66,36176
phantom-assassin,2.91,48.48,184558
beastmaster,2.90,54.57,12821
chaos-knight,2.77,50.50,31366
dragon-knight,2.54,51.31,32716
ogre-magi,2.36,46.31,57483
undying,2.23,49.91,27208
spectre,2.18,45.39,50367
dazzle,2.14,48.70,40419
underlord,1.98,45.87,31064
meepo,1.82,52.81,24491
riki,1.81,45.93,101866
venomancer,1.74,48.76,35467
sand-king,1.72,50.81,67814
lion,1.65,52.46,76371
luna,1.62,45.39,61924
viper,1.58,51.30,43246
slardar,1.57,49.02,61914
abaddon,1.52,44.20,34852
axe,1.47,47.61,111160
faceless-void,1.47,52.68,76877
winter-wyvern,1.45,54.22,21115
slark,1.45,49.27,130705
spirit-breaker,1.38,47.52,70575
brewmaster,1.37,52.67,13518
lifestealer,1.35,51.28,63011
puck,1.31,56.15,27603
morphling,1.23,51.81,62127
crystal-maiden,1.08,44.75,68298
night-stalker,0.98,49.94,31989
lich,0.96,45.25,37783
vengeful-spirit,0.95,47.53,45541
mirana,0.88,47.90,109439
tusk,0.76,57.86,22644
shadow-fiend,0.75,52.18,56995
broodmother,0.71,60.30,15716
shadow-demon,0.69,53.92,23818
naga-siren,0.61,53.69,18036
centaur-warrunner,0.45,44.34,39034
ursa,0.43,45.19,64418
jakiro,0.37,46.38,28614
nyx-assassin,0.36,49.54,55093
warlock,0.33,44.08,29075
disruptor,0.26,48.57,36280
shadow-shaman,0.24,46.83,43744
storm-spirit,0.11,50.29,69733
medusa,0.02,47.70,42101
pudge,-0.02,46.61,183352
chen,-0.08,57.48,5939
witch-doctor,-0.18,49.41,47170
lycan,-0.25,53.01,18055
weaver,-0.27,50.16,50291
skywrath-mage,-0.31,52.61,31839
ancient-apparition,-0.37,48.74,33802
phoenix,-0.49,47.79,22175
io,-0.49,62.02,9441
silencer,-0.52,45.54,52906
juggernaut,-0.56,49.14,128631
necrophos,-0.57,44.34,65316
tiny,-0.67,54.06,45989
bristleback,-0.78,50.45,49321
kunkka,-0.91,50.95,72860
earth-spirit,-0.94,56.97,12669
zeus,-0.96,44.50,60269
bounty-hunter,-0.97,52.86,74869
rubick,-0.99,52.80,50028
troll-warlord,-1.01,49.28,38237
legion-commander,-1.04,49.84,131382
arc-warden,-1.12,55.36,15741
bane,-1.18,53.03,30012
razor,-1.20,53.21,38257
clockwerk,-1.26,48.44,30189
visage,-1.28,54.32,9017
magnus,-1.46,51.99,39060
outworld-devourer,-1.63,48.55,56984
alchemist,-1.65,49.80,59455
queen-of-pain,-1.67,56.34,35589
tinker,-1.70,51.01,65708
earthshaker,-1.75,48.61,59717
drow-ranger,-1.78,47.27,102073
techies,-1.83,52.57,22086
pugna,-1.84,52.15,24577
gyrocopter,-1.89,53.87,24562
lone-druid,-2.08,58.31,10832
windranger,-2.09,53.17,63712
batrider,-2.20,53.29,20355
enigma,-2.45,46.31,30611
invoker,-2.58,51.42,123235
sven,-2.61,43.79,92867
leshrac,-2.61,52.39,14954
doom,-2.67,54.55,20769
timbersaw,-2.75,49.23,66028
lina,-2.78,53.59,46047
enchantress,-2.91,57.84,20059
bloodseeker,-3.04,47.47,84162
keeper-of-the-light,-3.11,47.72,29777
clinkz,-3.42,51.99,47251
huskar,-3.54,51.38,55988
anti-mage,-3.84,50.29,103392
natures-prophet,-4.58,55.54,43978
sniper,-4.62,45.69,117498
oracle,-4.63,54.14,26424
death-prophet,-4.73,50.21,28658
ember-spirit,-4.87,55.10,30957
