hero,para,rate,matches
legion-commander,4.08,50.45,111910
riki,3.82,55.79,104122
slark,3.07,51.82,115214
arc-warden,2.97,44.14,13013
spirit-breaker,2.83,53.44,52184
outworld-devourer,2.59,50.76,52180
bloodseeker,2.55,51.15,68140
lifestealer,2.55,49.47,55661
naga-siren,2.41,46.58,15888
juggernaut,2.08,50.44,114694
huskar,1.96,46.48,44757
pudge,1.92,53.22,142087
storm-spirit,1.75,49.46,63411
chaos-knight,1.75,50.57,26908
leshrac,1.75,45.83,11904
rubick,1.69,46.28,38210
ember-spirit,1.65,41.63,29339
axe,1.65,52.78,89847
sven,1.63,54.76,96994
viper,1.54,49.08,34209
tusk,1.52,42.07,16870
lion,1.46,47.92,56378
centaur-warrunner,1.45,55.50,26345
bane,1.36,45.80,22040
tiny,1.25,44.97,36968
dragon-knight,1.24,49.40,27662
templar-assassin,1.22,45.17,27294
lycan,1.18,46.24,14897
ursa,1.18,54.49,55205
clinkz,1.16,45.54,37530
anti-mage,1.10,47.05,89201
queen-of-pain,0.85,41.92,30783
enchantress,0.80,39.62,15415
mirana,0.78,51.76,80522
nyx-assassin,0.76,49.85,33849
treant-protector,0.69,53.22,16416
night-stalker,0.65,49.71,23768
vengeful-spirit,0.63,52.08,32858
oracle,0.53,42.31,17651
alchemist,0.47,48.42,55444
wraith-king,0.38,55.49,65112
magnus,0.34,46.24,30479
lina,0.33,43.87,35697
doom,0.31,42.95,15417
phantom-assassin,0.18,51.82,157938
windranger,0.16,44.61,46994
invoker,0.15,46.13,109076
sand-king,0.14,48.95,44241
earthshaker,0.13,49.43,46448
death-prophet,0.08,46.18,22854
silencer,0.07,53.10,38962
slardar,0.06,50.61,38607
kunkka,-0.02,47.42,62809
sniper,-0.04,50.92,97690
clockwerk,-0.08,49.74,18345
ogre-magi,-0.09,53.55,39353
brewmaster,-0.10,46.83,10249
luna,-0.15,54.10,52902
troll-warlord,-0.17,48.97,31708
gyrocopter,-0.22,43.84,21404
bounty-hunter,-0.29,45.34,61475
terrorblade,-0.33,48.33,21284
witch-doctor,-0.38,49.15,35123
spectre,-0.46,54.17,45132
broodmother,-0.55,38.80,11744
puck,-0.57,43.18,23512
shadow-shaman,-0.62,51.80,30613
tinker,-0.63,46.65,58181
meepo,-0.75,46.62,20705
shadow-fiend,-0.80,46.67,55303
earth-spirit,-0.84,41.01,10043
razor,-0.91,44.59,30985
pugna,-1.01,45.26,17931
crystal-maiden,-1.03,54.01,47494
natures-prophet,-1.23,40.16,33365
beastmaster,-1.25,45.23,8359
disruptor,-1.39,49.69,31429
venomancer,-1.43,50.18,25406
morphling,-1.48,46.95,56552
bristleback,-1.62,47.21,34122
weaver,-1.80,47.66,38188
faceless-void,-1.87,46.04,52738
drow-ranger,-1.93,49.74,77139
skywrath-mage,-1.96,45.17,23857
zeus,-2.01,52.83,46647
winter-wyvern,-2.02,44.48,17189
abaddon,-2.15,54.13,25719
jakiro,-2.17,51.49,21451
medusa,-2.22,50.02,37939
undying,-2.22,48.91,17776
dazzle,-2.26,50.00,29442
omniknight,-2.48,58.12,46415
phantom-lancer,-2.73,43.68,31425
keeper-of-the-light,-2.81,48.19,21079
visage,-3.02,42.51,7187
shadow-demon,-3.12,43.88,18604
warlock,-3.38,53.06,23776
enigma,-3.81,49.41,30206
necrophos,-3.82,52.18,44354
elder-titan,-3.88,51.79,16663
lich,-4.06,51.84,28141
ancient-apparition,-4.06,47.89,26135
timbersaw,-4.24,46.17,40187
phoenix,-4.26,48.65,13899
lone-druid,-4.70,37.49,8720
batrider,-5.95,41.71,13183
underlord,-6.76,50.22,18942
tidehunter,-9.96,44.94,23436
techies,-10.04,40.75,16401
io,-10.66,32.69,7326
chen,-12.17,36.31,4773
