hero,para,rate,matches
lifestealer,4.75,55.42,133702
bristleback,4.71,55.67,104385
legion-commander,4.55,55.08,334139
centaur-warrunner,4.22,48.40,74700
wraith-king,3.99,47.69,157192
spectre,3.78,48.49,98792
io,3.76,66.89,20424
treant-protector,3.61,50.04,43367
necrophos,3.13,48.36,159855
techies,2.77,57.39,47338
juggernaut,2.64,53.10,269693
slark,2.37,52.08,285834
night-stalker,2.33,52.97,59353
clockwerk,2.14,52.47,53516
chen,2.04,61.00,11686
tidehunter,2.02,52.27,74360
storm-spirit,1.95,53.57,140694
omniknight,1.87,42.29,182162
pudge,1.87,49.84,417052
abaddon,1.77,46.64,68792
spirit-breaker,1.75,50.05,143710
broodmother,1.64,63.09,26257
enchantress,1.53,62.73,36567
phantom-assassin,1.51,50.17,409109
templar-assassin,1.44,57.33,63043
alchemist,1.44,53.72,120868
viper,1.30,53.50,86383
riki,1.30,48.03,215630
slardar,1.28,51.22,121588
huskar,1.28,56.27,120631
visage,1.27,58.03,15064
dragon-knight,1.17,52.96,63966
ogre-magi,1.11,48.08,128747
shadow-shaman,1.11,49.57,96815
tiny,1.06,57.32,91568
underlord,1.00,47.76,54183
lycan,0.90,55.94,29885
zeus,0.85,47.63,123898
brewmaster,0.83,54.72,22838
anti-mage,0.70,54.98,207521
bounty-hunter,0.67,56.05,150236
winter-wyvern,0.66,56.11,43965
elder-titan,0.63,47.57,38252
tusk,0.60,60.03,44850
oracle,0.52,59.34,45779
weaver,0.52,52.89,100933
skywrath-mage,0.51,55.35,63640
troll-warlord,0.46,52.34,79247
lone-druid,0.32,61.96,21283
disruptor,0.26,50.90,74142
ember-spirit,0.23,60.30,64504
queen-of-pain,0.11,59.61,70145
bloodseeker,0.05,51.30,181194
mirana,0.02,49.80,239580
ursa,-0.08,47.26,134069
lion,-0.08,53.87,174847
rubick,-0.22,55.51,107253
sniper,-0.25,50.09,264720
crystal-maiden,-0.26,46.45,159750
leshrac,-0.29,55.93,25282
arc-warden,-0.33,58.07,29678
shadow-fiend,-0.33,53.92,121223
timbersaw,-0.38,52.74,136978
windranger,-0.46,56.33,137771
doom,-0.49,58.03,39638
natures-prophet,-0.53,60.13,91557
venomancer,-0.55,49.97,69142
clinkz,-0.55,55.81,94452
puck,-0.59,57.36,58293
earthshaker,-0.63,51.46,123811
chaos-knight,-0.65,51.12,59238
keeper-of-the-light,-0.66,51.23,64037
nyx-assassin,-0.69,51.33,99612
razor,-0.77,55.71,72792
bane,-0.81,55.50,62606
phoenix,-0.81,49.93,46138
vengeful-spirit,-0.88,48.96,94324
morphling,-0.88,53.02,137546
jakiro,-1.02,48.02,56342
lina,-1.04,56.81,91654
invoker,-1.09,54.48,289806
beastmaster,-1.12,54.72,23586
kunkka,-1.15,53.11,149413
witch-doctor,-1.22,51.18,107041
naga-siren,-1.29,54.94,30436
death-prophet,-1.38,54.25,53168
sand-king,-1.39,51.54,129467
batrider,-1.48,55.94,35953
warlock,-1.59,45.49,58560
pugna,-1.68,54.49,46860
meepo,-1.74,53.23,52889
shadow-demon,-1.80,54.84,48406
lich,-1.84,46.25,76243
earth-spirit,-1.94,58.59,26118
dark-seer,-1.95,51.30,40419
phantom-lancer,-2.06,55.08,68203
undying,-2.23,49.99,50502
silencer,-2.27,46.99,110564
medusa,-2.28,48.86,82526
faceless-void,-2.34,52.96,152967
gyrocopter,-2.45,55.79,43029
magnus,-2.45,53.71,74619
luna,-2.63,45.74,119521
sven,-2.67,46.00,201314
drow-ranger,-2.73,49.06,220174
terrorblade,-2.90,51.14,44245
tinker,-3.37,52.38,148553
enigma,-3.65,47.97,59898
axe,-3.86,47.33,343030
outworld-devourer,-4.37,49.42,114131
ancient-apparition,-6.28,48.01,84805
