hero,para,rate,matches
lone-druid,7.77,44.80,18119
drow-ranger,4.43,55.38,203711
meepo,4.43,51.47,59122
huskar,3.87,49.74,238538
riki,2.84,57.62,169218
arc-warden,2.60,46.32,23947
lycan,2.49,49.20,25882
undying,2.45,53.62,38571
bristleback,2.36,51.49,99821
axe,2.05,55.34,244938
templar-assassin,2.04,47.88,58470
natures-prophet,2.03,43.79,66152
brewmaster,1.94,50.15,19408
phantom-lancer,1.94,48.12,66078
shadow-fiend,1.85,50.27,111243
abaddon,1.63,58.54,51959
death-prophet,1.62,49.23,43102
vengeful-spirit,1.62,54.94,55654
sven,1.48,57.00,205341
phantom-assassin,1.42,54.80,405466
alchemist,1.37,51.21,121824
razor,1.31,47.92,64282
luna,1.30,57.20,104062
doom,1.30,45.68,31960
spirit-breaker,1.24,54.95,116130
clockwerk,1.22,52.73,46284
magnus,1.21,48.97,62044
clinkz,1.20,47.89,78810
legion-commander,1.18,51.39,262502
tiny,1.10,47.23,78151
gyrocopter,1.09,46.74,36862
faceless-void,1.06,49.75,134450
sniper,1.05,53.81,219368
bloodseeker,1.05,52.74,143631
terrorblade,0.97,51.29,44111
leshrac,0.89,47.77,17798
naga-siren,0.88,48.21,26560
weaver,0.86,51.29,87887
tusk,0.78,44.05,35062
pudge,0.78,54.95,321221
viper,0.77,51.04,74991
troll-warlord,0.74,51.75,71752
slardar,0.71,53.26,115924
sand-king,0.70,51.56,101962
kunkka,0.69,50.08,122076
ursa,0.66,56.52,122692
pugna,0.64,48.34,28769
slark,0.52,52.87,267990
lifestealer,0.47,50.79,121067
ember-spirit,0.41,43.38,59413
outworld-devourer,0.39,52.00,104333
jakiro,0.38,55.15,29213
centaur-warrunner,0.27,57.14,68125
chaos-knight,0.10,52.07,58789
invoker,0.08,48.41,255097
dragon-knight,0.07,51.15,59897
witch-doctor,0.01,51.66,45396
earthshaker,-0.02,51.67,82778
anti-mage,-0.06,48.82,212466
night-stalker,-0.07,51.66,52069
zeus,-0.15,56.12,95816
tinker,-0.20,49.16,130873
beastmaster,-0.26,47.99,19728
spectre,-0.46,56.45,99106
lina,-0.57,45.75,61734
omniknight,-0.67,61.40,80334
juggernaut,-0.68,51.38,249173
nyx-assassin,-0.75,51.40,79202
medusa,-0.93,52.96,77657
mirana,-0.94,53.17,178762
silencer,-1.01,54.80,66082
wraith-king,-1.03,56.96,152188
bounty-hunter,-1.07,47.26,106493
storm-spirit,-1.10,50.36,127326
puck,-1.20,45.17,49123
shadow-shaman,-1.28,53.73,44325
warlock,-1.28,56.46,30499
windranger,-1.39,46.19,111289
timbersaw,-1.46,49.79,125962
treant-protector,-1.56,54.29,25178
broodmother,-1.64,40.57,22437
ogre-magi,-1.65,54.97,66858
venomancer,-1.70,52.32,41941
bane,-1.77,46.65,32697
elder-titan,-1.82,55.15,25321
queen-of-pain,-1.87,43.02,59675
earth-spirit,-2.01,42.75,16803
enchantress,-2.06,40.68,26081
underlord,-2.08,54.98,42316
visage,-2.17,45.12,9760
morphling,-2.23,48.86,127168
dark-seer,-2.26,50.00,29442
enigma,-2.33,52.42,39764
disruptor,-2.41,51.43,31784
rubick,-2.60,46.57,49748
batrider,-2.84,45.33,27346
crystal-maiden,-2.97,55.17,63456
skywrath-mage,-3.11,46.88,34883
tidehunter,-3.15,50.58,64493
necrophos,-3.20,54.73,92036
winter-wyvern,-3.47,46.05,20363
keeper-of-the-light,-3.86,49.90,27758
lion,-3.89,47.62,73997
lich,-3.99,54.08,37172
chen,-4.17,41.78,7120
oracle,-4.26,42.47,20470
phoenix,-4.70,50.63,29034
techies,-6.41,44.55,29779
shadow-demon,-6.52,44.49,22656
ancient-apparition,-6.99,48.58,33977
io,-10.20,34.82,10613
