hero,para,rate,matches
tidehunter,17.76,54.43,58334
io,17.53,70.22,16315
chen,13.70,62.38,9317
visage,8.29,56.67,12363
techies,7.54,54.68,35148
earth-spirit,7.02,58.69,16152
treant-protector,6.92,46.31,30533
timbersaw,6.43,51.01,88104
oracle,5.60,57.13,25752
dark-seer,5.27,49.79,28658
ancient-apparition,5.13,48.59,44245
winter-wyvern,5.03,53.29,27669
enigma,4.81,46.94,39991
arc-warden,4.66,55.79,20195
batrider,4.44,54.10,26358
brewmaster,4.02,51.23,18481
omniknight,3.89,38.16,89272
axe,3.34,45.71,150328
morphling,3.33,50.09,79645
underlord,3.30,43.72,39838
skywrath-mage,3.23,51.68,44088
pudge,3.06,45.28,255236
bane,2.80,52.39,40077
pugna,2.80,51.83,35145
storm-spirit,2.73,48.82,91343
centaur-warrunner,2.61,42.57,53273
phoenix,2.56,46.49,28811
outworld-devourer,2.55,47.85,71422
crystal-maiden,2.42,42.63,93451
elder-titan,2.41,43.33,27220
meepo,2.38,50.33,34406
doom,2.10,54.48,28018
nyx-assassin,2.05,47.62,66939
puck,2.00,53.79,36701
shadow-demon,1.86,51.80,27013
keeper-of-the-light,1.85,47.41,38879
disruptor,1.77,46.57,44559
magnus,1.74,50.93,48395
necrophos,1.69,42.65,90101
jakiro,1.69,44.26,38780
lone-druid,1.69,57.88,15813
dazzle,1.69,45.75,53168
venomancer,1.48,45.91,48622
leshrac,1.46,51.84,21125
templar-assassin,1.39,52.24,43344
lion,1.37,49.57,99370
faceless-void,1.35,49.88,100382
naga-siren,1.27,51.31,24473
dragon-knight,1.24,47.92,48985
lich,1.21,42.66,57198
alchemist,1.15,48.49,83913
rubick,1.04,51.15,66858
warlock,1.03,41.71,39811
beastmaster,0.76,50.72,16958
broodmother,0.68,57.63,22619
earthshaker,0.60,47.05,82303
shadow-shaman,0.57,44.29,64691
queen-of-pain,0.45,54.87,50043
abaddon,0.38,41.05,55147
natures-prophet,0.37,55.76,63242
clockwerk,0.36,46.52,37532
witch-doctor,0.35,46.96,64376
ursa,0.33,42.47,99469
night-stalker,0.30,46.89,46023
lifestealer,0.30,48.04,90966
bristleback,0.23,48.25,75156
spirit-breaker,0.20,44.28,104099
tiny,0.16,51.81,65406
kunkka,0.09,48.75,92641
juggernaut,-0.06,46.69,175582
zeus,-0.09,42.23,86837
ember-spirit,-0.14,55.18,43239
sand-king,-0.35,47.08,85587
tinker,-0.39,49.00,85100
slardar,-0.43,45.37,81258
enchantress,-0.52,56.65,29854
troll-warlord,-0.54,46.83,61824
tusk,-0.63,54.42,33460
terrorblade,-0.66,47.33,35565
wraith-king,-0.67,40.66,117138
ogre-magi,-0.71,42.27,73598
undying,-0.95,45.68,35088
riki,-1.06,42.00,153794
vengeful-spirit,-1.33,43.81,58854
sven,-1.33,41.74,133714
slark,-1.42,45.21,175997
invoker,-1.42,49.37,169223
phantom-assassin,-1.64,43.70,270819
clinkz,-1.70,50.26,75049
silencer,-1.71,42.37,69169
anti-mage,-1.77,48.71,140405
lina,-2.06,51.35,67823
spectre,-2.11,40.89,74405
lycan,-2.12,49.38,25881
bounty-hunter,-2.32,49.50,103687
windranger,-2.50,50.32,90798
huskar,-2.54,49.28,89584
medusa,-2.55,43.85,60176
chaos-knight,-2.58,45.24,48324
razor,-2.73,49.75,56727
mirana,-2.79,43.54,140621
gyrocopter,-2.91,50.70,35223
bloodseeker,-2.96,44.89,128399
legion-commander,-3.02,46.22,190375
weaver,-3.32,46.02,73506
viper,-3.43,46.16,67598
phantom-lancer,-3.46,49.48,56838
shadow-fiend,-3.57,47.34,81351
luna,-3.82,40.41,85606
drow-ranger,-4.33,43.46,145581
sniper,-6.54,42.25,191338
