hero,para,rate,matches
clinkz,11.96,47.42,71177
natures-prophet,9.94,41.86,53043
abaddon,8.43,57.06,55432
visage,7.76,44.38,9295
lich,6.99,54.93,52970
broodmother,6.07,38.69,18817
lone-druid,5.65,38.87,13719
chen,5.43,40.84,7083
beastmaster,5.31,45.42,15231
brewmaster,4.64,46.25,14936
lycan,4.39,44.91,23184
naga-siren,4.32,44.66,20315
oracle,4.00,41.05,20799
leshrac,3.91,44.04,16003
winter-wyvern,3.64,44.29,22500
spectre,3.16,53.36,73953
io,2.44,34.95,9905
phantom-lancer,2.36,43.23,49125
tusk,2.07,39.64,27749
razor,1.96,43.16,43023
pugna,1.93,43.88,28174
gyrocopter,1.89,42.07,28783
bane,1.86,43.31,33084
tidehunter,1.84,48.08,43952
undying,1.84,48.19,30907
terrorblade,1.82,46.62,31042
clockwerk,1.76,47.91,31448
batrider,1.73,42.42,19719
meepo,1.71,45.04,25493
chaos-knight,1.67,47.78,42518
treant-protector,1.65,50.98,25451
dazzle,1.62,49.23,43102
wraith-king,1.54,53.40,113520
sand-king,1.48,46.87,71527
venomancer,1.28,48.82,40631
night-stalker,1.04,47.17,38340
sven,0.95,51.67,120588
shadow-shaman,0.89,49.86,57388
ursa,0.83,51.58,85191
viper,0.83,46.02,49624
bristleback,0.76,45.64,64205
spirit-breaker,0.74,49.63,86547
axe,0.68,49.55,132130
jakiro,0.63,50.25,32186
witch-doctor,0.59,46.91,51908
slark,0.58,47.85,154049
faceless-void,0.47,44.44,96364
crystal-maiden,0.44,52.10,72573
enchantress,0.33,36.88,23054
enigma,0.30,48.81,32625
bounty-hunter,0.29,42.92,89729
slardar,0.22,47.98,70761
earth-spirit,0.17,38.83,13001
weaver,0.16,45.91,59336
centaur-warrunner,0.15,52.09,44849
phantom-assassin,0.15,49.09,224977
dark-seer,0.08,46.18,22854
doom,0.07,40.21,24208
rubick,0.01,42.85,49936
underlord,-0.03,51.15,33744
troll-warlord,-0.08,46.31,52752
tiny,-0.13,41.71,52335
legion-commander,-0.14,45.71,165545
mirana,-0.16,48.57,103246
elder-titan,-0.16,51.10,23096
bloodseeker,-0.29,47.03,106585
earthshaker,-0.32,46.51,70228
dragon-knight,-0.35,45.94,40263
anti-mage,-0.38,43.69,123647
huskar,-0.57,42.67,69656
vengeful-spirit,-0.59,48.76,49119
luna,-0.60,51.17,72931
arc-warden,-0.66,39.97,14470
lifestealer,-0.69,45.23,79019
riki,-0.79,50.63,131992
disruptor,-0.85,47.28,35783
keeper-of-the-light,-0.93,46.45,30715
warlock,-0.98,51.71,32252
queen-of-pain,-1.02,38.57,30406
windranger,-1.03,41.45,64795
omniknight,-1.10,56.34,71992
ogre-magi,-1.13,50.32,60476
kunkka,-1.30,44.15,71611
shadow-demon,-1.37,42.04,21983
sniper,-1.42,47.55,143223
lion,-1.47,43.89,78514
lina,-1.48,40.48,46957
necrophos,-1.59,50.73,66192
drow-ranger,-1.69,47.20,120955
alchemist,-1.70,44.73,59259
phoenix,-1.90,47.20,22803
silencer,-1.93,49.39,51870
juggernaut,-1.93,45.81,152321
pudge,-1.97,48.54,189728
nyx-assassin,-2.18,45.75,55146
magnus,-2.39,42.37,34925
shadow-fiend,-2.59,43.21,49115
skywrath-mage,-2.71,42.22,32111
puck,-2.72,39.69,20995
templar-assassin,-2.77,40.80,28700
medusa,-2.83,47.08,46234
ancient-apparition,-2.86,45.87,33868
morphling,-3.20,43.53,62633
techies,-3.22,41.25,25840
storm-spirit,-3.80,44.16,47920
timbersaw,-3.82,43.78,68707
zeus,-4.43,48.94,55246
invoker,-4.70,41.34,89664
tinker,-4.73,42.17,48146
ember-spirit,-5.45,36.27,31265
outworld-devourer,-5.83,44.05,39901
