hero,para,rate,matches
axe,3.91,50.36,184487
slark,3.87,52.05,234350
crystal-maiden,3.43,47.38,117326
necrophos,2.58,47.32,108754
omniknight,2.44,41.76,128052
enigma,2.39,50.19,46674
sand-king,2.37,52.72,114364
riki,2.23,47.69,166855
morphling,2.10,53.83,117783
shadow-shaman,2.09,49.27,71476
slardar,1.74,50.67,103430
storm-spirit,1.68,52.65,137128
earthshaker,1.67,51.87,101924
ogre-magi,1.52,47.50,106459
ember-spirit,1.48,60.30,52627
troll-warlord,1.19,51.95,57146
treant-protector,1.18,48.10,33367
tiny,1.17,56.61,72570
centaur-warrunner,1.17,46.21,61704
weaver,1.15,52.45,79636
outworld-devourer,1.07,51.45,101195
phantom-lancer,1.03,56.05,53152
chaos-knight,1.03,51.21,46217
bristleback,0.98,52.91,78101
jakiro,0.74,48.10,46114
mirana,0.74,49.39,198892
timbersaw,0.73,52.56,114901
meepo,0.66,53.76,41315
pudge,0.56,48.44,318510
faceless-void,0.49,53.72,136284
night-stalker,0.44,51.22,47801
lion,0.44,53.39,142776
lina,0.43,56.90,72822
nyx-assassin,0.42,51.13,91563
puck,0.40,57.17,50176
doom,0.40,57.80,32041
anti-mage,0.38,54.04,190022
windranger,0.36,56.04,103695
tusk,0.31,59.11,35140
dragon-knight,0.26,51.72,48648
medusa,0.25,49.36,67289
broodmother,0.09,61.40,20347
lone-druid,0.01,61.03,16314
templar-assassin,-0.04,55.73,49606
legion-commander,-0.06,51.88,217134
spectre,-0.08,45.92,79893
magnus,-0.09,54.25,62394
witch-doctor,-0.12,50.98,83517
shadow-fiend,-0.15,53.26,91603
techies,-0.16,55.00,30852
dark-seer,-0.17,51.46,34826
queen-of-pain,-0.18,58.70,59006
phoenix,-0.21,49.47,38777
lich,-0.24,46.24,59882
juggernaut,-0.24,50.85,220784
zeus,-0.26,46.35,97613
brewmaster,-0.28,53.35,18643
dazzle,-0.28,49.09,71410
tidehunter,-0.34,50.30,67963
keeper-of-the-light,-0.35,50.62,51950
vengeful-spirit,-0.37,48.45,78240
gyrocopter,-0.38,56.23,34424
leshrac,-0.45,55.08,20305
underlord,-0.48,46.30,50096
wraith-king,-0.53,44.86,118661
winter-wyvern,-0.55,54.68,33700
undying,-0.57,50.08,40862
naga-siren,-0.58,54.59,25133
silencer,-0.60,47.03,98684
kunkka,-0.60,52.64,128046
spirit-breaker,-0.63,48.11,122336
warlock,-0.64,45.17,47959
terrorblade,-0.65,51.56,36238
enchantress,-0.79,60.58,28375
skywrath-mage,-0.80,53.88,51712
batrider,-0.84,55.56,31398
bloodseeker,-0.88,50.06,134640
ursa,-0.89,46.12,99917
razor,-0.90,54.89,58030
bounty-hunter,-0.92,54.41,119479
elder-titan,-0.93,46.08,35279
clockwerk,-1.00,50.10,48065
beastmaster,-1.05,54.00,20025
bane,-1.06,54.61,47554
invoker,-1.17,53.69,223768
lifestealer,-1.18,51.53,108435
alchemist,-1.19,51.56,91421
sven,-1.20,45.94,149897
rubick,-1.38,54.11,96940
phantom-assassin,-1.44,47.96,290261
luna,-1.48,45.52,98226
venomancer,-1.59,48.69,53786
death-prophet,-1.63,53.36,42555
ancient-apparition,-2.02,49.45,57478
chen,-2.20,57.74,8625
drow-ranger,-2.21,48.57,167849
viper,-2.25,50.88,65894
pugna,-2.26,53.43,38314
lycan,-2.31,53.42,24346
earth-spirit,-2.55,57.51,22387
abaddon,-2.68,43.86,52322
shadow-demon,-2.72,53.59,45540
tinker,-2.86,51.91,123259
oracle,-3.27,56.38,36182
natures-prophet,-3.31,57.74,67289
io,-3.46,61.56,16257
visage,-3.57,54.53,11786
huskar,-3.75,52.75,85952
arc-warden,-3.98,55.22,23308
sniper,-4.06,47.44,192396
clinkz,-4.43,52.91,70266
