hero,para,rate,matches
templar-assassin,4.02,48.02,47880
meepo,3.59,50.26,38998
clinkz,3.17,48.03,63975
drow-ranger,2.77,53.71,148854
doom,2.76,45.56,28157
alchemist,2.67,51.08,95586
beastmaster,2.63,48.59,16913
night-stalker,2.60,52.25,42890
arc-warden,2.56,45.53,20147
luna,2.52,57.11,91270
lifestealer,2.38,50.97,100522
naga-siren,2.23,48.07,22932
terrorblade,2.16,51.11,34222
lone-druid,2.16,41.71,14079
phantom-assassin,2.03,54.35,296747
sniper,2.01,53.54,175285
anti-mage,1.90,49.00,173539
undying,1.90,52.55,33257
phantom-lancer,1.86,47.30,52506
chaos-knight,1.72,52.13,46111
viper,1.72,50.74,59975
tinker,1.60,49.27,110274
faceless-void,1.58,49.23,142924
huskar,1.56,47.85,75015
juggernaut,1.55,51.75,226824
lycan,1.52,47.96,20875
pudge,1.35,54.49,258641
dragon-knight,1.22,50.97,47958
troll-warlord,1.18,51.20,53256
slark,1.17,52.43,224756
tusk,1.15,43.44,27610
abaddon,1.11,57.47,42169
underlord,1.11,56.01,41870
storm-spirit,1.02,50.66,117218
enchantress,1.00,41.21,21410
riki,0.94,55.79,141337
treant-protector,0.92,54.89,22581
bounty-hunter,0.92,47.44,89005
weaver,0.89,50.53,71815
outworld-devourer,0.81,51.44,98737
morphling,0.80,49.60,112192
spirit-breaker,0.80,53.94,95757
wraith-king,0.64,57.17,116258
legion-commander,0.61,50.33,195979
ember-spirit,0.54,42.69,49619
slardar,0.46,52.36,100430
ursa,0.41,55.61,95185
zeus,0.31,55.62,77684
invoker,0.26,47.73,210795
shadow-fiend,0.23,48.71,89953
bloodseeker,0.20,51.53,121838
sven,0.18,55.52,163116
centaur-warrunner,0.16,56.33,57763
broodmother,0.13,40.56,17871
windranger,0.00,46.08,88909
omniknight,-0.03,61.07,65469
mirana,-0.04,52.89,152218
clockwerk,-0.10,51.28,42931
spectre,-0.12,55.89,86466
vengeful-spirit,-0.30,53.14,41822
razor,-0.34,46.37,52584
medusa,-0.35,52.51,67121
brewmaster,-0.36,48.25,16480
ogre-magi,-0.38,54.93,57782
necrophos,-0.49,55.52,75574
tiny,-0.69,45.64,65276
bristleback,-0.69,49.19,74344
nyx-assassin,-0.72,50.65,77347
gyrocopter,-0.76,45.12,32240
death-prophet,-0.85,47.28,35783
magnus,-0.95,47.17,68968
warlock,-1.09,55.83,27925
venomancer,-1.27,51.79,35643
leshrac,-1.29,45.98,14982
natures-prophet,-1.37,41.59,48212
dark-seer,-1.39,49.69,31429
silencer,-1.44,53.82,56606
pugna,-1.55,46.53,23616
earth-spirit,-1.72,42.13,14983
axe,-1.76,52.52,170902
timbersaw,-1.95,48.79,112789
lina,-1.96,44.37,50097
dazzle,-2.41,51.43,31784
puck,-2.49,43.84,42849
queen-of-pain,-2.51,42.00,51000
sand-king,-2.56,49.14,94160
witch-doctor,-2.60,49.57,40673
shadow-shaman,-2.62,52.26,35540
kunkka,-2.96,47.52,108874
tidehunter,-3.03,49.91,62228
enigma,-3.29,51.17,36694
batrider,-3.31,44.37,26047
bane,-3.44,45.12,25412
lion,-3.60,47.02,62277
rubick,-3.66,45.33,42658
visage,-3.74,43.67,8572
earthshaker,-3.77,48.99,67919
crystal-maiden,-3.86,53.94,51861
jakiro,-4.10,51.96,24999
phoenix,-4.12,50.20,26587
skywrath-mage,-4.32,45.56,29671
elder-titan,-4.44,52.95,25573
lich,-4.88,52.86,33026
shadow-demon,-5.01,44.48,19457
oracle,-5.16,41.35,18241
ancient-apparition,-6.51,48.12,29460
winter-wyvern,-6.60,43.84,18054
chen,-7.43,39.67,5917
techies,-7.63,43.26,22412
keeper-of-the-light,-7.75,47.17,24071
io,-13.79,32.79,8727
