hero,para,rate,matches
axe,5.19,43.07,118295
visage,4.56,51.20,6516
timbersaw,3.87,46.30,75777
phoenix,3.85,43.63,24758
oracle,3.67,52.60,19670
arc-warden,3.57,51.73,14271
dark-seer,3.40,45.45,20769
lone-druid,3.34,55.37,12636
broodmother,3.01,55.54,14934
centaur-warrunner,2.92,39.38,40151
batrider,2.90,49.84,18801
omniknight,2.87,34.63,83605
brewmaster,2.84,47.19,12527
templar-assassin,2.83,49.52,34095
earth-spirit,2.74,52.90,13275
techies,2.74,48.79,24740
shadow-demon,2.50,48.68,22444
bane,2.49,48.78,28336
elder-titan,2.48,40.03,20734
tidehunter,2.36,43.91,40302
winter-wyvern,2.36,48.49,19623
treant-protector,2.31,40.97,22060
gyrocopter,2.23,49.94,25189
clockwerk,2.23,43.98,30304
pugna,1.94,47.97,24065
chen,1.77,52.42,6684
silencer,1.75,40.53,55580
razor,1.67,48.58,39750
kunkka,1.62,46.09,74820
ancient-apparition,1.58,43.57,32428
leshrac,1.50,48.45,14050
magnus,1.48,47.39,37918
morphling,1.46,45.78,74457
enchantress,1.28,54.30,19771
tinker,1.27,46.42,68934
night-stalker,1.21,43.94,33875
nyx-assassin,1.10,43.81,57803
skywrath-mage,1.10,47.22,32150
puck,1.08,49.90,30282
underlord,1.07,39.49,32429
spectre,1.03,38.93,55468
io,1.02,57.04,10462
pudge,1.01,41.06,192499
venomancer,0.84,42.28,36649
natures-prophet,0.81,52.63,44889
faceless-void,0.78,46.21,82944
sand-king,0.77,44.25,69166
dragon-knight,0.72,44.31,35444
dazzle,0.69,41.97,39638
lion,0.63,45.83,72406
tiny,0.52,48.61,49263
storm-spirit,0.50,44.40,80649
zeus,0.48,39.21,64476
naga-siren,0.42,47.50,17614
bristleback,0.38,44.96,54183
earthshaker,0.26,43.55,62117
shadow-shaman,0.22,40.84,42886
phantom-lancer,0.20,47.98,39234
lich,0.18,38.98,35715
vengeful-spirit,0.15,41.16,43759
windranger,0.13,48.30,65766
ember-spirit,0.09,51.96,37333
tusk,0.07,51.44,26602
mirana,0.06,41.51,112746
ogre-magi,0.06,39.35,57749
shadow-fiend,0.01,45.73,62441
queen-of-pain,-0.01,51.27,37096
abaddon,-0.09,37.65,36716
riki,-0.10,39.16,115288
outworld-devourer,-0.16,43.26,60922
jakiro,-0.17,40.18,26944
beastmaster,-0.23,46.86,14459
juggernaut,-0.26,43.27,135631
clinkz,-0.40,47.57,49988
spirit-breaker,-0.40,40.73,73204
disruptor,-0.41,42.26,33190
rubick,-0.49,47.03,57415
lina,-0.50,48.83,48316
anti-mage,-0.56,45.97,117880
ursa,-0.69,38.81,68945
undying,-0.70,42.49,26926
lycan,-0.73,46.74,17843
keeper-of-the-light,-0.82,42.86,30469
necrophos,-0.85,38.37,69928
slark,-1.03,42.10,147347
crystal-maiden,-1.11,37.97,65778
terrorblade,-1.12,43.80,25906
weaver,-1.20,43.72,55857
alchemist,-1.26,44.02,64395
sniper,-1.36,41.33,127426
medusa,-1.45,41.09,45935
luna,-1.48,38.20,63607
sven,-1.67,38.40,96717
warlock,-1.68,37.43,28092
enigma,-1.72,40.77,29670
drow-ranger,-1.80,41.36,103282
bloodseeker,-1.83,42.15,89860
phantom-assassin,-1.87,40.36,191909
witch-doctor,-1.92,42.63,46609
legion-commander,-1.95,43.45,145284
troll-warlord,-2.07,42.84,44166
bounty-hunter,-2.12,46.31,80796
slardar,-2.23,41.31,62786
huskar,-2.26,46.13,61468
viper,-2.38,43.40,46615
death-prophet,-2.40,45.52,28018
wraith-king,-3.09,36.56,84265
lifestealer,-3.38,43.04,68608
invoker,-3.38,45.14,134121
meepo,-4.17,43.89,24828
chaos-knight,-4.28,41.26,33752
