hero,para,rate,matches
chen,7.42,38.24,4697
huskar,3.38,40.99,49314
tiny,3.33,39.82,39113
viper,2.95,43.57,39319
tusk,2.79,36.69,20579
disruptor,2.76,45.56,28157
sven,2.73,49.12,78767
enchantress,2.68,34.59,14993
jakiro,2.52,47.74,22512
chaos-knight,2.46,44.73,26967
troll-warlord,2.40,44.06,36256
enigma,2.28,46.34,18609
warlock,2.27,49.97,23113
luna,2.19,49.16,55896
io,2.08,31.81,8102
shadow-demon,1.85,40.09,19601
natures-prophet,1.77,35.57,31250
venomancer,1.74,45.63,29766
earth-spirit,1.70,36.22,10485
lifestealer,1.69,42.94,47656
templar-assassin,1.67,39.37,30904
winter-wyvern,1.64,40.12,16932
ember-spirit,1.60,35.79,32094
medusa,1.54,45.79,40034
invoker,1.50,40.71,111049
kunkka,1.41,42.02,58911
meepo,1.40,41.57,21511
lich,1.40,48.64,30179
dazzle,1.30,45.68,31960
spirit-breaker,1.28,46.49,54065
bane,1.26,39.76,23874
bloodseeker,1.20,44.36,66048
faceless-void,1.20,41.43,61383
crystal-maiden,1.14,49.06,54641
brewmaster,1.11,41.36,9954
queen-of-pain,1.06,36.20,33349
lina,0.98,38.24,42052
phantom-assassin,0.97,46.11,167433
terrorblade,0.96,42.88,21930
dragon-knight,0.95,43.18,28270
weaver,0.94,42.92,45947
sniper,0.90,45.28,114644
zeus,0.81,48.23,56305
outworld-devourer,0.75,43.77,53040
night-stalker,0.63,43.62,26022
bristleback,0.60,42.23,38843
clinkz,0.50,39.30,43218
witch-doctor,0.50,43.52,38775
keeper-of-the-light,0.48,43.76,26273
tidehunter,0.44,44.06,27579
spectre,0.40,48.55,47779
centaur-warrunner,0.37,48.83,29101
earthshaker,0.34,43.48,48624
phantom-lancer,0.32,39.11,34652
dark-seer,0.31,42.95,15417
shadow-shaman,0.26,46.18,35810
slark,0.26,44.34,122343
lion,0.20,41.33,63264
storm-spirit,0.11,42.63,68964
underlord,0.10,47.84,23948
leshrac,0.09,39.17,11903
death-prophet,0.07,40.21,24208
riki,0.06,47.69,88991
skywrath-mage,-0.02,40.11,26672
treant-protector,-0.06,46.75,17295
anti-mage,-0.10,40.54,94251
pugna,-0.11,39.74,20404
magnus,-0.12,40.08,26963
axe,-0.13,45.80,74305
juggernaut,-0.16,43.31,118306
drow-ranger,-0.19,44.58,84679
ursa,-0.21,47.68,52552
shadow-fiend,-0.23,40.97,56502
bounty-hunter,-0.24,39.45,62910
sand-king,-0.24,42.76,50149
alchemist,-0.25,42.08,54758
naga-siren,-0.26,39.45,14913
gyrocopter,-0.34,37.94,21571
razor,-0.35,38.94,34085
elder-titan,-0.42,47.61,15257
ogre-magi,-0.42,47.34,45426
rubick,-0.49,39.39,44737
clockwerk,-0.49,43.53,22437
oracle,-0.54,36.11,16191
windranger,-0.60,38.42,57039
nyx-assassin,-0.60,43.17,46108
vengeful-spirit,-0.61,45.41,36315
ancient-apparition,-0.65,43.59,27831
wraith-king,-0.68,48.89,58979
omniknight,-1.06,53.07,52182
silencer,-1.07,46.50,45717
abaddon,-1.08,48.73,26735
lone-druid,-1.24,33.29,9458
morphling,-1.30,41.12,62619
beastmaster,-1.32,39.34,10535
mirana,-1.42,44.66,90671
phoenix,-1.46,44.11,18909
timbersaw,-1.49,41.57,55159
puck,-1.50,37.02,27142
legion-commander,-1.52,41.81,93299
necrophos,-1.71,47.36,56928
slardar,-1.78,43.73,45034
lycan,-2.02,38.96,13379
techies,-2.10,38.54,18358
arc-warden,-2.15,36.25,12094
batrider,-2.17,37.63,14560
pudge,-2.30,45.09,151633
undying,-2.62,42.82,19696
visage,-2.75,36.92,5466
tinker,-2.80,39.82,62420
broodmother,-3.96,32.09,12439
