hero,para,rate,matches
templar-assassin,5.70,57.28,53390
techies,3.42,55.34,41224
puck,3.32,57.23,42697
storm-spirit,3.27,51.84,103060
phantom-assassin,3.20,48.58,350453
nyx-assassin,3.17,50.89,77763
clinkz,3.02,55.42,82958
tusk,2.46,58.80,42409
riki,2.33,46.13,188818
weaver,2.29,51.42,90470
legion-commander,2.26,51.46,240619
visage,1.96,56.06,12632
slardar,1.94,49.16,114921
bloodseeker,1.90,49.85,159686
ember-spirit,1.90,58.99,53060
earth-spirit,1.80,58.50,17537
alchemist,1.73,51.48,106092
faceless-void,1.67,52.75,119486
juggernaut,1.65,50.20,214484
terrorblade,1.60,51.12,44137
io,1.60,63.29,14820
ursa,1.49,45.63,124983
bristleback,1.47,51.56,97380
shadow-shaman,1.42,47.34,74850
arc-warden,1.31,56.69,22328
naga-siren,1.25,53.99,29316
night-stalker,1.24,50.03,59103
spirit-breaker,1.21,47.40,127007
tiny,1.16,55.02,83478
lycan,1.07,53.68,32374
shadow-demon,1.04,54.07,29401
earthshaker,1.01,49.94,100474
anti-mage,1.01,52.79,164656
troll-warlord,0.90,50.20,81225
sven,0.68,45.23,177371
clockwerk,0.63,49.33,43918
bounty-hunter,0.60,53.66,121882
skywrath-mage,0.46,52.98,49992
winter-wyvern,0.41,53.63,31896
beastmaster,0.35,53.19,19952
chaos-knight,0.32,49.26,62854
lone-druid,0.22,59.65,18833
tinker,0.22,51.98,101875
rubick,0.14,53.37,67932
shadow-fiend,0.06,51.78,99442
bane,0.06,53.66,44061
centaur-warrunner,0.02,44.11,64592
chen,-0.00,57.49,9135
vengeful-spirit,-0.03,47.03,72864
wraith-king,-0.07,43.51,138343
broodmother,-0.18,59.73,26845
phantom-lancer,-0.23,53.78,71307
lion,-0.25,51.44,112886
disruptor,-0.27,48.28,48648
magnus,-0.30,52.57,57549
natures-prophet,-0.33,57.98,70284
windranger,-0.34,54.09,108084
elder-titan,-0.36,44.77,32820
kunkka,-0.36,51.19,113907
oracle,-0.40,56.51,27513
zeus,-0.40,44.72,104184
batrider,-0.45,54.22,28735
venomancer,-0.45,47.68,57212
axe,-0.47,46.66,190796
lina,-0.48,54.83,78623
drow-ranger,-0.55,47.82,183472
omniknight,-0.63,39.00,105906
invoker,-0.64,52.41,186524
gyrocopter,-0.66,54.51,43510
queen-of-pain,-0.67,56.87,59200
doom,-0.72,55.61,34151
lifestealer,-0.82,50.15,118468
silencer,-0.90,45.33,77350
razor,-0.90,53.33,67049
huskar,-0.90,52.75,116525
pugna,-0.96,52.57,38137
dazzle,-1.15,47.10,61656
death-prophet,-1.16,52.06,46813
mirana,-1.22,46.86,167417
keeper-of-the-light,-1.25,48.60,42316
pudge,-1.32,45.97,296335
morphling,-1.32,50.47,95954
treant-protector,-1.38,45.32,35207
luna,-1.69,43.88,104451
phoenix,-1.79,47.13,34135
spectre,-1.79,43.60,82670
viper,-1.83,49.54,84884
sniper,-1.84,46.99,233568
ogre-magi,-1.87,44.36,86451
tidehunter,-1.91,47.96,59130
brewmaster,-2.02,50.87,21734
leshrac,-2.19,52.59,23456
crystal-maiden,-2.37,43.19,108781
witch-doctor,-2.48,48.23,73318
medusa,-2.52,46.45,73795
undying,-2.53,47.55,43014
dark-seer,-2.60,48.67,31436
outworld-devourer,-2.63,48.02,85839
enchantress,-2.66,57.96,34434
jakiro,-2.68,44.93,44731
abaddon,-2.78,42.29,57029
warlock,-2.82,42.66,45402
meepo,-2.96,50.29,40367
necrophos,-3.11,43.18,114156
lich,-3.19,43.35,57471
ancient-apparition,-3.39,47.22,47790
sand-king,-3.44,48.20,99519
timbersaw,-3.63,48.75,112610
slark,-3.64,46.76,218051
underlord,-3.69,43.29,46897
enigma,-4.38,45.36,47380
