hero,para,rate,matches
lycan,4.10,47.54,26576
broodmother,3.35,40.29,22700
gyrocopter,3.13,45.28,36625
drow-ranger,2.95,52.17,163312
chen,2.88,42.49,9025
undying,2.62,51.29,35039
enigma,2.54,52.63,43006
naga-siren,2.52,46.59,24514
phantom-lancer,2.43,45.96,59178
crystal-maiden,2.22,55.74,108029
leshrac,2.18,45.99,21227
troll-warlord,1.96,49.97,65980
warlock,1.95,55.95,43160
ursa,1.89,54.83,95429
enchantress,1.85,40.00,31978
beastmaster,1.76,46.57,16801
huskar,1.76,46.34,90152
natures-prophet,1.75,41.33,65995
bloodseeker,1.57,50.62,134071
techies,1.56,45.96,35240
skywrath-mage,1.54,46.75,48180
io,1.36,37.06,14160
witch-doctor,1.30,49.94,71725
vengeful-spirit,1.25,52.36,67199
dark-seer,1.24,49.40,27662
disruptor,1.22,50.97,47958
weaver,0.98,48.98,77698
jakiro,0.98,53.12,43714
razor,0.95,45.39,55195
winter-wyvern,0.95,45.79,31279
doom,0.95,43.18,28270
tiny,0.94,44.80,61801
elder-titan,0.76,54.25,26707
bristleback,0.75,48.31,67314
viper,0.73,48.65,70672
riki,0.73,54.09,169871
ancient-apparition,0.70,50.23,47440
pugna,0.69,46.00,37049
spectre,0.64,54.74,62641
zeus,0.63,54.22,90730
bounty-hunter,0.63,45.72,114334
earthshaker,0.59,49.62,87863
sven,0.54,54.13,122104
tusk,0.54,41.63,34999
kunkka,0.52,47.64,87771
brewmaster,0.52,47.09,17286
luna,0.51,54.41,87804
necrophos,0.46,54.47,98125
sand-king,0.45,49.07,84904
sniper,0.43,51.12,205924
lifestealer,0.43,48.41,87075
night-stalker,0.42,49.55,45090
chaos-knight,0.38,49.85,45941
oracle,0.34,42.19,26589
abaddon,0.27,55.43,46661
magnus,0.23,46.15,41727
slark,0.21,50.35,175487
keeper-of-the-light,0.20,49.65,43639
venomancer,0.16,50.96,53130
wraith-king,0.13,55.31,101358
dazzle,0.07,51.15,59897
shadow-fiend,0.00,47.01,77229
centaur-warrunner,-0.04,54.65,47579
phoenix,-0.04,50.76,31181
lina,-0.09,43.65,71972
underlord,-0.10,53.77,39252
legion-commander,-0.12,48.38,190828
ogre-magi,-0.14,53.49,80539
spirit-breaker,-0.14,51.86,97709
treant-protector,-0.17,52.73,31632
windranger,-0.18,44.43,94310
axe,-0.21,51.78,136793
lich,-0.21,53.88,56183
queen-of-pain,-0.25,41.43,49781
omniknight,-0.28,59.40,97874
lone-druid,-0.29,39.19,16060
slardar,-0.29,50.39,76495
phantom-assassin,-0.31,51.53,270917
clinkz,-0.32,44.84,72332
death-prophet,-0.35,45.94,40263
mirana,-0.35,51.15,150121
medusa,-0.42,50.90,58239
timbersaw,-0.43,47.97,79439
silencer,-0.43,52.80,75202
clockwerk,-0.61,49.44,35293
juggernaut,-0.64,49.06,167366
shadow-shaman,-0.65,51.75,72316
pudge,-0.70,51.82,237126
anti-mage,-0.76,46.15,137110
bane,-0.91,44.74,42620
terrorblade,-0.98,47.97,36435
tidehunter,-1.24,49.26,46513
batrider,-1.46,43.67,25261
rubick,-1.84,44.64,70123
ember-spirit,-1.99,40.10,41633
puck,-2.09,42.49,36492
faceless-void,-2.24,45.83,91737
visage,-2.25,42.81,11339
tinker,-2.35,45.81,82119
lion,-2.37,46.08,110916
shadow-demon,-2.50,44.12,29184
templar-assassin,-2.51,43.47,42839
nyx-assassin,-2.52,48.19,68201
meepo,-2.76,45.64,32524
alchemist,-2.78,46.82,75064
outworld-devourer,-2.84,48.04,63180
earth-spirit,-3.29,39.97,15608
morphling,-3.31,46.05,78014
invoker,-3.95,44.20,141167
storm-spirit,-5.05,46.12,79244
arc-warden,-6.26,40.15,19295
