hero,para,rate,matches
anti-mage,4.43,56.57,684092
visage,4.30,59.32,35340
enigma,4.09,51.37,152945
omniknight,4.08,42.77,410980
necrophos,3.83,48.24,374276
phoenix,3.68,51.74,116885
undying,3.67,52.56,124487
death-prophet,3.61,56.54,145581
silencer,3.50,49.32,277332
outworld-devourer,3.32,52.94,315843
chen,3.28,61.30,31702
medusa,3.25,51.18,242124
ember-spirit,3.25,61.68,188702
oracle,3.17,60.47,97817
weaver,3.16,53.83,310344
io,2.94,65.95,53026
tidehunter,2.79,52.22,196189
dazzle,2.77,50.94,220174
morphling,2.69,54.48,397324
warlock,2.42,46.90,152694
juggernaut,2.33,52.50,872399
timbersaw,2.26,53.69,392418
shadow-shaman,2.25,49.69,269623
disruptor,2.13,51.40,174074
rubick,2.04,56.33,264217
razor,1.98,56.82,214929
leshrac,1.94,56.74,63904
storm-spirit,1.86,53.08,382380
elder-titan,1.83,47.69,103436
faceless-void,1.75,54.73,444814
underlord,1.69,47.64,154305
witch-doctor,1.69,52.24,255989
venomancer,1.66,50.63,182464
dark-seer,1.65,52.73,102073
ancient-apparition,1.60,51.61,160854
techies,1.52,56.26,151586
lone-druid,1.36,62.18,61597
doom,1.31,58.64,103282
pugna,1.26,55.68,122983
treant-protector,1.25,48.46,109293
ursa,1.24,47.44,446092
lifestealer,1.08,53.04,409353
queen-of-pain,1.05,59.74,207157
sven,1.00,47.30,668616
jakiro,0.94,48.53,148462
bane,0.93,56.04,148703
skywrath-mage,0.90,55.13,171996
lion,0.89,53.96,456003
bristleback,0.86,53.18,319432
alchemist,0.81,52.94,383086
terrorblade,0.77,52.63,133378
vengeful-spirit,0.75,49.33,251491
clinkz,0.73,56.10,284966
nyx-assassin,0.68,51.59,288690
templar-assassin,0.64,56.44,188121
earth-spirit,0.64,59.71,67989
batrider,0.63,56.71,95443
magnus,0.46,54.88,206312
abaddon,0.40,45.57,183701
lina,0.39,57.20,282371
dragon-knight,0.37,52.11,190486
beastmaster,0.30,55.07,63211
enchantress,0.27,61.54,109063
viper,0.21,52.49,290792
earthshaker,0.15,51.43,380574
shadow-demon,0.10,55.47,120151
slardar,0.04,50.16,365524
keeper-of-the-light,0.01,51.13,172005
invoker,-0.04,54.63,817104
kunkka,-0.10,53.23,425705
tiny,-0.18,56.18,289373
puck,-0.25,57.13,178719
natures-prophet,-0.27,59.87,253081
troll-warlord,-0.30,51.51,293581
crystal-maiden,-0.32,45.99,428402
meepo,-0.39,53.53,187805
brewmaster,-0.48,53.57,58389
huskar,-0.48,54.86,440466
naga-siren,-0.64,54.87,84627
windranger,-0.73,55.75,419361
shadow-fiend,-0.79,53.24,386161
ogre-magi,-0.84,46.72,336536
sand-king,-1.12,51.25,359117
lycan,-1.14,54.39,89903
axe,-1.17,48.23,716658
lich,-1.49,45.99,196321
gyrocopter,-1.50,55.92,127706
riki,-1.60,46.23,797534
pudge,-1.76,47.64,1293406
arc-warden,-1.84,56.77,74630
luna,-1.84,45.68,387103
tusk,-2.00,58.07,140584
centaur-warrunner,-2.14,45.02,214731
clockwerk,-2.27,49.78,154579
night-stalker,-2.35,50.13,180883
mirana,-2.37,48.19,731353
wraith-king,-2.49,44.30,479949
bloodseeker,-2.53,49.55,600976
legion-commander,-2.60,50.88,961262
zeus,-2.61,45.58,396514
winter-wyvern,-2.75,53.79,118166
spirit-breaker,-2.78,47.39,483152
sniper,-3.31,48.13,1095285
bounty-hunter,-3.32,53.41,468649
broodmother,-3.70,59.38,76365
slark,-4.07,48.39,881823
chaos-knight,-4.25,48.85,191242
phantom-lancer,-4.55,53.27,232263
tinker,-4.60,51.30,438872
phantom-assassin,-6.08,46.01,1506871
spectre,-6.32,43.37,299177
