hero,para,rate,matches
visage,10.85,50.65,35114
templar-assassin,9.51,50.91,168667
chen,9.04,47.07,28506
io,8.29,41.53,40254
weaver,8.28,54.59,257693
huskar,7.91,51.21,375898
medusa,6.83,56.65,239143
arc-warden,6.26,47.52,62829
storm-spirit,6.03,53.53,358436
vengeful-spirit,5.89,56.79,404448
natures-prophet,5.59,44.86,232037
gyrocopter,5.57,48.35,92032
oracle,5.00,46.12,89658
morphling,4.97,52.00,274092
razor,4.63,49.03,172885
dazzle,4.43,55.38,203711
enchantress,4.39,42.92,93194
luna,4.19,58.38,318944
beastmaster,4.05,49.61,59158
shadow-demon,3.93,49.01,133432
winter-wyvern,3.91,49.12,91706
clinkz,3.83,48.68,229600
viper,3.68,52.06,244089
batrider,3.42,47.80,77497
windranger,3.31,47.94,388791
dragon-knight,2.95,52.17,163312
disruptor,2.77,53.71,148854
warlock,2.57,58.23,131455
mirana,2.21,54.41,625840
lone-druid,2.12,42.02,48199
enigma,2.04,54.33,128850
venomancer,1.99,53.84,159140
tidehunter,1.93,52.79,179573
undying,1.77,52.82,110107
witch-doctor,1.61,52.05,222967
lich,1.47,56.72,164678
phoenix,1.43,53.44,98077
jakiro,1.40,55.27,136892
rubick,1.40,48.04,249192
shadow-fiend,1.39,49.61,328872
treant-protector,1.27,55.42,93275
necrophos,1.20,56.78,325743
puck,0.95,45.72,149614
slardar,0.79,52.87,323717
leshrac,0.78,47.28,52586
ogre-magi,0.78,55.90,321694
techies,0.73,47.51,121394
lion,0.67,49.44,381906
elder-titan,0.67,56.11,84339
omniknight,0.66,61.80,350940
silencer,0.55,55.24,246065
brewmaster,0.52,49.01,45725
faceless-void,0.52,49.05,432819
keeper-of-the-light,0.44,51.69,136786
sniper,0.36,53.00,762206
queen-of-pain,0.33,43.55,171106
earth-spirit,0.25,43.31,54531
clockwerk,0.02,51.67,119010
ancient-apparition,-0.13,51.73,139204
bane,-0.17,46.97,127924
doom,-0.19,44.58,84679
abaddon,-0.22,57.04,157628
shadow-shaman,-0.24,53.87,234786
crystal-maiden,-0.35,56.23,336313
axe,-0.48,53.54,641504
wraith-king,-0.54,56.82,387175
outworld-devourer,-0.66,51.02,278019
broodmother,-0.87,40.47,57204
night-stalker,-0.99,50.76,146269
underlord,-1.11,55.11,129559
tusk,-1.19,42.76,106415
earthshaker,-1.23,50.61,336934
terrorblade,-1.24,49.74,95790
sand-king,-1.28,50.12,299693
pudge,-1.30,53.39,994640
lina,-1.41,44.94,228313
invoker,-1.54,47.19,689181
spirit-breaker,-1.60,52.98,375027
centaur-warrunner,-1.65,55.63,181874
death-prophet,-1.69,47.20,120955
skywrath-mage,-1.69,47.13,137843
pugna,-1.92,46.68,105685
dark-seer,-1.93,49.74,77139
lycan,-2.04,46.60,71201
bristleback,-2.06,48.84,279739
chaos-knight,-2.12,50.48,148608
ursa,-2.16,54.51,333508
troll-warlord,-2.24,49.79,226734
naga-siren,-2.39,46.22,58577
phantom-lancer,-2.65,45.53,170178
meepo,-2.73,47.52,141098
nyx-assassin,-2.79,49.92,214883
phantom-assassin,-3.10,51.94,1040884
bounty-hunter,-3.19,45.83,366071
legion-commander,-3.19,48.74,753352
timbersaw,-3.31,48.43,319880
spectre,-3.46,54.33,168266
zeus,-3.71,53.70,282959
tiny,-3.86,44.50,215397
bloodseeker,-3.87,49.75,479191
riki,-4.40,53.15,605900
kunkka,-4.44,47.11,324231
slark,-4.67,49.72,535502
tinker,-4.84,46.46,335902
sven,-4.92,53.00,476559
lifestealer,-5.18,47.52,293234
alchemist,-5.43,47.36,293330
magnus,-5.73,45.21,142258
ember-spirit,-6.91,39.82,128799
juggernaut,-7.05,47.68,533599
anti-mage,-8.65,44.23,414015
