hero,para,rate,matches
storm-spirit,5.73,45.17,49312
ancient-apparition,5.70,43.80,21505
morphling,5.00,45.83,46527
tidehunter,4.46,43.29,24098
mirana,4.03,41.66,78012
sand-king,3.73,44.03,44301
nyx-assassin,3.72,43.43,35573
phoenix,3.64,42.05,15608
crystal-maiden,3.63,38.34,45030
disruptor,3.63,42.47,23372
shadow-demon,3.63,47.68,16998
outworld-devourer,2.90,43.08,36921
dazzle,2.89,41.41,26118
rubick,2.76,47.05,35120
ogre-magi,2.65,38.92,39066
pudge,2.52,40.21,133154
keeper-of-the-light,2.27,42.71,20875
lion,2.25,45.06,52502
riki,1.92,38.51,66987
underlord,1.90,38.38,18823
meepo,1.82,45.14,19200
vengeful-spirit,1.79,40.38,28294
oracle,1.73,50.11,14263
elder-titan,1.65,38.27,12620
timbersaw,1.42,43.72,46431
puck,1.41,48.56,20146
dark-seer,1.27,43.03,12669
faceless-void,1.16,44.90,49459
axe,1.16,39.97,71699
io,1.12,55.61,7268
omniknight,1.10,32.70,43750
invoker,1.04,45.71,93640
batrider,0.92,47.38,12037
slardar,0.86,41.15,37871
winter-wyvern,0.86,46.29,12054
slark,0.82,41.43,87381
skywrath-mage,0.80,45.59,19955
visage,0.78,47.85,4303
kunkka,0.74,44.21,49645
silencer,0.72,38.69,34403
techies,0.70,46.32,15202
enigma,0.19,40.12,17912
magnus,0.05,45.24,24401
witch-doctor,-0.18,41.93,29471
clockwerk,-0.28,41.46,17838
necrophos,-0.34,37.17,40608
tinker,-0.35,44.20,47261
medusa,-0.43,40.08,23363
centaur-warrunner,-0.48,36.69,23358
earthshaker,-0.51,41.77,39878
spectre,-0.58,36.92,31988
warlock,-0.62,36.44,16189
queen-of-pain,-0.63,49.47,22087
pugna,-0.63,45.29,14291
phantom-assassin,-0.69,39.42,119661
arc-warden,-0.82,48.06,9571
jakiro,-0.83,38.50,16598
shadow-fiend,-0.83,43.89,39039
drow-ranger,-0.93,40.29,67989
legion-commander,-1.00,42.42,86798
lich,-1.09,37.10,22534
windranger,-1.24,46.18,40135
zeus,-1.25,37.15,38259
juggernaut,-1.42,41.33,85953
chen,-1.51,49.27,4297
bounty-hunter,-1.73,45.03,49698
anti-mage,-1.75,43.97,67433
ember-spirit,-1.79,49.52,21099
naga-siren,-1.88,44.96,9356
templar-assassin,-1.91,45.78,20567
spirit-breaker,-1.94,38.70,44056
bristleback,-2.01,42.45,28160
shadow-shaman,-2.05,38.51,26701
luna,-2.06,36.60,38350
beastmaster,-2.11,44.53,8661
lina,-2.36,46.46,28324
treant-protector,-2.41,37.69,13006
dragon-knight,-2.45,41.49,18239
abaddon,-2.47,35.40,21219
weaver,-2.60,41.68,29719
phantom-lancer,-2.73,45.13,19898
doom,-2.90,47.10,13275
bloodseeker,-2.94,40.26,51353
sniper,-2.95,39.27,76824
tiny,-2.97,45.49,27920
venomancer,-3.02,39.26,20446
undying,-3.04,40.09,14967
night-stalker,-3.09,40.67,18079
brewmaster,-3.14,43.02,6824
lifestealer,-3.18,41.71,39450
terrorblade,-3.24,41.45,13609
bane,-3.82,44.35,18943
ursa,-3.87,36.22,39126
tusk,-3.96,47.94,14759
wraith-king,-3.99,34.88,45615
enchantress,-4.16,49.96,10826
gyrocopter,-4.33,45.32,12662
razor,-4.78,44.09,22800
chaos-knight,-4.82,39.65,17068
alchemist,-4.86,41.02,37836
natures-prophet,-5.01,48.18,28794
sven,-5.23,35.68,58132
leshrac,-5.55,43.68,7614
lone-druid,-5.63,49.17,7385
clinkz,-5.96,43.52,29235
broodmother,-6.04,49.27,7847
troll-warlord,-6.11,39.70,23759
viper,-6.93,40.01,23825
huskar,-7.27,42.39,33487
death-prophet,-8.53,41.31,16152
lycan,-9.89,41.09,9346
