hero,para,rate,matches
storm-spirit,6.89,43.97,47000
tinker,6.73,42.19,44008
outworld-devourer,6.65,44.78,35861
juggernaut,6.30,44.56,78384
meepo,5.35,41.68,19154
morphling,5.28,42.34,44709
anti-mage,5.05,41.13,64127
slark,4.92,44.87,81010
clinkz,4.23,39.29,24526
invoker,4.12,40.28,86029
templar-assassin,3.96,38.80,18615
nyx-assassin,3.86,43.60,27847
faceless-void,3.76,41.00,42371
lifestealer,3.52,42.22,34365
alchemist,3.17,42.03,34349
slardar,3.07,44.38,31509
timbersaw,2.49,41.77,40348
arc-warden,2.36,36.51,8962
mirana,2.29,44.83,57716
luna,2.20,47.65,33533
shadow-demon,2.16,38.78,11378
sven,1.96,47.24,51465
doom,1.70,36.22,10485
lone-druid,1.61,32.92,6061
phantom-assassin,1.57,44.88,107286
rubick,1.48,38.73,25094
shadow-fiend,1.25,40.13,35516
sand-king,1.22,41.91,31991
spectre,0.92,47.30,29627
magnus,0.69,38.97,19959
batrider,0.68,37.32,10019
huskar,0.63,38.47,28237
silencer,0.54,45.76,24366
ember-spirit,0.52,34.06,21534
weaver,0.43,41.25,25932
puck,0.42,36.35,17857
necrophos,0.37,46.88,29894
drow-ranger,0.25,43.31,54531
death-prophet,0.17,38.83,13001
underlord,-0.04,46.29,14400
wraith-king,-0.04,47.72,38175
legion-commander,-0.05,40.99,67551
razor,-0.23,37.59,19270
centaur-warrunner,-0.24,47.05,18340
sniper,-0.31,43.28,65546
terrorblade,-0.50,40.82,12319
medusa,-0.74,43.30,22302
dark-seer,-0.84,41.01,10043
clockwerk,-0.88,41.91,14286
ursa,-0.97,45.85,32941
ogre-magi,-1.00,45.59,22486
lion,-1.00,39.41,32777
kunkka,-1.18,39.52,36528
naga-siren,-1.29,37.64,8259
pudge,-1.32,44.09,95904
omniknight,-1.38,51.44,27631
windranger,-1.40,36.73,33206
witch-doctor,-1.40,41.26,18612
troll-warlord,-1.42,40.98,19971
phoenix,-1.44,42.67,11515
zeus,-1.57,45.64,30406
disruptor,-1.72,42.13,14983
tiny,-1.75,36.48,22995
viper,-1.77,40.15,20319
bounty-hunter,-1.77,37.45,32303
undying,-1.86,41.72,10388
spirit-breaker,-1.87,43.60,31542
dazzle,-2.01,42.75,16803
bloodseeker,-2.18,41.45,40656
venomancer,-2.30,42.39,14523
axe,-2.39,43.32,52939
riki,-2.47,45.04,49502
bristleback,-2.48,39.53,22895
vengeful-spirit,-2.60,43.07,18631
enigma,-2.95,42.54,12355
lina,-2.96,35.39,21300
night-stalker,-2.99,40.64,14449
queen-of-pain,-3.08,33.40,19136
oracle,-3.14,33.84,9890
lich,-3.18,45.01,14725
dragon-knight,-3.29,39.97,15608
earthshaker,-3.42,40.44,24899
shadow-shaman,-3.44,43.05,16951
brewmaster,-3.56,38.07,5952
beastmaster,-3.61,37.06,6606
warlock,-3.61,45.66,11434
abaddon,-3.92,45.90,15574
skywrath-mage,-3.95,37.17,13430
chaos-knight,-4.66,40.23,14903
phantom-lancer,-4.69,35.82,18293
keeper-of-the-light,-5.05,39.97,13814
pugna,-5.09,36.41,10359
broodmother,-5.17,30.44,6629
elder-titan,-5.62,43.73,8128
lycan,-5.73,36.15,7453
crystal-maiden,-5.76,44.32,27648
natures-prophet,-5.84,31.65,20420
treant-protector,-6.13,42.53,8493
tusk,-6.28,32.18,10870
bane,-6.32,35.46,12481
gyrocopter,-6.69,34.22,10794
ancient-apparition,-6.70,39.58,14807
jakiro,-6.82,42.02,10853
leshrac,-7.49,34.90,5860
winter-wyvern,-8.04,35.00,8623
enchantress,-10.23,29.06,8167
tidehunter,-13.22,36.80,20617
visage,-18.14,29.94,3681
techies,-22.54,29.40,11700
chen,-25.67,25.45,3583
io,-29.20,21.17,6761
