hero,para,rate,matches
chaos-knight,6.40,52.85,174300
phantom-lancer,6.21,57.85,276353
broodmother,5.84,63.90,56962
meepo,5.71,55.38,203072
naga-siren,3.11,55.57,56204
beastmaster,3.07,55.21,37502
chen,2.84,59.69,19419
terrorblade,2.45,52.13,85178
faceless-void,2.37,53.69,245890
lycan,2.36,54.94,50859
io,2.26,64.23,28875
shadow-demon,1.94,55.13,69020
crystal-maiden,1.91,45.66,243346
lone-druid,1.77,61.12,33476
slark,1.74,49.94,458927
abaddon,1.74,44.82,102837
bounty-hunter,1.73,54.83,246378
dark-seer,1.71,51.39,59717
slardar,1.55,49.54,219712
night-stalker,1.54,50.75,99857
bane,1.52,55.01,87335
troll-warlord,1.46,51.05,138596
outworld-devourer,1.46,50.61,183813
razor,1.33,55.10,118780
sand-king,1.23,51.10,234373
brewmaster,1.12,53.07,34144
ursa,1.11,46.02,214578
weaver,1.10,51.39,162593
vengeful-spirit,1.09,48.13,144344
nyx-assassin,1.01,50.40,165216
magnus,0.87,53.75,122896
spirit-breaker,0.87,47.81,251519
dazzle,0.68,48.54,123811
omniknight,0.67,40.05,233035
morphling,0.65,52.04,211380
oracle,0.57,57.62,55566
lina,0.56,55.96,150652
underlord,0.42,45.70,92284
earth-spirit,0.37,58.23,39878
queen-of-pain,0.36,58.02,115850
legion-commander,0.29,51.04,499587
arc-warden,0.28,56.67,42211
natures-prophet,0.16,58.82,145877
enigma,0.16,48.07,98849
kunkka,0.15,52.02,243820
bloodseeker,0.09,49.53,304791
tusk,0.05,57.97,76486
shadow-shaman,0.04,47.26,143376
ogre-magi,0.01,45.77,201630
pugna,0.01,53.65,73568
luna,0.00,45.20,201138
riki,-0.01,45.63,378890
phantom-assassin,-0.02,47.63,698789
batrider,-0.03,55.00,55515
invoker,-0.08,53.27,443029
gyrocopter,-0.11,55.37,71300
leshrac,-0.11,54.26,38641
warlock,-0.15,44.39,88732
enchantress,-0.15,59.99,58815
witch-doctor,-0.16,49.94,155130
drow-ranger,-0.16,48.57,380574
keeper-of-the-light,-0.17,49.69,96203
storm-spirit,-0.17,50.67,230117
shadow-fiend,-0.18,52.22,211962
doom,-0.20,56.45,62117
tiny,-0.21,54.83,160470
puck,-0.23,55.81,98436
axe,-0.24,47.33,395163
lion,-0.26,52.00,267481
anti-mage,-0.28,52.67,351948
mirana,-0.30,47.86,403257
winter-wyvern,-0.35,53.78,61966
windranger,-0.38,54.62,220237
pudge,-0.49,46.91,681926
skywrath-mage,-0.51,53.02,97816
death-prophet,-0.52,52.95,82303
huskar,-0.58,53.48,205857
treant-protector,-0.59,46.24,62945
centaur-warrunner,-0.61,44.39,122131
undying,-0.64,49.03,81736
necrophos,-0.71,44.80,220379
ember-spirit,-0.76,57.99,107131
ancient-apparition,-0.76,49.07,99168
venomancer,-0.81,48.06,105284
visage,-0.90,55.04,20965
dragon-knight,-1.00,50.06,104342
tidehunter,-1.01,48.95,129417
templar-assassin,-1.02,54.19,99783
lich,-1.11,44.83,112599
clinkz,-1.12,53.74,144987
jakiro,-1.12,46.20,86158
medusa,-1.18,47.65,136254
tinker,-1.21,51.79,229607
elder-titan,-1.27,44.92,65158
wraith-king,-1.30,43.52,257702
sven,-1.43,44.84,360475
techies,-1.49,53.27,76368
disruptor,-1.73,48.13,105659
timbersaw,-1.75,50.26,230132
bristleback,-1.82,50.44,169183
viper,-1.85,50.09,142754
zeus,-2.05,44.52,207602
juggernaut,-2.12,48.89,451313
rubick,-2.39,52.57,197009
silencer,-2.50,45.14,181252
alchemist,-2.86,49.70,199240
phoenix,-3.41,46.90,68886
sniper,-3.52,46.73,476479
lifestealer,-4.31,48.92,218789
clockwerk,-4.37,47.42,91404
spectre,-4.90,42.74,168003
