hero,para,rate,matches
ember-spirit,3.93,43.09,105558
io,3.01,38.20,18341
clinkz,2.89,46.86,131921
chen,2.85,43.04,11542
storm-spirit,2.85,50.53,216456
terrorblade,2.21,50.10,66022
anti-mage,2.12,48.07,344529
meepo,1.99,48.44,101023
morphling,1.89,49.10,207948
juggernaut,1.80,50.84,425497
lycan,1.73,47.02,40358
templar-assassin,1.67,45.90,93774
enchantress,1.65,40.47,45915
sven,1.63,55.29,316624
timbersaw,1.57,49.50,195509
necrophos,1.54,55.62,169075
broodmother,1.50,40.12,33510
arc-warden,1.49,44.03,33646
leshrac,1.49,46.25,29369
troll-warlord,1.44,50.29,122379
alchemist,1.36,49.39,189973
riki,1.26,54.94,319092
abaddon,1.19,56.50,79409
ursa,1.18,55.02,184085
mirana,1.14,52.48,330628
weaver,1.12,49.61,147413
huskar,1.08,46.60,178250
legion-commander,1.05,49.52,422303
spectre,1.05,55.52,158729
phantom-assassin,1.03,52.79,668534
brewmaster,1.00,47.88,26665
sniper,1.00,51.97,447324
luna,0.97,55.23,182808
razor,0.95,45.95,106737
shadow-fiend,0.91,48.00,210937
slark,0.84,51.23,423912
medusa,0.83,52.11,138361
lifestealer,0.74,49.13,185174
naga-siren,0.70,46.33,41144
phoenix,0.68,51.69,49257
wraith-king,0.64,56.16,227353
dragon-knight,0.59,49.62,87863
visage,0.56,44.60,14763
chaos-knight,0.53,50.49,88019
queen-of-pain,0.53,42.31,105470
natures-prophet,0.44,41.35,103537
centaur-warrunner,0.40,55.45,85323
doom,0.34,43.48,48624
omniknight,0.30,60.29,144166
pugna,0.25,46.36,53219
dark-seer,0.13,49.43,46448
pudge,0.11,52.81,530855
lone-druid,0.07,39.87,26684
night-stalker,0.02,49.92,78836
dazzle,-0.02,51.67,82778
batrider,-0.18,44.80,41817
viper,-0.19,48.77,125471
silencer,-0.19,53.49,129898
undying,-0.24,50.42,55075
bloodseeker,-0.31,50.25,251723
death-prophet,-0.32,46.51,70228
tiny,-0.37,44.78,125930
spirit-breaker,-0.37,52.30,177267
tinker,-0.38,47.29,216481
zeus,-0.43,54.20,177602
treant-protector,-0.51,53.10,41432
oracle,-0.58,42.35,38215
puck,-0.66,43.66,87552
underlord,-0.68,54.01,65274
ancient-apparition,-0.69,50.10,69925
outworld-devourer,-0.70,49.65,170161
tidehunter,-0.70,50.09,76075
slardar,-0.78,50.71,153817
bounty-hunter,-0.79,45.63,189156
venomancer,-0.84,51.00,79169
warlock,-0.91,54.93,59909
windranger,-0.92,44.65,190416
sand-king,-1.00,48.92,141738
bristleback,-1.00,48.03,137243
gyrocopter,-1.07,43.98,63452
phantom-lancer,-1.08,44.93,123972
vengeful-spirit,-1.12,51.70,93332
shadow-shaman,-1.12,52.06,89785
elder-titan,-1.23,53.73,39586
drow-ranger,-1.23,50.61,336934
invoker,-1.24,46.00,407084
enigma,-1.24,51.25,78501
tusk,-1.28,41.42,56751
nyx-assassin,-1.35,49.32,119880
ogre-magi,-1.42,53.36,107157
lina,-1.45,43.60,116047
beastmaster,-1.48,45.64,25819
clockwerk,-1.52,49.54,64251
lich,-1.56,53.70,80513
techies,-1.59,45.09,52340
jakiro,-1.61,52.31,55344
skywrath-mage,-1.66,45.82,69560
faceless-void,-2.16,46.42,198680
magnus,-2.26,45.55,110027
witch-doctor,-2.26,48.74,93451
bane,-2.28,44.67,58320
lion,-2.32,46.65,152505
winter-wyvern,-2.51,44.77,43487
axe,-2.54,51.11,290426
shadow-demon,-2.59,44.63,42699
crystal-maiden,-2.77,53.57,149969
kunkka,-3.14,46.45,186745
earth-spirit,-3.42,40.44,24899
rubick,-3.60,44.38,107206
keeper-of-the-light,-3.65,48.29,65063
disruptor,-3.77,48.99,67919
