hero,para,rate,matches
meepo,6.03,60.30,23540
spectre,4.36,51.61,50692
slark,4.13,55.82,129320
ogre-magi,3.88,52.23,58714
crystal-maiden,3.87,51.21,63256
axe,3.72,53.90,116595
tidehunter,3.14,55.65,45689
sand-king,2.88,56.57,70148
chaos-knight,2.76,55.67,32161
riki,2.40,51.35,99265
omniknight,2.09,45.11,66614
enigma,1.75,53.43,29693
shadow-fiend,1.69,57.76,57233
morphling,1.67,57.14,73278
medusa,1.60,53.58,44418
jakiro,1.56,52.04,28527
phantom-assassin,1.40,52.89,169602
terrorblade,1.39,56.15,26107
spirit-breaker,1.38,52.63,68995
zeus,1.28,50.60,61535
vengeful-spirit,1.28,52.79,46732
bristleback,1.11,56.49,48998
centaur-warrunner,1.11,49.71,40827
necrophos,1.09,50.16,65560
undying,1.07,54.44,27326
earthshaker,1.06,55.08,65158
legion-commander,1.00,55.95,130374
magnus,1.00,58.32,38674
tusk,0.98,62.89,22045
lion,0.97,57.17,75729
disruptor,0.84,53.94,36515
shadow-shaman,0.75,52.15,41130
beastmaster,0.73,58.45,12526
phoenix,0.71,53.44,22924
phantom-lancer,0.71,59.32,35399
bloodseeker,0.69,54.37,80355
rubick,0.63,58.68,48267
witch-doctor,0.60,54.86,47815
puck,0.52,60.65,27096
luna,0.51,49.95,63676
mirana,0.43,52.75,109815
slardar,0.38,53.51,64886
abaddon,0.37,48.73,33081
razor,0.31,58.99,38277
dragon-knight,0.31,55.24,34086
warlock,0.22,49.06,29259
ancient-apparition,0.22,54.07,33782
io,0.22,67.08,8922
outworld-devourer,0.12,54.46,62126
weaver,0.02,55.34,47646
shadow-demon,-0.01,58.52,25386
wraith-king,-0.02,48.58,72158
chen,-0.22,62.24,5529
venomancer,-0.25,52.84,36145
techies,-0.35,58.32,19612
kunkka,-0.38,56.21,77482
ursa,-0.52,49.77,61161
nyx-assassin,-0.53,54.11,56768
keeper-of-the-light,-0.55,53.99,28144
dazzle,-0.57,52.43,38252
winter-wyvern,-0.59,58.07,20443
windranger,-0.73,58.82,61493
lich,-0.84,49.43,34788
clockwerk,-0.85,53.64,31192
invoker,-0.85,57.28,119724
night-stalker,-0.87,54.01,31047
underlord,-0.89,49.57,34274
treant-protector,-0.91,50.56,21610
timbersaw,-0.97,55.11,70748
earth-spirit,-1.00,61.73,12620
sven,-1.02,49.49,93806
pudge,-1.06,51.12,186475
bane,-1.09,57.99,28271
troll-warlord,-1.16,54.18,35224
viper,-1.20,54.86,42922
faceless-void,-1.20,56.24,88116
lone-druid,-1.50,63.34,10374
lina,-1.53,59.14,46428
queen-of-pain,-1.54,61.19,35003
pugna,-1.58,57.18,24689
doom,-1.59,59.97,20734
drow-ranger,-1.61,52.31,103436
storm-spirit,-1.63,54.36,73784
skywrath-mage,-1.71,56.77,31955
death-prophet,-1.77,56.67,27220
batrider,-1.78,58.38,20342
tiny,-1.96,58.21,45736
tinker,-2.00,55.76,65048
gyrocopter,-2.01,58.64,23875
naga-siren,-2.02,57.16,17857
huskar,-2.02,57.06,55392
silencer,-2.40,49.60,56846
bounty-hunter,-2.68,56.78,72442
dark-seer,-3.02,53.37,21408
templar-assassin,-3.08,57.35,29111
juggernaut,-3.08,52.78,128597
brewmaster,-3.12,55.18,12972
leshrac,-3.44,56.74,14481
natures-prophet,-3.49,60.83,39202
arc-warden,-3.61,58.69,14821
lifestealer,-3.64,53.60,62326
oracle,-3.71,59.36,21655
sniper,-3.74,50.96,119937
enchantress,-3.83,61.87,19275
anti-mage,-3.84,55.09,95612
ember-spirit,-4.11,60.17,30602
clinkz,-4.33,56.25,42885
lycan,-4.50,55.51,17119
alchemist,-4.86,52.96,58725
broodmother,-5.38,61.13,14369
visage,-5.42,56.70,8871
