hero,para,rate,matches
storm-spirit,4.66,56.15,69894
lifestealer,3.67,55.24,50600
templar-assassin,3.38,51.33,26850
huskar,3.38,52.33,44906
faceless-void,3.12,53.58,102425
legion-commander,3.10,55.17,101528
pudge,2.95,58.90,131849
shadow-fiend,2.55,53.42,53767
juggernaut,2.52,55.82,119831
mirana,2.40,57.73,88438
spirit-breaker,2.38,58.33,47999
tusk,2.37,47.51,15934
ember-spirit,2.35,46.99,28546
nyx-assassin,2.17,55.69,43100
slark,2.11,56.47,117906
chaos-knight,2.01,55.83,25839
viper,1.97,54.43,36277
morphling,1.68,53.59,62281
wraith-king,1.66,61.20,58147
meepo,1.65,52.88,20716
phantom-assassin,1.65,57.67,152874
sniper,1.62,56.86,108826
puck,1.49,49.16,24563
natures-prophet,1.42,46.26,29449
tiny,1.37,50.13,35158
slardar,1.30,56.32,47785
bloodseeker,1.18,55.55,63719
anti-mage,1.00,52.10,92040
clinkz,0.87,50.48,38362
centaur-warrunner,0.86,60.16,27903
luna,0.83,59.62,57246
night-stalker,0.80,54.86,23742
dragon-knight,0.76,54.25,26707
windranger,0.72,49.93,51381
drow-ranger,0.67,56.11,84339
sven,0.50,59.14,78575
bounty-hunter,0.44,50.73,53437
razor,0.40,50.23,32991
necrophos,0.38,59.43,50254
lycan,0.32,50.90,13804
ogre-magi,0.25,58.72,33199
beastmaster,0.23,50.96,9080
pugna,0.20,50.86,18599
outworld-devourer,0.11,54.57,57585
alchemist,0.10,53.29,51117
arc-warden,0.07,47.90,12199
kunkka,-0.01,52.46,58447
terrorblade,-0.01,53.52,22157
ursa,-0.02,58.80,49724
bristleback,-0.02,53.02,35483
naga-siren,-0.04,50.50,15110
zeus,-0.06,58.84,52414
bane,-0.12,50.16,19838
death-prophet,-0.16,51.10,23096
lion,-0.20,52.17,49528
doom,-0.42,47.61,15257
phantom-lancer,-0.49,49.68,31509
riki,-0.55,58.38,78687
troll-warlord,-0.58,53.78,30218
leshrac,-0.67,49.74,11254
vengeful-spirit,-0.69,56.37,30779
lina,-0.70,48.40,35901
shadow-demon,-0.74,49.95,17887
clockwerk,-0.77,54.39,23000
rubick,-0.84,50.12,32874
queen-of-pain,-0.85,46.15,31689
spectre,-0.95,58.80,46808
oracle,-1.03,46.59,15200
silencer,-1.19,57.36,41506
earthshaker,-1.23,53.73,39586
invoker,-1.33,50.42,110389
gyrocopter,-1.34,48.30,20821
medusa,-1.48,55.34,42266
venomancer,-1.73,54.96,26719
tinker,-1.75,51.08,60016
sand-king,-1.77,52.97,48234
skywrath-mage,-1.78,50.20,23484
weaver,-1.79,52.62,42504
shadow-shaman,-1.80,56.10,28132
dazzle,-1.82,55.15,25321
enchantress,-1.93,43.36,15115
magnus,-1.93,50.13,31875
crystal-maiden,-2.06,58.29,41481
undying,-2.17,53.85,19369
axe,-2.31,55.61,81457
witch-doctor,-2.38,53.08,33088
abaddon,-2.47,58.75,24029
treant-protector,-2.52,56.38,14913
underlord,-2.57,57.31,23790
batrider,-2.84,47.97,15844
omniknight,-2.90,62.49,40956
broodmother,-3.04,42.58,11815
timbersaw,-3.24,51.53,54875
tidehunter,-3.42,53.06,28844
lone-druid,-3.47,42.71,7923
brewmaster,-3.71,50.00,10244
dark-seer,-3.88,51.79,16663
keeper-of-the-light,-4.02,52.42,19796
winter-wyvern,-4.11,48.36,14983
disruptor,-4.44,52.95,25573
lich,-4.66,56.24,24667
warlock,-5.22,56.72,20949
jakiro,-5.23,54.62,20075
visage,-5.28,46.26,6787
enigma,-5.43,53.32,23443
ancient-apparition,-5.55,51.90,25122
earth-spirit,-5.62,43.73,8128
techies,-5.64,47.49,13224
phoenix,-5.99,52.49,16706
chen,-6.33,43.37,4067
io,-8.93,37.69,6091
