hero,para,rate,matches
meepo,16.22,51.03,79419
naga-siren,9.03,49.49,31376
chaos-knight,8.48,44.74,70102
phantom-lancer,8.48,49.88,93442
elder-titan,6.93,39.83,30602
undying,6.80,43.71,40703
dark-seer,6.71,44.90,30957
shadow-demon,6.31,48.46,35470
visage,5.84,49.80,10180
arc-warden,5.05,50.46,23668
broodmother,5.02,54.62,25734
terrorblade,4.56,44.36,46588
beastmaster,4.43,47.07,21925
pugna,4.35,47.12,36719
batrider,4.14,48.45,28494
enigma,3.95,41.20,48324
pudge,3.89,40.33,340693
puck,3.85,49.28,48950
underlord,3.59,38.61,48311
warlock,3.52,37.56,44143
razor,3.39,47.44,64066
spectre,3.38,37.98,90270
ancient-apparition,3.29,42.38,49178
timbersaw,3.27,44.09,115809
kunkka,3.23,44.87,127951
clockwerk,3.01,42.40,44967
necrophos,2.86,37.96,111854
zeus,2.70,38.22,105624
chen,2.67,50.93,10360
bloodseeker,2.61,42.14,158433
morphling,2.35,44.25,112201
centaur-warrunner,2.20,37.28,62288
treant-protector,2.11,39.03,34015
jakiro,1.94,39.17,42915
templar-assassin,1.92,47.14,60184
abaddon,1.86,36.57,55237
earth-spirit,1.82,50.48,21099
tidehunter,1.74,41.75,60186
lone-druid,1.66,52.54,20133
nyx-assassin,1.59,42.12,86921
phoenix,1.54,40.78,36735
io,1.41,55.35,16459
queen-of-pain,1.41,50.06,60581
bounty-hunter,1.40,46.04,130941
rubick,1.39,45.99,80759
tinker,1.33,44.53,114830
bane,1.15,46.22,46759
sand-king,1.14,42.51,107958
lich,1.13,37.53,56482
lycan,1.07,45.66,27775
earthshaker,1.07,42.01,107131
invoker,1.07,45.30,229540
winter-wyvern,1.03,45.94,30381
magnus,1.00,45.24,60146
natures-prophet,0.95,50.78,78569
spirit-breaker,0.88,39.40,123294
lina,0.77,47.53,78726
witch-doctor,0.74,41.90,75345
keeper-of-the-light,0.73,41.65,49074
ogre-magi,0.59,37.73,94313
shadow-fiend,0.46,44.04,111999
crystal-maiden,0.45,36.77,115064
gyrocopter,0.34,47.10,39994
mirana,0.30,39.76,192161
vengeful-spirit,0.27,39.37,73249
death-prophet,0.18,44.82,43239
leshrac,0.14,45.89,20722
luna,0.01,36.98,106881
axe,-0.04,39.09,194874
doom,-0.10,48.04,37333
medusa,-0.11,39.80,71598
venomancer,-0.34,39.94,57897
dazzle,-0.35,39.70,64504
brewmaster,-0.37,43.84,18723
bristleback,-0.74,42.59,85913
tusk,-0.79,49.10,42675
weaver,-0.84,42.02,88716
outworld-devourer,-0.86,41.10,87612
windranger,-0.91,45.92,115367
night-stalker,-1.03,41.12,53876
lion,-1.19,43.14,127278
anti-mage,-1.37,43.73,185602
enchantress,-1.39,50.99,32492
slardar,-1.39,39.83,102851
skywrath-mage,-1.39,44.18,53069
oracle,-1.40,48.15,29183
tiny,-1.41,45.80,81527
omniknight,-1.58,31.47,109555
sniper,-1.79,39.33,231948
disruptor,-2.04,39.75,54652
alchemist,-2.14,41.79,108526
silencer,-2.42,37.10,92377
shadow-shaman,-2.52,37.93,74682
dragon-knight,-2.66,41.00,55228
sven,-2.77,36.22,169592
viper,-2.78,41.39,74858
slark,-2.79,39.55,238864
juggernaut,-2.93,40.30,230847
ursa,-3.11,36.12,114423
faceless-void,-3.51,42.42,134776
troll-warlord,-3.83,40.27,75258
techies,-3.85,43.82,44283
wraith-king,-4.02,34.50,133036
riki,-4.46,35.72,194009
lifestealer,-4.57,40.72,109966
drow-ranger,-4.82,38.32,188702
storm-spirit,-5.53,39.97,124674
phantom-assassin,-5.58,37.10,352433
clinkz,-5.90,43.15,84818
huskar,-6.40,42.40,104950
legion-commander,-7.15,39.40,262185
