hero,para,rate,matches
magnus,6.42,40.77,70240
earthshaker,3.93,43.09,105558
slark,3.88,43.99,183624
nyx-assassin,3.54,43.03,78153
riki,3.35,47.30,173855
chen,3.10,34.91,9206
centaur-warrunner,2.61,47.96,55210
elder-titan,2.35,46.99,28546
bounty-hunter,2.22,38.56,119702
legion-commander,2.06,41.43,211937
lion,2.05,40.21,117367
io,2.00,30.13,14200
ancient-apparition,1.94,42.82,48514
timbersaw,1.85,41.09,101518
tidehunter,1.81,42.76,55127
bane,1.73,38.11,42062
techies,1.71,38.20,38779
winter-wyvern,1.70,38.30,31818
dark-seer,1.65,41.63,29339
doom,1.60,35.79,32094
shadow-demon,1.58,38.15,31010
spirit-breaker,1.37,44.62,106386
spectre,1.24,47.03,65829
ursa,1.22,46.44,92931
rubick,1.20,38.22,82150
sand-king,1.18,41.48,99477
sven,1.12,46.43,134285
clinkz,1.00,37.67,65159
underlord,0.95,46.33,43608
luna,0.93,46.64,80203
slardar,0.93,43.04,88933
morphling,0.91,40.18,84465
axe,0.91,44.37,171207
anti-mage,0.91,39.10,136599
wraith-king,0.77,47.68,112991
oracle,0.77,34.82,27189
jakiro,0.76,45.01,40174
ogre-magi,0.68,45.94,85743
disruptor,0.54,42.69,49619
earth-spirit,0.52,34.06,21534
mirana,0.47,43.62,158842
abaddon,0.43,47.56,48081
dazzle,0.41,43.38,59413
lich,0.34,46.22,55110
crystal-maiden,0.17,46.68,107573
skywrath-mage,0.17,38.36,45153
phoenix,0.16,42.95,34618
phantom-assassin,0.09,43.81,261357
chaos-knight,0.08,41.82,43795
necrophos,0.08,46.32,97793
treant-protector,-0.08,44.85,31310
troll-warlord,-0.14,41.10,59894
lifestealer,-0.15,40.31,93660
enigma,-0.17,43.34,46866
tiny,-0.21,36.66,62669
tusk,-0.21,33.88,36589
venomancer,-0.28,42.85,51764
night-stalker,-0.35,41.33,44728
witch-doctor,-0.37,41.29,71281
clockwerk,-0.42,41.69,39903
weaver,-0.46,40.47,70728
batrider,-0.47,36.50,25678
keeper-of-the-light,-0.47,41.48,47583
faceless-void,-0.48,38.92,102479
juggernaut,-0.53,41.29,171951
warlock,-0.56,46.69,40088
undying,-0.61,41.84,36604
bristleback,-0.62,39.89,75557
lone-druid,-0.68,31.81,16742
pugna,-0.68,37.71,33657
enchantress,-0.73,31.77,28124
naga-siren,-0.73,37.46,21969
silencer,-0.75,44.76,74667
bloodseeker,-0.89,41.59,127614
beastmaster,-0.91,37.70,18436
broodmother,-0.96,31.43,19996
visage,-1.02,35.81,9017
omniknight,-1.16,51.14,100441
lycan,-1.20,37.49,23417
pudge,-1.22,43.72,265165
lina,-1.45,35.56,64839
phantom-lancer,-1.51,36.63,51693
terrorblade,-1.62,39.95,31594
vengeful-spirit,-1.67,43.07,64104
shadow-shaman,-1.67,43.43,65238
windranger,-1.99,36.12,86872
dragon-knight,-1.99,40.10,41633
leshrac,-2.10,36.54,17494
viper,-2.24,39.56,57671
brewmaster,-2.36,38.15,15512
huskar,-2.61,36.84,81321
kunkka,-2.69,38.52,97469
medusa,-2.97,41.92,53092
natures-prophet,-3.06,32.22,67049
zeus,-3.33,44.41,77148
meepo,-3.34,37.85,35380
gyrocopter,-3.36,35.06,31533
razor,-3.70,35.90,48690
alchemist,-3.84,38.79,68698
sniper,-3.90,41.32,173706
outworld-devourer,-4.26,39.80,53603
death-prophet,-5.45,36.27,31265
storm-spirit,-5.62,38.44,66600
shadow-fiend,-5.84,36.94,63178
queen-of-pain,-6.04,32.02,39888
invoker,-6.05,35.97,130587
puck,-6.51,33.48,32547
arc-warden,-6.74,32.90,16832
drow-ranger,-6.91,39.82,128799
templar-assassin,-7.58,34.13,34805
tinker,-8.44,35.82,65384
