hero,para,rate,matches
visage,7.79,48.89,9442
elder-titan,6.90,38.13,19275
underlord,6.34,37.95,27993
phoenix,5.41,40.62,19707
omniknight,5.41,32.16,62542
winter-wyvern,5.39,46.14,19970
jakiro,4.87,38.61,27445
arc-warden,4.83,48.57,15494
lycan,4.55,45.47,20999
earth-spirit,4.53,50.04,10826
warlock,4.29,36.20,27403
outworld-devourer,4.29,41.51,47646
dark-seer,4.29,42.16,20059
tidehunter,4.00,40.97,33388
dragon-knight,3.99,42.07,35824
io,3.88,54.93,9581
meepo,3.85,43.86,24866
techies,3.41,45.39,25649
abaddon,3.35,35.50,34184
enigma,3.35,39.29,28825
faceless-void,3.31,43.69,70161
tiny,3.28,46.23,50401
sven,2.87,36.69,96524
necrophos,2.56,36.23,62268
templar-assassin,2.38,45.62,31102
venomancer,2.01,39.22,35326
chen,1.97,48.84,6229
clockwerk,1.88,40.26,27304
undying,1.87,40.03,25401
treant-protector,1.77,37.27,22310
huskar,1.74,44.37,69204
silencer,1.73,37.05,45122
viper,1.73,41.62,51281
nyx-assassin,1.70,40.49,47790
leshrac,1.62,44.85,16273
sniper,1.60,39.04,141685
clinkz,1.57,44.86,52193
ember-spirit,1.49,49.01,32492
troll-warlord,1.47,40.81,48118
lone-druid,1.32,50.63,11521
terrorblade,1.30,41.29,27333
oracle,1.25,47.71,18161
disruptor,1.18,39.40,29519
slardar,1.03,39.16,55947
razor,0.98,44.62,40684
storm-spirit,0.97,41.04,57308
skywrath-mage,0.93,43.52,32576
alchemist,0.90,41.41,60051
batrider,0.89,45.23,18607
magnus,0.84,43.47,33578
spirit-breaker,0.77,37.73,73288
medusa,0.74,38.50,42286
rubick,0.73,43.99,38625
bounty-hunter,0.73,44.04,75382
shadow-shaman,0.69,37.56,46336
death-prophet,0.68,43.35,29854
broodmother,0.68,50.65,18051
timbersaw,0.65,41.30,60238
riki,0.64,36.03,111490
bloodseeker,0.62,39.67,92867
night-stalker,0.52,40.10,35779
lich,0.49,35.70,35925
queen-of-pain,0.38,47.84,37499
vengeful-spirit,0.26,37.74,43680
earthshaker,0.22,40.01,58815
pugna,0.20,43.55,25383
kunkka,0.13,41.85,66191
lina,0.08,45.50,50398
tusk,-0.01,47.78,25715
brewmaster,-0.22,42.23,14364
gyrocopter,-0.35,45.09,27402
beastmaster,-0.38,43.22,11941
juggernaut,-0.43,39.70,120874
drow-ranger,-0.43,38.46,109063
shadow-demon,-0.46,43.69,17191
puck,-0.47,45.54,26077
weaver,-0.50,40.51,53867
luna,-0.55,35.20,61634
ancient-apparition,-0.64,39.13,29771
anti-mage,-0.65,42.38,95508
spectre,-0.74,34.91,45015
invoker,-1.04,42.68,107539
bane,-1.12,43.51,29520
witch-doctor,-1.18,39.47,45050
ursa,-1.18,35.27,74971
shadow-fiend,-1.24,41.64,58127
zeus,-1.24,35.19,63829
morphling,-1.26,41.04,55696
tinker,-1.37,41.69,62123
doom,-1.48,45.70,19771
naga-siren,-1.54,43.03,18737
centaur-warrunner,-1.68,34.32,37570
lifestealer,-2.09,40.15,68225
lion,-2.13,41.09,69177
chaos-knight,-2.20,38.73,35649
crystal-maiden,-2.26,34.24,68407
axe,-2.32,36.62,103161
dazzle,-2.47,37.27,36567
keeper-of-the-light,-2.57,38.68,25761
bristleback,-2.67,40.15,54191
wraith-king,-2.77,33.43,76294
pudge,-2.78,36.18,174514
sand-king,-2.95,39.19,57456
mirana,-3.68,36.62,97523
natures-prophet,-3.82,46.74,46240
phantom-lancer,-4.00,42.51,41460
windranger,-4.50,42.63,66991
legion-commander,-4.94,38.76,137245
ogre-magi,-5.87,33.81,48314
slark,-5.91,36.74,121004
phantom-assassin,-7.55,34.83,196282
